,Sentences
0,"Thank you, George, and good afternoon, everyone"
1,I will start on slide 5 and our U.S
2,I think George covered off the key macro drivers
3,"In the end, we saw favorable pricing primarily in cheese that was more than offset by the volume/mix decline from consumption weakness across categories"
4,"Foodservice, cheese, meats and nuts were the categories most affected and they offset ongoing solid gains from Lunchables, frozen meals, and macaroni & cheese"
5,"Moving to EBITDA, we had incremental Integration savings, just less than $100 million"
6,"Note that in Q1, the pace of net savings versus the prior year was consistent with our expectations and we do expect that pace to pick up more in the second half of the year"
7,"In the first quarter however, the incremental savings together with pricing were more than offset by both the decline in volume/mix and, to a lesser extent, unfavorable key commodity costs in coffee and bacon"
8,"Although I would note that, versus last year, adjusted EBITDA was down only 1.4%, considering we were up against significant key commodity costs favorability in Q1 last year"
9,Let's turn to slide 6 and Canada
10,"Bernardo mentioned, Canada's Q1 results versus the prior year were significantly impacted by later-than-usual go-to-market agreements with key retailers"
11,As a result (16:03) was a double-digit decline in volume/mix from a combination of reduced in-store activity and a related decline in shipments
12,"At EBITDA, we had a slightly greater percentage decline than what we saw in organic net sales, reflecting the volume/mix decline and change to promotional levels versus the prior year"
13,"That being said, I think there are three important factors to consider as we move forward"
14,"First, we had significantly favorable pricing relative to local input costs within Q1 EBITDA last year"
15,"Second, despite the headwinds seen in this Q1, Canada's adjusted EBITDA growth is still in the double-digits on a two-year basis"
16,"And third, we are confident that the new go-to-market agreements we've reached in Canada will lead to a resumption of run rate trends in growth and profit margins for the balance of the year"
17,"That brings us to Europe on slide 7 where we saw sequential improvement in overall organic growth, including top-line growth in the UK"
18,"Strong currency headwinds continued to be a factor in reported results and net pricing declined due to timing of promotional activity, primarily in UK and Italy"
19,Volume/mix growth was driven by gains in UK condiments and sauces and this was partially offset by weakness in Italy infant nutrition as well as soup and beverage in Netherlands
20,"Importantly, the ongoing stable consumption growth in the UK gives us the confidence that the business is on the right path, and that our investments with retailers in the second half of last year are now paying off"
21,"At adjusted EBITDA, we had solid constant currency gains from strong cost favorability, mainly manufacturing savings that more than offset unfavorable input costs in local currency driven by transactional currency headwinds"
22,"Going forward in Europe, while we expect further improvement to our performance in the marketplace and across geographies, we expect Q2 organic top line and EBITDA to be held back by two factors: one, is shipments phasing versus the prior year where some July shipments were pulled into June last year; the second is the likelihood of unfavorable product costs as we will continue to face transactional foreign exchange headwinds within our supply chain in the near-term"
23,"Finally, let's look at our Rest of the World segment on slide 8 where results were consistent with expectations we laid out on our last call"
24,"Specifically, our plan for 2017 called for us to go after growth opportunities aggressively and would include significant incremental investments in marketing, go-to-market capabilities and product development that would hold back margins"
25,And Q1 reflected the first stage of this plan
26,"At volume/mix, we had positive on base performance in both China and from condiments and sauces in Latin America"
27,We also had favorable shipments related to the timing of Ramadan in Indonesia that were offset by actions we took to realign our distributor network in several countries and mainly affected our exports business
28,"In the end, we are encouraged by seeing our investments paying off, from condiments and sauces across Latin America, and on a more local basis, a strong organic growth in China, India, Korea, and the Middle East and Africa"
29,"At EBITDA, the strong contribution from volume/mix growth was offset by two factors: one, significant commercial investments in marketing and sales to drive top-line growth in our EMEA region; and two, higher input costs in local currency, particularly affecting our business in India, Egypt and Nigeria"
30,"Looking forward, while we expect our investments to continue as a headwind to EBITDA through the second quarter, we also expect organic sales growth to accelerate from Q1 levels as the year progresses"
31,"That concludes our review of Q1 results, which brings us to our outlook for the remainder of the year"
