,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Paulo,Paulo,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,hello,hello,UH,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,'ll,will,MD,'xx
12,start,start,VB,xxxx
13,on,on,IN,xx
14,slide,slide,NN,xxxx
15,5,5,CD,d
16,with,with,IN,xxxx
17,our,-PRON-,PRP$,xxx
18,U.S,U.S,NNP,X.X
19,"
","
",_SP,"
"
20,As,as,IN,Xx
21,expected,expect,VBN,xxxx
22,",",",",",",","
23,organic,organic,JJ,xxxx
24,net,net,JJ,xxx
25,sales,sale,NNS,xxxx
26,performance,performance,NN,xxxx
27,continued,continue,VBD,xxxx
28,to,to,TO,xx
29,improve,improve,VB,xxxx
30,in,in,IN,xx
31,Q3,Q3,NNP,Xd
32,to,to,IN,xx
33,a,a,DT,x
34,0.4,0.4,CD,d.d
35,%,%,NN,%
36,decline,decline,NN,xxxx
37,"
","
",_SP,"
"
38,Volume,volume,NN,Xxxxx
39,/,/,SYM,/
40,mix,mix,NN,xxx
41,performance,performance,NN,xxxx
42,was,be,VBD,xxx
43,in,in,IN,xx
44,line,line,NN,xxxx
45,with,with,IN,xxxx
46,what,what,WP,xxxx
47,we,-PRON-,PRP,xx
48,saw,see,VBD,xxx
49,in,in,IN,xx
50,Q2.To,Q2.To,NNP,Xd.Xx
51,the,the,DT,xxx
52,plus,plus,JJ,xxxx
53,side,side,NN,xxxx
54,were,be,VBD,xxxx
55,consumption,consumption,NN,xxxx
56,-,-,HYPH,-
57,led,lead,VBN,xxx
58,growth,growth,NN,xxxx
59,in,in,IN,xx
60,Lunchables,Lunchables,NNP,Xxxxx
61,and,and,CC,xxx
62,P3,P3,NNP,Xd
63,",",",",",",","
64,gains,gain,NNS,xxxx
65,in,in,IN,xx
66,foodservice,foodservice,NN,xxxx
67,and,and,CC,xxx
68,a,a,DT,x
69,roughly,roughly,RB,xxxx
70,30,30,CD,dd
71,basis,basis,NN,xxxx
72,point,point,NN,xxxx
73,benefit,benefit,NN,xxxx
74,from,from,IN,xxxx
75,hurricane,hurricane,NN,xxxx
76,-,-,HYPH,-
77,related,relate,VBN,xxxx
78,consumer,consumer,NN,xxxx
79,pantry,pantry,NN,xxxx
80,loading,load,VBG,xxxx
81,"
","
",_SP,"
"
82,But,but,CC,Xxx
83,these,these,DT,xxxx
84,were,be,VBD,xxxx
85,more,more,JJR,xxxx
86,than,than,IN,xxxx
87,offset,offset,VBN,xxxx
88,by,by,IN,xx
89,distribution,distribution,NN,xxxx
90,losses,loss,NNS,xxxx
91,in,in,IN,xx
92,nuts,nut,NNS,xxxx
93,and,and,CC,xxx
94,cheese,cheese,NN,xxxx
95,",",",",",",","
96,as,as,RB,xx
97,well,well,RB,xxxx
98,as,as,IN,xx
99,lower,low,JJR,xxxx
100,shipments,shipment,NNS,xxxx
101,in,in,IN,xx
102,meats,meat,NNS,xxxx
103,and,and,CC,xxx
104,coffee,coffee,NN,xxxx
105,"
","
",_SP,"
"
106,By,by,IN,Xx
107,contrast,contrast,NN,xxxx
108,",",",",",",","
109,pricing,pricing,NN,xxxx
110,began,begin,VBD,xxxx
111,to,to,TO,xx
112,come,come,VB,xxxx
113,through,through,IN,xxxx
114,stronger,strong,JJR,xxxx
115,in,in,IN,xx
116,Q3,Q3,NNP,Xd
117,",",",",",",","
118,reflecting,reflect,VBG,xxxx
119,higher,high,JJR,xxxx
120,prices,price,NNS,xxxx
121,in,in,IN,xx
122,cheese,cheese,NN,xxxx
123,and,and,CC,xxx
124,bacon,bacon,NN,xxxx
125,to,to,TO,xx
126,address,address,VB,xxxx
127,rising,rise,VBG,xxxx
128,commodity,commodity,NN,xxxx
129,costs,cost,NNS,xxxx
130,",",",",",",","
131,as,as,RB,xx
132,well,well,RB,xxxx
133,as,as,IN,xx
134,pricing,pricing,NN,xxxx
135,in,in,IN,xx
136,desserts,dessert,NNS,xxxx
