,Sentences
0,"Thanks, Rodney, and good morning, everyone"
1,"Like Rodney said, we were glad to see the better results compared to the fourth quarter for identical food store sales and for the second quarter-to-date, our ID sales are positive"
2,Tonnage continued to be positive during the first quarter
3,"We continue to focus on the areas of highest growth like natural and organic products as well as areas where we are saving customers’ time, such as ready-to-eat and ready-to-heat meal solutions"
4,Visits per household were flat in the first quarter
5,"Basket size and price per unit were down, but those were offset by household growth"
6,Loyal households grew 3.2% compared to last years first quarter and our loyal households had positive ID sales growth in the first quarter
7,"In the first quarter, our gross margin was down, operating costs were up, and FIFO operating profit was down"
8,"While this is not representative of our typical expectations, it is important to keep in mind that we are making very deliberate and targeted investments in line with our Customer 1st Strategy"
9,As Rodney outlined earlier we’ve made conscious decisions to increase starting wages in certain markets to improve associate engagement and retention that will create a better experience for our customers
10,We continued to invest and grow our digital business
11,Our digital revenue more than doubled in the first quarter compared to last year
12,"This includes revenue from ClickList, Harris Teeter’s ExpressLane and Vitacost"
13,com
14,"As we continued to invest in price, we also remind you,"
15,Kroger’s investment in price can be seen very clearly if you look at our gross margins in the early 2000s compare to today
16,Kroger has invested more than $3.8 billion to lower prices for our customers over that time period
17,We have no intention of giving up the momentum we’ve gained on low prices
18,These investments enable us to connect with our customers in a deeper way and increase our market share over time
19,"We are pleased that Kroger’s market share, as traditionally calculated, was up in the first quarter"
20,"That said, we recognize there is no perfect metric for capturing market share"
21,We are doing a lot of work to better define or perhaps redefine the market as share of stomach rather than share among traditional grocery stores
22,"We see food as a massive, $1.5 trillion market, and we have a substantial growth opportunity in that market"
23,I also want to stress that we are committed to lowering costs as a rate of sales
24,Many of the things we are doing to pull costs out of the business today set us up for savings in the future
25,We will only further intensify our process improvement efforts
26,Now for an update on retail fuel
27,"In the first quarter, our cents per gallon fuel margin was approximately $0.171 compared to $0.143 in the same quarter last year"
28,The average retail price of fuel was $2.28 versus $1.92 in the same quarter last year
29,Our net total debt to adjusted EBITDA ratio increased to 2.33 times compare to 2.12 during the same period last year
30,This result is due to the merger with ModernHEALTH and the repurchase of shares
31,"Over the last four quarters, Kroger has used free cash flow to repurchase $1.5 billion in common shares, pay $438 million in dividends, invest $3.4 billion in capital, and merge with ModernHEALTH for approximately $390 million"
32,The flexibility to return value to shareholders is a core strength of our financial strategy
33,We are committed to balancing the use of cash to maintain our current investment grade rating
34,"Return on invested capital for the first quarter, on a rolling four quarter basis, was 12.75%"
