,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Rodney,Rodney,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Like,like,IN,Xxxx
11,Rodney,Rodney,NNP,Xxxxx
12,said,say,VBD,xxxx
13,",",",",",",","
14,we,-PRON-,PRP,xx
15,were,be,VBD,xxxx
16,glad,glad,JJ,xxxx
17,to,to,TO,xx
18,see,see,VB,xxx
19,the,the,DT,xxx
20,better,well,JJR,xxxx
21,results,result,NNS,xxxx
22,compared,compare,VBN,xxxx
23,to,to,IN,xx
24,the,the,DT,xxx
25,fourth,fourth,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,for,for,IN,xxx
28,identical,identical,JJ,xxxx
29,food,food,NN,xxxx
30,store,store,NN,xxxx
31,sales,sale,NNS,xxxx
32,and,and,CC,xxx
33,for,for,IN,xxx
34,the,the,DT,xxx
35,second,second,JJ,xxxx
36,quarter,quarter,NN,xxxx
37,-,-,HYPH,-
38,to,to,IN,xx
39,-,-,HYPH,-
40,date,date,NN,xxxx
41,",",",",",",","
42,our,-PRON-,PRP$,xxx
43,ID,ID,NNP,XX
44,sales,sale,NNS,xxxx
45,are,be,VBP,xxx
46,positive,positive,JJ,xxxx
47,"
","
",_SP,"
"
48,Tonnage,tonnage,NN,Xxxxx
49,continued,continue,VBD,xxxx
50,to,to,TO,xx
51,be,be,VB,xx
52,positive,positive,JJ,xxxx
53,during,during,IN,xxxx
54,the,the,DT,xxx
55,first,first,JJ,xxxx
56,quarter,quarter,NN,xxxx
57,"
","
",_SP,"
"
58,We,-PRON-,PRP,Xx
59,continue,continue,VBP,xxxx
60,to,to,TO,xx
61,focus,focus,VB,xxxx
62,on,on,IN,xx
63,the,the,DT,xxx
64,areas,area,NNS,xxxx
65,of,of,IN,xx
66,highest,high,JJS,xxxx
67,growth,growth,NN,xxxx
68,like,like,IN,xxxx
69,natural,natural,JJ,xxxx
70,and,and,CC,xxx
71,organic,organic,JJ,xxxx
72,products,product,NNS,xxxx
73,as,as,RB,xx
