,Sentences
0,"Thank you, Mark, and hello everybody"
1,"Following are our consolidated financial headlines for the second quarter versus pro forma results a year ago, except for cash flow, which is reported on an actual basis"
2,"Global net sales per hectoliter grew 1.7% in constant currency, driven by the U.S"
3,", Canada and Europe"
4,"Worldwide total brand volume increased 2.3%, due to strong growth in Europe and International, partially as a result of adding the Miller global brands business, but also from growth in some of our core brands"
5,Our global priority brands grew 4.6%
6,"GAAP net income increased 4%, and underlying non-GAAP net income increased 2.9%, driven by increased brand volume, higher net pricing, positive sales mix, cost savings and lower marketing spending, partially offset by a higher underlying effective tax rate"
7,"This non-GAAP result was up nearly 50% on a reported basis, which demonstrates the substantial earnings accretion from the MillerCoors transaction"
8,"In the second quarter, we reported nearly $794 million of underlying EBITDA, a 4.2% increase from the pro forma result a year ago"
9,"In constant currency, underlying EBITDA was up 5.7%"
10,"Year-to-date underlying free cash flow was $586.7 million, which more than tripled versus $176.9 million in the first half of 2016."
11,"This significant increase was driven by the addition of the other 58% of MillerCoors cash flows, as well as lower cash paid for taxes, which were partially offset by higher cash paid for interest"
12,"With this strong free cash flow, we reduced our net debt by more than $522 million in the second quarter"
13,"Now, I'd like to share some regional highlights for the second quarter"
14,", we grew net sales and underlying EBITDA on a pro forma basis, with 7.9% earnings growth driven by lower MG&A expenses, higher net pricing, positive sales mix, and cost savings"
15,"domestic net sales per hectoliter, which excludes contract brewing and company-owned distributor sales, grew 1% for the quarter as a result of higher net pricing and positive sales mix, partially offset by cycling a multi-year adjustment in federal excise tax expense last year"
16,Cycling this adjustment in federal excise tax reduced our NSR per hectoliter by 40 basis points this quarter
17,"Overall, U.S"
18,"STRs declined 1.9%, but against the backdrop of a weak industry, we achieved our best first-half market share trend in more than three years"
19,"STRs were particularly soft late in the second quarter, which drove moderately higher than planned inventories for our distributors at the end of the quarter, but also lower out of stocks around the 4th of July holiday"
20,We expect the majority of this additional inventory to be sold through by the end of the third quarter
21,"We grew our share of the Premium Light segment, with Coors Light achieving its ninth consecutive quarter of increased segment share and Miller Lite reaching 11 consecutive quarters of increased segment share"
22,"Overall, our Premium Light segment volumes were down low-single digits"
23,Coors Banquet grew volume at a mid-single-digit rate and also increased segment share
24,"Our total Above Premium segment returned to growth, up low-single digits, driven by both our regional and national craft brands"
25,"Blue Moon Belgian White, Leinenkugel's, and Peroni grew strongly, while Redd's and Henry's posted lower volume"
26,"Zima, which returned to the U.S"
27,"market for a limited period, was Nielsen's number five growth brand for the four weeks ending July, the 1st"
28,"Our below-premium brands were down low-single digits for the second consecutive quarter, a significant trend improvement from the last – the past several years"
29,"Our Canada underlying EBITDA declined 9.7% on a reported basis, primarily due to the impact of lower volume, input cost inflation, and negative foreign currency movements"
30,Underlying EBITDA in constant currency was 7.2% lower
31,"Overall Canada brand volume declined 1.3%, as a result of lower domestic volumes, partially driven by soft industry volume"
32,"Including the return of the Miller brands to our portfolio, we increased overall market share for the second consecutive quarter"
33,Coors Light and Molson Canadian volumes declined in the quarter
34,"Nonetheless, we continued to drive our First Choice agenda, including revenue management strategies, to bring momentum back to the top line"
35,"As a result, net sales per hectoliter in local currency increased 2.3%, driven by positive pricing and brand mix, primarily due to higher import brand volume"
36,We continued to premiumize our portfolio through volume and market share gains by import brands led by Coors Banquet; above-premium craft brands including Belgian Moon and Granville Island; and the addition of the Miller brands
37,"Europe grew underlying EBITDA 13.8%, which equates to 21.3% growth in constant currency, driven by higher volume, positive sales mix, the quarterly timing of marketing investments, increased net pension benefits, and the later timing of the Easter holiday this year"
38,These positive factors were partially offset by unfavorable foreign currency movements
39,"Brand volume increased 11.5% in the second quarter, primarily driven by the transfer of royalty and export brand volume across Europe from our International business and the addition of the Miller brands, along with the timing of Easter and strong growth from our core and above-premium brands"
40,Net sales per hectoliter increased 3.7% in local currency due to positive mix and net pricing
41,"Underlying EBITDA for our International business was a loss of $0.9 million, which improved from a loss of $1.7 million a year ago"
42,Brand volume increased more than 40% in the second quarter to 1.2 million hectoliters
43,"Our second quarter net sales grew more than 65% due to higher volume, along with positive pricing, while net sales per hectoliter declined 5.5% due to sales mix changes"
44,"This increase was driven by the transfer of our Puerto Rico business from MillerCoors, the addition of the Miller global brands, and Coors Light growth in Latin America, partially offset by the transfer of Europe royalty and export business to the Europe segment"
45,"In Latin America, excluding the addition of Puerto Rico, we grew Coors Light volume at a high-single-digit rate"
46,"The Miller brands integration process is continuing to progress as expected, and we have successfully exited almost all of our Transitional Service Agreements during the second quarter"
47,"In each of these instances, we have established routes to market that give us a strong platform for growth"
48,"Please see the earnings release we distributed earlier this morning for a detailed review of our business unit financial results in the second quarter, as well as our latest outlook and guidance targets"
49,"This quarter, we have made the following adjustments to our guidance metrics: We now expect cost of goods sold per hectoliter for the full year 2017 in our International business to decrease at a mid-single-digit rate, versus a double-digit decrease previously"
50,With the dynamic tax environment in the U.S
51,"right now, we are not changing our tax rate range of 24% to 28%, but our current view is that our full year underlying tax rate will be in the top half of this range"
52,We now expect cash pension contributions in the range of $300 million to $320 million to defined benefit plans in 2017.
53,"This range is $200 million higher than our previous target, as we plan to make an additional discretionary contribution of $200 million to our U.S"
54,plan in the third quarter as part of our deleveraging goal
55,"Rating agencies treat pension under-funded status the same as debt, so this pension contribution will also benefit our investment-grade debt ratings"
56,"Note that all of these anticipated pension contributions are included in our 2017 underlying free cash flow target of $1.2 billion, plus or minus 10%"
57,This discretionary contribution is a strong indication of the progress we are making in achieving our financial plans and quickly paying down debt
58,We remain committed to reducing our leverage ratio to about four times on a rating-agency basis by the end of 2018.
59,"Looking forward, we are focused on three primary financial targets – first, cash generation; we made great progress in this area in the second quarter, and we are confident that we will achieve our cash goals this year"
60,"Second, deleverage; we reduced our net debt by more than $520 million in the second quarter"
61,"And third, we continue to expect the underlying EBITDA margin growth to average between 30 basis points and 60 basis points for the next three years to four years, while we remain focused on growing our top line, as well"
62,"At this point, I'll turn it back over to Mark for the business outlook, wrap up and the Q&A"
63,"Hi, Judy"
64,"So, just a couple of things"
65,"As I've said before, my priority is to generate free cash flow as quickly as possible, so that we can deleverage, and we've made that commitment to the rating agencies to be around four times by the end of 2018."
66,"So, U.S"
67,", I mean, we are generating stronger free cash flow and that has allowed us to make this incremental contribution to our U.S"
68,"So, that is the U.S"
69,So I do want to remind you that pension contributions are deductible for tax
70,That $200 million in gross
71,You would need to tax effect that to get the net number
