,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jamie,Jamie,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,thank,thank,VBP,xxxx
7,you,-PRON-,PRP,xxx
8,all,all,DT,xxx
9,for,for,IN,xxx
10,joining,join,VBG,xxxx
11,us,-PRON-,PRP,xx
12,this,this,DT,xxxx
13,morning,morning,NN,xxxx
14,"
","
",_SP,"
"
15,I,-PRON-,PRP,X
16,am,be,VBP,xx
17,pleased,pleased,JJ,xxxx
18,to,to,TO,xx
19,report,report,VB,xxxx
20,that,that,IN,xxxx
21,our,-PRON-,PRP$,xxx
22,second,second,JJ,xxxx
23,quarter,quarter,NN,xxxx
24,results,result,NNS,xxxx
25,were,be,VBD,xxxx
26,very,very,RB,xxxx
27,much,much,RB,xxxx
28,in,in,IN,xx
29,line,line,NN,xxxx
30,with,with,IN,xxxx
31,our,-PRON-,PRP$,xxx
32,expectations,expectation,NNS,xxxx
33,and,and,CC,xxx
34,that,that,IN,xxxx
35,we,-PRON-,PRP,xx
36,remain,remain,VBP,xxxx
37,on,on,IN,xx
38,track,track,NN,xxxx
39,to,to,TO,xx
40,meet,meet,VB,xxxx
41,our,-PRON-,PRP$,xxx
42,full,full,JJ,xxxx
43,-,-,HYPH,-
44,year,year,NN,xxxx
45,2017,2017,CD,dddd
46,financial,financial,JJ,xxxx
47,goals,goal,NNS,xxxx
48,"
","
",_SP,"
"
49,For,for,IN,Xxx
50,the,the,DT,xxx
51,quarter,quarter,NN,xxxx
52,",",",",",",","
53,while,while,IN,xxxx
54,our,-PRON-,PRP$,xxx
55,reported,report,VBN,xxxx
56,results,result,NNS,xxxx
57,continue,continue,VBP,xxxx
58,to,to,TO,xx
59,be,be,VB,xx
60,impacted,impact,VBN,xxxx
61,by,by,IN,xx
62,macro,macro,JJ,xxxx
63,volatility,volatility,NN,xxxx
64,and,and,CC,xxx
65,weak,weak,JJ,xxxx
66,currencies,currency,NNS,xxxx
67,",",",",",",","
68,organic,organic,JJ,xxxx
69,revenue,revenue,NN,xxxx
70,was,be,VBD,xxx
71,up,up,RB,xx
72,more,more,JJR,xxxx
73,than,than,IN,xxxx
74,3,3,CD,d
75,%,%,NN,%
76,globally,globally,RB,xxxx
77,",",",",",",","
78,a,a,DT,x
79,sequential,sequential,JJ,xxxx
80,acceleration,acceleration,NN,xxxx
81,from,from,IN,xxxx
82,our,-PRON-,PRP$,xxx
83,growth,growth,NN,xxxx
84,rate,rate,NN,xxxx
85,in,in,IN,xx
86,the,the,DT,xxx
87,first,first,JJ,xxxx
88,quarter,quarter,NN,xxxx
89,"
","
",_SP,"
"
90,We,-PRON-,PRP,Xx
91,generated,generate,VBD,xxxx
92,organic,organic,JJ,xxxx
93,revenue,revenue,NN,xxxx
94,growth,growth,NN,xxxx
95,across,across,IN,xxxx
96,both,both,DT,xxxx
97,developed,develop,VBD,xxxx
98,and,and,CC,xxx
99,developing,develop,VBG,xxxx
100,and,and,CC,xxx
101,emerging,emerge,VBG,xxxx
102,markets,market,NNS,xxxx
103,",",",",",",","
104,with,with,IN,xxxx
105,developed,develop,VBN,xxxx
106,markets,market,NNS,xxxx
107,up,up,RB,xx
108,2,2,CD,d
109,%,%,NN,%
110,and,and,CC,xxx
111,D&E,D&E,NNP,X&X
112,markets,market,NNS,xxxx
113,growing,grow,VBG,xxxx
114,6,6,CD,d
115,%,%,NN,%
116,"
","
",_SP,"
"
117,The,the,DT,Xxx
118,portfolio,portfolio,NN,xxxx
119,generated,generate,VBD,xxxx
120,strong,strong,JJ,xxxx
121,net,net,JJ,xxx
122,price,price,NN,xxxx
123,realization,realization,NN,xxxx
124,and,and,CC,xxx
125,core,core,NN,xxxx
126,constant,constant,JJ,xxxx
127,currency,currency,NN,xxxx
128,operating,operating,NN,xxxx
129,profit,profit,NN,xxxx
130,grew,grow,VBD,xxxx
131,7,7,CD,d
132,%,%,NN,%
133,"
","
",_SP,"
"
134,Core,core,VB,Xxxx
135,constant,constant,JJ,xxxx
