,Sentences
0,"Thank you, Bill, and good morning, everyone"
1,Sysco's financial results announced this morning reflect solid operating performance and continued progress against several of our key multi-year initiatives
2,"While we did experience some temporary headwinds, including the impact of the hurricanes on some of our customers, rising inflation, and a challenging inbound freight environment, we remain on track to achieve a successful year and ultimately deliver on our three-year operating income target"
3,"Looking at our first quarter results by business segment, beginning with U.S"
4,"Foodservice Operations, sales grew 3.9% for the quarter, gross profit grew 3.8%, and gross margins remain flat"
5,"Adjusting for the hurricanes, gross profit dollar growth would have been approximately 4.3%"
6,The growth in gross profit dollars can be attributed to the continued focus on category management including positive momentum from Sysco Brand and a balanced approach to pricing with our ongoing revenue management efforts
7,"For the quarter, local case growth in our U.S"
8,Broadline business remained strong at 2.8% and has now grown for 14 consecutive quarters
9,"Adjusting for hurricanes, we believe that local case growth would have been over 3%"
10,"Our multi-unit customer segment declined, driving overall case growth to a modest 0.3%"
11,"As we've discussed, we have proactively managed our business in a more disciplined, profitable manner with multi-unit customers"
12,We have recently begun to add some new customers and should see multi-unit growth begin to build in the second quarter and continue throughout the remainder of the year
13,"While we do see customers' preference – consumers' preferences in restaurants continuing to include new, unique and customizable options that are fresh and healthy, we also see relative strength in concepts that offer convenience, low cost for consumers, and familiarity"
14,"These combined preferences benefit both our local and emerging multi-unit customers who provide value in terms of quality, dining environment, and a reasonable price point"
15,"From a product perspective, we continue to invest in our Sysco Brand as part of a larger brand revitalization effort including a reinvigoration of our portfolio that offers cleaner, fresher images for our branded products"
16,"These changes, along with new innovation, have positively contributed to brand growth, up another 82 basis points versus prior year"
17,"Regarding our supplier community, there were many examples during the recent storms where our supplier partners were there to support us and our customers who were in need"
18,And I also want to share our thanks to all of those who supported us
19,Our digital ordering presence continues to grow and has now improved to approximately 40% of local cases ordered
20,"This increased utilization is a result of our solid technology platform including improved product images and content, enhanced system capabilities, and increased levels of training"
21,"Also, as we centralized our support model for multi-unit accounts with tools such as order guide management, both Sysco and our customers have begun to see the benefits of working together to drive efficiencies in the business"
22,"Turning our attention to cost, our adjusted operating expense growth for the quarter was 3.2%"
23,"While there were some definite headwinds that drove our supply chain costs, we continue to see positive momentum from productivity initiatives and ongoing process improvements"
24,"We are now implementing next evolution of tools to help streamline hours, improve delivery, and drive warehouse efficiencies"
25,"From an administrative cost perspective, we continue to focus on managing these expenses throughout the organization"
26,"Effectively managing overall cost structure remains a key priority for us, and we continue to focus on a variety of opportunities to deliver improvement"
27,A key pillar of Sysco's strategy for growth and value creation is the continuous assessment of new market opportunities
28,"As many of you know, we recently acquired HFM FoodService, a Hawaii-based broadline distributor with approximately $290 million in annual sales"
29,HFM has been providing quality service to Hawaii and Guam for over 50 years
30,We're excited to welcome them to Sysco family
31,"Acquiring HFM provides Sysco with direct access to the growing Hawaiian market and is in clear alignment with our strategy for disciplined, profitable growth of the business"
32,We will report this business in our U.S
33,Foodservice segment going forward
34,"Moving to International Foodservice Operations, we had mixed results for the quarter"
35,"With sales growing 6%, gross profit growing 3%, and adjusted operating expenses increasing 5%"
36,"Driven by investments in our European supply chain transformation, transition costs associated with a new large customer in Mexico, and currency translation in Canada"
37,Overall adjusted operating income declined by 8% for the quarter
38,Our business in Canada is off to a great start this year
39,"We are experiencing local case growth in most regions, especially in major markets"
40,We are also thoughtfully sharing and implementing strategic initiatives from our U.S
41,"business, such as revenue management and other customer-centric solutions, including online ordering, to their business"
42,"These capabilities, along with a more focused approach to local customers, have translated into accelerated local case growth"
43,"Additionally, we are effectively managing our cost structure and improving supply chain efficiencies to help maintain a healthy gap between gross profit growth and expense growth to drive our overall performance"
44,"Our European business is facing some macroeconomic headwinds, as customers are experiencing slower restaurant traffic and an overall slowdown in Food Away From Home in the UK"
45,"Additionally, the UK continues to experience acute inflation due to weakness in the pound sterling, which resulted in high food cost inflation of about 9% during the first quarter"
46,"While we expect these headwinds in the UK to continue throughout our fiscal year, we are actively managing the business to mitigate these impacts"
47,"As for our business in Latin America, we are excited about the growth opportunities in this region, although there were some weakness due to the recent earthquakes in Mexico City and expenses related to the addition of a large customer in Mexico that I mentioned earlier"
48,"In Costa Rica, we continued to see solid growth as we continue expanding our Cash & Carry footprint"
49,"Additionally, subsequent to the close of our first quarter, we have completed the purchase of the remaining 50% of the Mayca business in Costa Rica"
50,"We will use cash to complete this transaction, and our debt levels will not be affected"
51,"We initially purchased 50% of the business in 2014, and we are very pleased with the performance thus far, as adjusted EBITDA has doubled in the past three years"
52,We look forward to continued success with the Mayca team
53,"Lastly, our SYGMA segment continues to grow"
54,We are focused on implementing operational improvements that will contribute to long-term operating income improvement
55,"In summary, we feel good about the fundamentals of our business and about the trajectory that we're on for fiscal 2018, to close out our three-year plan"
56,"Despite the severe weather-related challenges we faced in Q1, we continue to make progress on our customer and operational strategies to improve our customer's experience, and I remain confident in our ability to deliver the high end of our adjusted operating income growth target of $600 to $650 million"
57,"Now I'd like to turn the call over to Joel Grade, our Chief Financial Officer"
58,"So, John, good morning"
59,It's Tom
60,What I would say is that we talked a lot over the last couple years about all the tools that we've been building in the revenue management area and that we felt good that they were going to help us both in deflationary and inflationary times
61,"And what I would just reiterate is that a lot of those tools – because what we are seeing in some of these categories is fairly heavy inflation in a couple of the ones that Joel highlighted: meat, poultry, dairy"
62,"And so what they really allow us to do is effectively pass on the pricing where we can, but do it in a balanced way such that our customers aren't feeling significant impacts over the short-term as well"
63,"So, it's really a matter of week-by-week providing our salespeople the right information, insight and guidance on how to basically price and be competitive in the marketplace"
64,"So, I assume – let's start with margin"
65,"When you talk about margin, you're probably talking about gross margin"
66,"And generally speaking, the margin – gross margin in Europe tends to be higher than what it is in the U.S"
67,"But their cost structures tend to be a little higher as well, which ultimately affects the operating margin"
68,"A lot of the activity that we've started to share, they have their own kind of category management approach and program, but we're starting to share more information between the European team and the U.S"
69,team around how we might think about that process going forward
70,"So, there could be some benefits regarding the product costs"
71,But I'd say the bigger areas are probably around how we leverage some of the solutions we've built around the sales model here
72,"We've talked over the last couple of years about the solutions that we've built out, whether it be things like business review or the revenue management capability, or even how we think about building out the branded portfolio in our Sysco Brand, and those all remain, I think, opportunities for us to help leverage some of that learnings out of the U.S"
73,and share those best practices in Europe
74,And we've started that process already with that team
75,The only other thing
76,was fuel
77,And so where's (28:48) about a penny detriment on fuel versus prior year
78,"And the buildout, the cost comments that Joel made from an operating perspective, when you think about the way we run our business and the impacts of the – some of the storms, we still are basically paying all of our associates, drivers, warehouse, et cetera, without any case activity during those times"
79,"And so, that's what drove some of that incremental expense from an operating perspective as well"
