,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Bill,Bill,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Sysco,Sysco,NNP,Xxxxx
12,'s,'s,POS,'x
13,financial,financial,JJ,xxxx
14,results,result,NNS,xxxx
15,announced,announce,VBD,xxxx
16,this,this,DT,xxxx
17,morning,morning,NN,xxxx
18,reflect,reflect,VBP,xxxx
19,solid,solid,JJ,xxxx
20,operating,operating,NN,xxxx
21,performance,performance,NN,xxxx
22,and,and,CC,xxx
23,continued,continue,VBN,xxxx
24,progress,progress,NN,xxxx
25,against,against,IN,xxxx
26,several,several,JJ,xxxx
27,of,of,IN,xx
28,our,-PRON-,PRP$,xxx
29,key,key,JJ,xxx
30,multi,multi,JJ,xxxx
31,-,-,JJ,-
32,year,year,JJ,xxxx
33,initiatives,initiative,NNS,xxxx
34,"
","
",_SP,"
"
35,While,while,IN,Xxxxx
36,we,-PRON-,PRP,xx
37,did,do,VBD,xxx
38,experience,experience,VB,xxxx
39,some,some,DT,xxxx
40,temporary,temporary,JJ,xxxx
41,headwinds,headwind,NNS,xxxx
42,",",",",",",","
43,including,include,VBG,xxxx
44,the,the,DT,xxx
45,impact,impact,NN,xxxx
46,of,of,IN,xx
47,the,the,DT,xxx
48,hurricanes,hurricane,NNS,xxxx
49,on,on,IN,xx
50,some,some,DT,xxxx
51,of,of,IN,xx
52,our,-PRON-,PRP$,xxx
53,customers,customer,NNS,xxxx
54,",",",",",",","
55,rising,rise,VBG,xxxx
56,inflation,inflation,NN,xxxx
57,",",",",",",","
58,and,and,CC,xxx
59,a,a,DT,x
60,challenging,challenging,JJ,xxxx
61,inbound,inbound,JJ,xxxx
62,freight,freight,NN,xxxx
63,environment,environment,NN,xxxx
64,",",",",",",","
65,we,-PRON-,PRP,xx
66,remain,remain,VBP,xxxx
67,on,on,IN,xx
68,track,track,NN,xxxx
69,to,to,TO,xx
70,achieve,achieve,VB,xxxx
71,a,a,DT,x
72,successful,successful,JJ,xxxx
73,year,year,NN,xxxx
74,and,and,CC,xxx
75,ultimately,ultimately,RB,xxxx
76,deliver,deliver,VB,xxxx
77,on,on,IN,xx
78,our,-PRON-,PRP$,xxx
79,three,three,CD,xxxx
80,-,-,HYPH,-
81,year,year,NN,xxxx
82,operating,operating,NN,xxxx
83,income,income,NN,xxxx
84,target,target,NN,xxxx
85,"
","
",_SP,"
"
86,Looking,look,VBG,Xxxxx
87,at,at,IN,xx
88,our,-PRON-,PRP$,xxx
89,first,first,JJ,xxxx
90,quarter,quarter,NN,xxxx
91,results,result,NNS,xxxx
92,by,by,IN,xx
93,business,business,NN,xxxx
94,segment,segment,NN,xxxx
95,",",",",",",","
96,beginning,begin,VBG,xxxx
97,with,with,IN,xxxx
98,U.S,U.S,NNP,X.X
99,"
","
",_SP,"
"
100,Foodservice,Foodservice,NNP,Xxxxx
101,Operations,Operations,NNPS,Xxxxx
102,",",",",",",","
103,sales,sale,NNS,xxxx
104,grew,grow,VBD,xxxx
105,3.9,3.9,CD,d.d
106,%,%,NN,%
107,for,for,IN,xxx
108,the,the,DT,xxx
109,quarter,quarter,NN,xxxx
110,",",",",",",","
111,gross,gross,JJ,xxxx
112,profit,profit,NN,xxxx
113,grew,grow,VBD,xxxx
114,3.8,3.8,CD,d.d
115,%,%,NN,%
116,",",",",",",","
117,and,and,CC,xxx
118,gross,gross,JJ,xxxx
119,margins,margin,NNS,xxxx
120,remain,remain,VBP,xxxx
121,flat,flat,JJ,xxxx
122,"
","
",_SP,"
"
123,Adjusting,adjust,VBG,Xxxxx
124,for,for,IN,xxx
125,the,the,DT,xxx
126,hurricanes,hurricane,NNS,xxxx
127,",",",",",",","
128,gross,gross,JJ,xxxx
129,profit,profit,NN,xxxx
130,dollar,dollar,NN,xxxx
131,growth,growth,NN,xxxx
132,would,would,MD,xxxx
133,have,have,VB,xxxx
