,Sentences
0,"Welcome, everyone, and thank you for joining Clorox's third quarter conference call"
1,"On the call with me today are Benno Dorer, Clorox's Chairman and CEO; and Steve Robb, our Chief Financial Officer"
2,"We're broadcasting this call over the Internet, and a replay of the call will be available for seven days at our website, thecloroxcompany"
3,com
4,"Let me remind you that on today's call, we will refer to certain non-GAAP financial measures, including, but not limited to, free cash flow, EBIT margin, debt to EBITDA and economic profit"
5,Management believes that providing insights on these measures enables investors to better understand and analyze our ongoing results of operations
6,"Reconciliation with the most directly comparable financial measures determined in accordance with GAAP can be found in today's press release, this webcast's prepared remarks or supplemental information available in the financial results area of our website as well as in our filings with the SEC"
7,"In particular, it may be helpful to refer to tables located at the end of today's earnings release"
8,Please recognize that today's discussion contains forward-looking statements
9,Actual results or outcomes could differ materially from management's expectations and plans
10,Please review our most recent 10-K filing with the SEC and our other SEC filings for a description of important factors that could cause results or outcomes to differ materially from management's expectations and plans
11,Company undertakes no obligation to publicly update or revise any forward-looking statements
12,"So with that, we'll now turn to our prepared remarks"
13,I'll cover our highlights of our third quarter business performance by segment
14,"Steve Robb will then address our financial results and outlook, and then finally, Benno will close with his perspective"
15,And then we'll open up the call for your questions
16,So let me start with our top line results
17,"In the third quarter, we reported 4% sales growth, which is really building on the results we've seen year-to-date"
18,"And, I think it's worth noting, this is in a consumer environment, where generally growth has been hard to achieve"
19,"Helping drive these results for Clorox are the investments we've made in our brands, including in innovation, and I'll be talking more about that in a moment"
20,So let me start with our Cleaning segment
21,"In our Cleaning segment, we saw third quarter volume increase 13% and sales grew 7%, and this was behind higher shipments of Home Care and Professional Products"
22,"And sales growth, while quite strong at 7%, did lag volume growth primarily due to unfavorable mix from incremental distribution in the club channel, as well as our higher investment in trade promotion in the quarter"
23,"In Home Care, which is our largest U.S"
24,"business unit, sales increased double digits and this gain was driven by very strong volume growth, particularly from disinfecting products with record third quarter shipments of Clorox disinfecting wipes behind club channel distribution, as well as from our new Clorox Scentiva line of disinfecting wipes and sprays"
25,"These products provide an experiential fragrance while cleaning the home, and while still early, Clorox Scentiva is off to a strong start"
26,"If you look across all of Home Care, the gains in volume were really very broad-based across both channels and the entire portfolio"
27,"And this is really consistent with our results because, as we saw, the business unit delivered its 11th consecutive quarter of market share gains"
28,"Moving to the Professional Products business, it delivered strong sales growth in the quarter with continued strength in professional cleaning, driven by Clorox disinfecting wipes, Pine-Sol and Glad, aided in part by strength in B2B e-commerce channels"
29,"And in professional healthcare, the new product we discussed with you last quarter, Clorox Fuzion, continues to run well ahead of expectations"
30,"As a reminder, Fuzion is a new cleaner and disinfectant for healthcare institutions that kills microorganisms, but with minimal residue or odor which addresses a significant need in the healthcare business"
31,"Turning to our Laundry business, sales decreased slightly largely due to continuing softness in our Clorox 2 color-safe laundry additive business"
32,"However, our strategy for the entire Laundry business remains unchanged as we continue to trade up consumers to more value-added offerings such as Clorox Splash-less Bleach, which is doing quite well, as well as leveraging the Clorox equity across both Laundry and Cleaning, which is reflected in the success we've seen in our Home Care business"
33,"Turning to our Household segment, we delivered 9% volume growth and 4% sales growth"
34,"Lower third quarter sales in Charcoal were more than offset by the benefit of the Renew Life digestive health business we acquired last May, as well as from higher sales in Cat Litter"
