,Word,Lemma,POSTag,Shape
0,Welcome,welcome,UH,Xxxxx
1,",",",",",",","
2,everyone,everyone,NN,xxxx
3,and,and,CC,xxx
4,thank,thank,VBP,xxxx
5,you,-PRON-,PRP,xxx
6,for,for,IN,xxx
7,joining,join,VBG,xxxx
8,us,-PRON-,PRP,xx
9,"
","
",_SP,"
"
10,On,on,IN,Xx
11,the,the,DT,xxx
12,call,call,NN,xxxx
13,with,with,IN,xxxx
14,me,-PRON-,PRP,xx
15,today,today,NN,xxxx
16,are,be,VBP,xxx
17,Benno,Benno,NNP,Xxxxx
18,Dorer,Dorer,NNP,Xxxxx
19,",",",",",",","
20,Clorox,Clorox,NNP,Xxxxx
21,',',POS,'
22,Chairman,Chairman,NNP,Xxxxx
23,and,and,CC,xxx
24,CEO,CEO,NNP,XXX
25,;,;,:,;
26,Steve,Steve,NNP,Xxxxx
27,Robb,Robb,NNP,Xxxx
28,",",",",",",","
29,our,-PRON-,PRP$,xxx
30,Chief,Chief,NNP,Xxxxx
31,Financial,Financial,NNP,Xxxxx
32,Officer,Officer,NNP,Xxxxx
33,"
","
",_SP,"
"
34,We,-PRON-,PRP,Xx
35,'re,be,VBP,'xx
36,broadcasting,broadcast,VBG,xxxx
37,this,this,DT,xxxx
38,call,call,NN,xxxx
39,over,over,IN,xxxx
40,the,the,DT,xxx
41,Internet,internet,NN,Xxxxx
42,and,and,CC,xxx
43,a,a,DT,x
44,replay,replay,NN,xxxx
45,of,of,IN,xx
46,the,the,DT,xxx
47,call,call,NN,xxxx
48,will,will,MD,xxxx
49,be,be,VB,xx
50,available,available,JJ,xxxx
51,for,for,IN,xxx
52,seven,seven,CD,xxxx
53,days,day,NNS,xxxx
54,at,at,IN,xx
55,our,-PRON-,PRP$,xxx
56,website,website,NN,xxxx
57,",",",",",",","
58,that,that,DT,xxxx
59,'s,be,VBZ,'x
60,thecloroxcompany,thecloroxcompany,NN,xxxx
61,"
","
",_SP,"
"
62,com,com,NNP,xxx
63,"
","
",_SP,"
"
64,Let,let,VB,Xxx
65,me,-PRON-,PRP,xx
66,remind,remind,VB,xxxx
67,you,-PRON-,PRP,xxx
68,that,that,IN,xxxx
69,on,on,IN,xx
70,today,today,NN,xxxx
71,'s,'s,POS,'x
72,call,call,NN,xxxx
73,",",",",",",","
74,we,-PRON-,PRP,xx
75,'ll,will,MD,'xx
76,refer,refer,VB,xxxx
77,to,to,IN,xx
78,certain,certain,JJ,xxxx
79,non,non,JJ,xxx
80,-,-,JJ,-
81,GAAP,gaap,JJ,XXXX
82,financial,financial,JJ,xxxx
83,measures,measure,NNS,xxxx
84,",",",",",",","
85,including,include,VBG,xxxx
86,but,but,CC,xxx
87,not,not,RB,xxx
88,limited,limit,VBN,xxxx
89,to,to,TO,xx
90,free,free,JJ,xxxx
91,cash,cash,NN,xxxx
92,flow,flow,NN,xxxx
93,",",",",",",","
94,EBIT,ebit,JJ,XXXX
95,margin,margin,NN,xxxx
96,",",",",",",","
97,debt,debt,NN,xxxx
98,to,to,IN,xx
99,EBITDA,EBITDA,NNP,XXXX
100,",",",",",",","
101,and,and,CC,xxx
102,economic,economic,JJ,xxxx
103,profit,profit,NN,xxxx
104,"
","
",_SP,"
"
105,Management,management,NN,Xxxxx
106,believes,believe,VBZ,xxxx
107,that,that,IN,xxxx
108,providing,provide,VBG,xxxx
109,insights,insight,NNS,xxxx
110,on,on,IN,xx
111,these,these,DT,xxxx
112,measures,measure,NNS,xxxx
113,enables,enable,VBZ,xxxx
114,investors,investor,NNS,xxxx
115,to,to,TO,xx
116,better,better,RBR,xxxx
117,understand,understand,VB,xxxx
118,and,and,CC,xxx
119,analyze,analyze,VB,xxxx
120,our,-PRON-,PRP$,xxx
121,ongoing,ongoing,JJ,xxxx
122,results,result,NNS,xxxx
123,of,of,IN,xx
124,operations,operation,NNS,xxxx
125,"
","
",_SP,"
"
126,Reconciliations,reconciliation,NNS,Xxxxx
127,with,with,IN,xxxx
128,the,the,DT,xxx
129,most,most,RBS,xxxx
130,directly,directly,RB,xxxx
131,comparable,comparable,JJ,xxxx
132,financial,financial,JJ,xxxx
133,measures,measure,NNS,xxxx
