,Sentences
0,Good morning to all of you on the phone and the webcast
1,"And I apologize for my voice, as I'm fighting a head and chest cold"
2,"In 2016, we made progress against our strategic plans that strengthened our business model and positions the company for future growth"
3,"Our productivity and cost savings initiatives drove EBIT margin expansion in full year EPS growth of 7%, the midpoint of our long-term target"
4,"And we continue to generate solid operating cash flow, about $1 billion in 2016, which gives us a lot of financial flexibility"
5,"Looking at marketplace performance, our core U.S"
6,", CMG and snacks business progressed as we anticipated"
7,"Retail takeaway and market share performance in the second half of the year was better than the first half of the year, which was impacted by shorter Easter and merchandising and display strategies at select customers"
8,This resulted in full-year snacking market share growth of about 10 basis points
9,We also began a strategic review of our global cost structure that should result in solid margin expansion and EPS growth
10,We look forward to talking about our business in these plans in more details on the March 1 at our investor update
11,Let me now provide you with some detail on our fourth quarter results
12,"Net sales and marketplace performance, both retail takeaway and market share, were relatively in line with expectations"
13,"Operating income and earnings per share diluted exceeded our forecast, driven by the early implementation of some cost savings efficiencies and a lower-than-expected tax rate"
14,Patricia will provide you with more details on this in just a bit
15,"As we anticipated, U.S"
16,marketplace performance sequentially improved
17,Total Hershey U.S
18,"retail takeaway for the 12 weeks ended December 31, 2016, within the xAOC+C channels increased 2.2%"
19,"This represents all Hershey snack products sold at retail such as candy, mint, gum, salty snacks, Krave and snack bars"
20,"Importantly, Hershey's U.S"
21,"CMG, that's candy, mint and gum, retail takeaway increased more than three times the rate of the category, driven by chocolate and was up 1.9%"
22,Our fourth quarter U.S
23,"chocolate performance was solid with retail takeaway up 2.9%, resulting in a chocolate market share gain of 0.9 points"
24,"Despite the slow start to 2016, we gained 0.4 points of chocolate market share for the full year"
25,Our brands responded positively to the investments we discussed in July and October
26,"Reese's, our biggest brand, continued to gain momentum driven by variety, news, core two-cup advertising and in-store merchandising and display"
27,"The Reese's Pieces Cup innovation, NCAA football, in-store merchandising and strong Halloween and holiday performance generated retail takeaway of 7.2% this quarter"
28,"Results were similar to last quarter and impressive, given that this is nearly a $2 billion brand at retail"
29,"In 2017, we'll look to expand and improve upon our NCAA basketball and football relationship via innovation and targeted 360-degree activation programs given the customizable promotional entitlements available to us with this sponsorship"
30,We were also pleased with the Kit Kat franchise
31,"Fourth quarter and full year retail takeaway of 5.5% was about the same for both periods, driven by the success of the Big Kat new product launch, as well as the core Kit Kat instant consumable item that benefited from TV and digital marketing programs such as Chance"
32,the Rapper and Kit Kat thief
33,"In 2017, we'll continue to bring variety and news to the brand with limited edition red velvet flavor for Valentine's Day"
34,"The wafer sticks are not red like the classic southern cake, but the candy itself is red velvet flavored and coated in white cream"
35,"In the first half of 2016, The Hershey mega brand campaign didn't work as hard for us as we anticipated"
36,"However, in the second half of the year, results improved driven by Olympics, S'mores and seasonal programming"
37,"In the fourth quarter, Hershey's franchise retail takeaway increased low single digits on a percentage basis versus last year"
38,"The launch of Hershey's Cookie Layer Crunch is underway, and we believe this will reenergize the brand"
39,"While early results are encouraging, distribution continues to build and advertising is scheduled to begin in early February"
40,"As we previously have mentioned, our consumer demand for multi-textural eating experiences across various snacking occasions is increasing, and this product fills a white space opportunity"
41,You'll see additional innovation in the marketplace this year that also delivers on a textural experience in Reese's Crunchy Cookie Cup and Hershey's and Reese's Crunchers
42,"Our consumer research has indicated that millennials want new flavors and textures, especially the Reese's consumers"
43,"Reese's is the fastest growing largest instant consumable franchise, so we do a lot of work here trying to bring the right level of investment to the core two-cup and variety news to the brand"
44,"In 2017, we'll launch Reese's Crunchy Cookie Cup in an instant consumable pack type"
45,"Within the cup are cookie bits versus a solid cookie, which consumers told us was less intrusive in terms of texture"
46,"The result is a product that delivers on all the sensations consumers want: smooth, creamy, sweet and crunchy"
47,"And the Crunchers product line is targeted for that shareable snacking hand-to-mouth occasion, leveraging the appeal of sweet and texturally complex snacking"
48,"These light, crispy and crunchy combinations are a perfect bite-sized snack for a different and unique eating experience"
