,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mark,Mark,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,to,to,IN,xx
8,all,all,DT,xxx
9,of,of,IN,xx
10,you,-PRON-,PRP,xxx
11,on,on,IN,xx
12,the,the,DT,xxx
13,phone,phone,NN,xxxx
14,and,and,CC,xxx
15,webcast,webcast,NN,xxxx
16,"
","
",_SP,"
"
17,Hershey,Hershey,NNP,Xxxxx
18,'s,'s,POS,'x
19,first,first,JJ,xxxx
20,quarter,quarter,NN,xxxx
21,results,result,NNS,xxxx
22,were,be,VBD,xxxx
23,solid,solid,JJ,xxxx
24,and,and,CC,xxx
25,I,-PRON-,PRP,X
26,'m,be,VBP,'x
27,pleased,pleased,JJ,xxxx
28,with,with,IN,xxxx
29,our,-PRON-,PRP$,xxx
30,performance,performance,NN,xxxx
31,"
","
",_SP,"
"
32,Net,net,JJ,Xxx
33,sales,sale,NNS,xxxx
34,growth,growth,NN,xxxx
35,was,be,VBD,xxx
36,2.8,2.8,CD,d.d
37,%,%,NN,%
38,",",",",",",","
39,delivering,deliver,VBG,xxxx
40,our,-PRON-,PRP$,xxx
41,fourth,fourth,JJ,xxxx
42,consecutive,consecutive,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,of,of,IN,xx
45,at,at,RB,xx
46,least,least,JJS,xxxx
47,2,2,CD,d
48,%,%,NN,%
49,sales,sale,NNS,xxxx
50,growth,growth,NN,xxxx
51,",",",",",",","
52,which,which,WDT,xxxx
53,we,-PRON-,PRP,xx
54,'re,be,VBP,'xx
55,happy,happy,JJ,xxxx
56,with,with,IN,xxxx
57,",",",",",",","
58,given,give,VBN,xxxx
59,the,the,DT,xxx
60,choppy,choppy,JJ,xxxx
61,food,food,NN,xxxx
62,industry,industry,NN,xxxx
63,retail,retail,JJ,xxxx
64,trends,trend,NNS,xxxx
65,in,in,IN,xx
66,the,the,DT,xxx
67,U.S,U.S,NNP,X.X
68,"
","
",_SP,"
"
69,and,and,CC,xxx
70,the,the,DT,xxx
71,macroeconomic,macroeconomic,JJ,xxxx
72,challenges,challenge,NNS,xxxx
