,Sentences
0,"Having grown up in New England, I want to start by saying congratulation to the Super Bowl 51 Champion New England Patriots"
1,They set some records last night and we're setting some records ourselves here today
2,"On my first earnings call as President and CEO, I'm thrilled to share great results that Tyson Foods family delivered in the first quarter of fiscal year in 2017."
3,It's an incredibly exciting time at Tyson as we position ourselves for the next stage of growth
4,and I'm looking forward to leading our team as we seek to improve the value of our company for all of our stakeholders
5,"Let's talk about our Q1, which is the best quarter in the company's history with record earnings, operating income and cash flows"
6,Return on sales was in or above the normalized range for each of our segments and total company operating margin was a record 10.7%
7,"In the first quarter, we capitalized on favorable market conditions in our Beef and Pork segments and the cash generated is providing fuel for growth in our value-added Chicken and Prepared Foods segments"
8,"As we outlined in our year-end 2016 call, our earnings were negatively impacted in the fourth quarter by $35 million in mark-to-market and lower cost-to-market accounting treatments"
9,This benefited our Q1 results as we started getting this back
10,"Synergies for the quarter were $161 million, with $40 million incremental to the Q1 of 2016."
11,Total synergies to-date are $620 million
12,And now for an update on our operating results which illustrates the advantage of our balanced portfolio with strong performances across the board
13,We'll start with Fresh Meats
14,"In the Beef segment, our operating income was a record $299 million, with a record operating margin of 8.5%"
15,"Volume was up 4.5%, while average price was down 6.6% reflecting the lower cut-out"
16,Plentiful cattle supplies and lower consumer pricing that stimulated both domestic and export demand contributed to the record results
17,"Our Beef business has been challenged in the past few weeks with typical seasonality, however with cattle supplies expected to increase 3% to 4%, the remainder of the year should be very strong"
18,"At this point, we're estimating Beef segments operating margin for the year to be around 5%"
19,"The Pork segments operating income for Q1 was a record $247 million, with a record 19.7% operating margin"
20,"Volume was up 4.3%, while average price was down 1%"
21,Demand was strong and especially in the export markets
22,"The USDA recently issued a report stating that China will likely remain a large importer of pork given its rising production costs, constraints on land use, and stricter environmental regulations"
23,"While Tyson Foods doesn't export a significant amount of pork to China, other U.S"
24,"packers do, which creates domestic disappearance"
25,"We're certainly aware of the additional capacity coming online, but there appears to be enough hog production to support these plants, and continuing export demand should absorb the additional supply"
26,"At this point, we don't know how any changes in the U.S"
27,"trade policy might affect exports of pork or other proteins, but in general, trade restrictions that impact export demand also can affect domestic supply"
28,We're planning for different scenarios and will be prepared to adapt if there's any change in policy
29,Now turning to our Chicken and Prepared Foods segments
30,"In our Chicken segment, our first quarter operating income was $263 million, with a 9.7% operating margin"
31,Average price was up 1.4% and volume was up 1.3%
32,"Value-added volume was up 5%, while commodity volume declined, demonstrating that we're growing where we want to grow with products carrying higher, more stable margins"
33,Sales price was up due to these mixed changes offsetting general market declines
34,Costs increased in part due to additional mass spending to support growth in the Tyson brand
