,Word,Lemma,POSTag,Shape
0,Having,have,VBG,Xxxxx
1,grown,grow,VBN,xxxx
2,up,up,RP,xx
3,in,in,IN,xx
4,New,New,NNP,Xxx
5,England,England,NNP,Xxxxx
6,",",",",",",","
7,I,-PRON-,PRP,X
8,want,want,VBP,xxxx
9,to,to,TO,xx
10,start,start,VB,xxxx
11,by,by,IN,xx
12,saying,say,VBG,xxxx
13,congratulation,congratulation,NN,xxxx
14,to,to,IN,xx
15,the,the,DT,xxx
16,Super,Super,NNP,Xxxxx
17,Bowl,Bowl,NNP,Xxxx
18,51,51,CD,dd
19,Champion,Champion,NNP,Xxxxx
20,New,New,NNP,Xxx
21,England,England,NNP,Xxxxx
22,Patriots,Patriots,NNPS,Xxxxx
23,"
","
",_SP,"
"
24,They,-PRON-,PRP,Xxxx
25,set,set,VBD,xxx
26,some,some,DT,xxxx
27,records,record,NNS,xxxx
28,last,last,JJ,xxxx
29,night,night,NN,xxxx
30,and,and,CC,xxx
31,we,-PRON-,PRP,xx
32,'re,be,VBP,'xx
33,setting,set,VBG,xxxx
34,some,some,DT,xxxx
35,records,record,NNS,xxxx
36,ourselves,-PRON-,PRP,xxxx
37,here,here,RB,xxxx
38,today,today,NN,xxxx
39,"
","
",_SP,"
"
40,On,on,IN,Xx
41,my,-PRON-,PRP$,xx
42,first,first,JJ,xxxx
43,earnings,earning,NNS,xxxx
44,call,call,NN,xxxx
45,as,as,IN,xx
46,President,President,NNP,Xxxxx
47,and,and,CC,xxx
48,CEO,CEO,NNP,XXX
49,",",",",",",","
50,I,-PRON-,PRP,X
51,'m,be,VBP,'x
52,thrilled,thrilled,JJ,xxxx
53,to,to,TO,xx
54,share,share,VB,xxxx
55,great,great,JJ,xxxx
56,results,result,NNS,xxxx
57,that,that,WDT,xxxx
58,Tyson,Tyson,NNP,Xxxxx
59,Foods,Foods,NNPS,Xxxxx
60,family,family,NN,xxxx
61,delivered,deliver,VBD,xxxx
62,in,in,IN,xx
63,the,the,DT,xxx
64,first,first,JJ,xxxx
65,quarter,quarter,NN,xxxx
66,of,of,IN,xx
67,fiscal,fiscal,JJ,xxxx
68,year,year,NN,xxxx
69,in,in,IN,xx
70,2017,2017,CD,dddd
71,.,.,.,.
72,It,-PRON-,PRP,Xx
73,'s,be,VBZ,'x
74,an,an,DT,xx
75,incredibly,incredibly,RB,xxxx
76,exciting,exciting,JJ,xxxx
77,time,time,NN,xxxx
78,at,at,IN,xx
79,Tyson,Tyson,NNP,Xxxxx
80,as,as,IN,xx
81,we,-PRON-,PRP,xx
82,position,position,VBP,xxxx
83,ourselves,-PRON-,PRP,xxxx
84,for,for,IN,xxx
85,the,the,DT,xxx
86,next,next,JJ,xxxx
87,stage,stage,NN,xxxx
88,of,of,IN,xx
89,growth,growth,NN,xxxx
90,and,and,CC,xxx
91,I,-PRON-,PRP,X
92,'m,be,VBP,'x
93,looking,look,VBG,xxxx
94,forward,forward,RB,xxxx
95,to,to,IN,xx
96,leading,lead,VBG,xxxx
97,our,-PRON-,PRP$,xxx
98,team,team,NN,xxxx
99,as,as,IN,xx
100,we,-PRON-,PRP,xx
101,seek,seek,VBP,xxxx
102,to,to,TO,xx
103,improve,improve,VB,xxxx
