,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Gerald,Gerald,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Overall,overall,RB,Xxxxx
6,",",",",",",","
7,we,-PRON-,PRP,xx
8,are,be,VBP,xxx
9,pleased,pleased,JJ,xxxx
10,with,with,IN,xxxx
11,our,-PRON-,PRP$,xxx
12,progress,progress,NN,xxxx
13,this,this,DT,xxxx
14,quarter,quarter,NN,xxxx
15,with,with,IN,xxxx
16,results,result,NNS,xxxx
17,in,in,IN,xx
18,line,line,NN,xxxx
19,with,with,IN,xxxx
20,our,-PRON-,PRP$,xxx
21,expectations,expectation,NNS,xxxx
22,"
","
",_SP,"
"
23,As,as,IN,Xx
24,in,in,IN,xx
25,the,the,DT,xxx
26,last,last,JJ,xxxx
27,quarter,quarter,NN,xxxx
28,",",",",",",","
29,we,-PRON-,PRP,xx
30,were,be,VBD,xxxx
31,particularly,particularly,RB,xxxx
32,pleased,pleased,JJ,xxxx
33,with,with,IN,xxxx
34,growth,growth,NN,xxxx
35,in,in,IN,xx
36,U.S,U.S,NNP,X.X
37,"
","
",_SP,"
"
38,pharmacy,pharmacy,NN,xxxx
39,volume,volume,NN,xxxx
40,and,and,CC,xxx
41,market,market,NN,xxxx
42,share,share,NN,xxxx
43,"
","
",_SP,"
"
44,During,during,IN,Xxxxx
45,the,the,DT,xxx
46,quarter,quarter,NN,xxxx
47,",",",",",",","
48,we,-PRON-,PRP,xx
49,also,also,RB,xxxx
50,completed,complete,VBD,xxxx
51,the,the,DT,xxx
52,$,$,$,$
53,1,1,CD,d
54,billion,billion,CD,xxxx
55,share,share,NN,xxxx
56,buyback,buyback,NN,xxxx
57,program,program,NN,xxxx
58,which,which,WDT,xxxx
59,we,-PRON-,PRP,xx
60,discussed,discuss,VBD,xxxx
61,on,on,IN,xx
62,our,-PRON-,PRP$,xxx
63,last,last,JJ,xxxx
64,earnings,earning,NNS,xxxx
65,call,call,NN,xxxx
66,"
","
",_SP,"
"
67,I,-PRON-,PRP,X
68,'m,be,VBP,'x
69,also,also,RB,xxxx
70,pleased,pleased,JJ,xxxx
71,that,that,IN,xxxx
72,today,today,NN,xxxx
73,",",",",",",","
74,we,-PRON-,PRP,xx
75,have,have,VBP,xxxx
76,raised,raise,VBN,xxxx
77,the,the,DT,xxx
78,lower,low,JJR,xxxx
79,end,end,NN,xxx
80,of,of,IN,xx
81,our,-PRON-,PRP$,xxx
82,adjusted,adjust,VBN,xxxx
83,earnings,earning,NNS,xxxx
84,per,per,IN,xxx
85,share,share,NN,xxxx
86,guidance,guidance,NN,xxxx
87,for,for,IN,xxx
88,fiscal,fiscal,JJ,xxxx
89,year,year,NN,xxxx
90,2017,2017,CD,dddd
91,by,by,IN,xx
92,$,$,$,$
93,0.08,0.08,CD,d.dd
94,.,.,.,.
95,So,so,RB,Xx
96,now,now,RB,xxx
97,let,let,VB,xxx
98,'s,-PRON-,PRP,'x
99,look,look,VB,xxxx
100,at,at,IN,xx
101,the,the,DT,xxx
102,financial,financial,JJ,xxxx
103,highlights,highlight,NNS,xxxx
104,for,for,IN,xxx
105,the,the,DT,xxx
106,quarter,quarter,NN,xxxx
107,"
","
",_SP,"
"
108,As,as,IN,Xx
109,we,-PRON-,PRP,xx
110,expected,expect,VBD,xxxx
111,currency,currency,NN,xxxx
112,again,again,RB,xxxx
113,had,have,VBD,xxx
114,a,a,DT,x
115,negative,negative,JJ,xxxx
116,impact,impact,NN,xxxx
117,",",",",",",","
118,the,the,DT,xxx
119,U.S,U.S,NNP,X.X
120,dollar,dollar,NN,xxxx
121,being,be,VBG,xxxx
122,12.5,12.5,CD,dd.d
123,%,%,NN,%
124,stronger,strong,JJR,xxxx
125,versus,versus,IN,xxxx
126,Sterling,Sterling,NNP,Xxxxx
127,than,than,IN,xxxx
128,in,in,IN,xx
129,the,the,DT,xxx
130,comparable,comparable,JJ,xxxx
131,quarter,quarter,NN,xxxx
132,last,last,JJ,xxxx
133,year,year,NN,xxxx
134,"
","
",_SP,"
"
