,Sentences
0,"Thanks, Rob"
1,"Good morning, everyone, and welcome to Walmart's investor relations call to discuss third quarter earnings"
2,"This is Steve Schmitt, and I'm joined today by, Kary Brunner, Michael Brigance, Joey Smith, and Miguel Garcia from the IR team"
3,"Hopefully, you've seen our materials we issued this morning"
4,"I'm going to hit on a couple of key points in a minute, and then we'll open the call for Q&A"
5,"There will be forward-looking statements on today's call, which are subject to future events and uncertainties"
6,Actual results could differ materially from these statements
7,Please review the full Safe Harbor statement accompanying our earnings materials
8,So let me talk about a few highlights in the quarter
9,We had a really strong quarter
10,"On a constant currency basis, consolidated net sales were up 3.8%, an increase of $4.5 billion"
11,We delivered adjusted EPS of $1.
12,You notice our GAAP EPS was $0.58 a share
13,"So we adjusted GAAP EPS for three items that are detailed in the release, I'll hit on the three of them"
14,We recently completed a debt tender offer
15,We made an FCPA accrual regarding possible resolution of the FCPA matter
16,We made the exit of certain properties in one of our international markets
17,"So excluding these items, our adjusted EPS was $1."
18,We have good momentum in sales growth across the business
19,"comp sales growth was 2.7%, with comp traffic up 1.5%"
20,We saw about a 30 to 50 point positive impact to the comp from recent hurricanes
21,Our Walmart U.S
22,eCommerce sales grew 50%
23,Sam's comp sales grew 2.8% led by traffic and also had a benefit from the hurricanes
24,International delivered another solid quarter with 10 of 11 markets reporting positive comp sales
25,"Excluding the charge for the FCPA accrual we disclosed today, we would have leveraged expenses as a company in the quarter, which has been a point of emphasis for us"
26,"We're now expecting full year adjusted EPS of $4.38 to $4.46, which is an increase from our prior guidance of $4.30 to $4.40."
27,Fourth quarter Walmart U.S
28,comp sales are expected to increase between 1.5% and 2% on more difficult compares
29,Just a couple of reminders
30,"We'll release our fourth quarter earnings on February 20, 2018."
31,And like to let everyone know that next year's earnings release dates will be posted to our website
32,So please mark your calendars for that
33,"And at this point, we'd be happy to take your questions"
34,Question-and-Answer Session
35,"Thanks, Michael"
36,"Let me talk about maybe two things; gross margin on a consolidated basis, and then on a U.S"
37,"So on a consolidated basis, gross profit rate declined 29 basis points"
38,"And you hit on several of the items, so on a consolidated basis, we have price investments in certain markets, mix effects of eCommerce, which you mentioned, and keep in mind the U.S"
39,hurricane-related expenses that we had
40,"I'd also like to point your attention to operating margin and some of the things that just we'd like you to pay attention to, as we called out some items such as the FCPA accrual, international impairments, and hurricane impacts"
41,So just keep these in mind when you're looking at overall operating profit performance in the quarter
42,For Walmart U.S
43,"specifically, gross profit margin declined 36 basis points in the quarter"
44,"Price investments, as you mentioned, mix effects of eCommerce impacted as well"
45,"And the hurricane specifically, we estimate impacted the gross profit decline of about a third of that"
46,"So I'm not getting into all the details specifically, we continue to invest in price"
47,"We're operating with more discipline, and we'll continue to look ways to manage our margin, and ways that work for our customers and work for our shareholders"
48,It's really the productivity beginning to turn for us
49,"So you could see gross profit margin pressure from time-to-time, and we need to get more disciplined with expenses"
50,"So if you think about our business, and certainly our DNA, we're about offering everyday low prices, both in-store and online"
51,"The fact is, some products are just cheaper to sell in stores, think about items like bottled water, so you'll see some price differences from time-to-time"
52,"Thanks, Oliver"
53,So the first question around smart cart technology
54,It's something that we continue to look at
55,We need to be thoughtful about it as we think about putting that potentially on Walmart
56,"com, but nothing really more to add at this time"
57,"In terms of the Lord & Taylor relationship, it's going to be a unique experience"
58,Think about it as a flagship store
59,This is expected to launch in the spring
60,It will be dedicated store on Walmart
61,"We're excited about the relationship, the deep relationships Lord & Taylor has with great brands, and we know our customers look for premium brands on our site"
62,"So we think it's a good agreement, and we look forward to the spring"
63,"Well, I think there's a lot of things"
64,"If you talk to Greg Foran, the CEO of our U.S"
65,"business, he could probably list a list of 20 to 30, maybe even more than that, from the time the customer walks in the door to the time they check out, from a booking standpoint"
66,"So, we continue to look at it"
67,"I think you can tell in our results, the customers like the changes that we're making in our stores, and we'll continue to look to make a better experience"
68,so they continue shopping with us
69,We continue to make progress on inventory
70,You've seen more incremental improvements
71,"versus, I'd say, the step change improvements we saw last year, and we'll continue to look for improvements we can make in the business"
72,"I think it's a fair way to look at it, Simeon"
73,"Well, if you think about Jet, and thanks for bringing that up"
74,"Jet was in the comp for a month, the way our comp calculations work"
75,So there really wasn't much of an impact in the third quarter results
76,Really the way we think about eCommerce is really in total
77,Jet is a piece of our eCommerce business overall
78,We made the decision earlier this year to give more transparency on our U.S
79,"eCommerce business, and we furthered that in our October meeting, so we'll continue to report on the eCommerce business as a whole"
80,"In terms of a glide path, we feel good about the direction of our eCommerce business"
81,I think this quarter is another good example of that
82,and we will report that as we go
83,"But in terms of any glide path or volatility, we'll wait and see"
84,Thank you
85,Maybe I'll give a few comments and turn it over to Kary to give a little more detail
86,So we'll take the inflation piece first
87,So the way we've reported inflation on food is really excluding the price investment that we've made
88,and as we got into this quarter we think it's a very
89,– it's –
90,"you talked about what Brett said in his remarks, which is in a similar range or below what we reported which was 30 basis points of inflation in the past quarter"
91,The fact is it's getting a little bit more difficult for us to really be precise with that number as we look at our price investment markets
