,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Inge,inge,UH,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,'ll,will,MD,'xx
12,start,start,VB,xxxx
13,on,on,IN,xx
14,slide,slide,NN,xxxx
15,5,5,CD,d
16,.,.,.,.
17,As,as,IN,Xx
18,Inge,Inge,NNP,Xxxx
19,mentioned,mention,VBN,xxxx
20,",",",",",",","
21,GAAP,GAAP,NNP,XXXX
22,earnings,earning,NNS,xxxx
23,for,for,IN,xxx
24,the,the,DT,xxx
25,quarter,quarter,NN,xxxx
26,were,be,VBD,xxxx
27,$,$,$,$
28,2.58,2.58,CD,d.dd
29,per,per,IN,xxx
30,share,share,NN,xxxx
31,"
","
",_SP,"
"
32,Since,since,IN,Xxxxx
33,we,-PRON-,PRP,xx
34,had,have,VBD,xxx
35,several,several,JJ,xxxx
36,moving,move,VBG,xxxx
37,parts,part,NNS,xxxx
38,this,this,DT,xxxx
39,quarter,quarter,NN,xxxx
40,",",",",",",","
41,I,-PRON-,PRP,X
42,thought,think,VBD,xxxx
43,I,-PRON-,PRP,X
44,would,would,MD,xxxx
45,take,take,VB,xxxx
46,a,a,DT,x
47,moment,moment,NN,xxxx
48,to,to,TO,xx
49,cover,cover,VB,xxxx
50,each,each,DT,xxxx
51,item,item,NN,xxxx
52,to,to,TO,xx
53,make,make,VB,xxxx
54,our,-PRON-,PRP$,xxx
55,underlying,underlying,JJ,xxxx
56,second,second,JJ,xxxx
57,quarter,quarter,NN,xxxx
58,performance,performance,NN,xxxx
59,as,as,RB,xx
60,clear,clear,JJ,xxxx
61,as,as,IN,xx
62,possible,possible,JJ,xxxx
63,"
","
",_SP,"
"
64,As,as,IN,Xx
65,Inge,Inge,NNP,Xxxx
66,mentioned,mention,VBN,xxxx
67,",",",",",",","
68,we,-PRON-,PRP,xx
69,continue,continue,VBP,xxxx
70,to,to,TO,xx
71,execute,execute,VB,xxxx
72,our,-PRON-,PRP$,xxx
73,plans,plan,NNS,xxxx
