,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Ajita,Ajita,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Sales,sale,NNS,Xxxxx
5,for,for,IN,xxx
6,the,the,DT,xxx
7,second,second,JJ,xxxx
8,quarter,quarter,NN,xxxx
9,of,of,IN,xx
10,$,$,$,$
11,738,738,CD,ddd
12,million,million,CD,xxxx
13,were,be,VBD,xxxx
14,11,11,CD,dd
15,%,%,NN,%
16,higher,high,JJR,xxxx
17,than,than,IN,xxxx
18,the,the,DT,xxx
19,previous,previous,JJ,xxxx
20,year,year,NN,xxxx
21,"
","
",_SP,"
"
22,Net,net,JJ,Xxx
23,earnings,earning,NNS,xxxx
24,in,in,IN,xx
25,the,the,DT,xxx
26,second,second,JJ,xxxx
27,quarter,quarter,NN,xxxx
28,of,of,IN,xx
29,$,$,$,$
30,92,92,CD,dd
31,million,million,CD,xxxx
32,increased,increase,VBD,xxxx
33,6,6,CD,d
34,%,%,NN,%
35,from,from,IN,xxxx
36,2016,2016,CD,dddd
37,.,.,.,.
38,Second,second,JJ,Xxxxx
39,quarter,quarter,NN,xxxx
40,earnings,earning,NNS,xxxx
41,per,per,IN,xxx
42,share,share,NN,xxxx
43,of,of,IN,xx
44,$,$,$,$
45,0.53,0.53,CD,d.dd
46,increased,increase,VBD,xxxx
47,8,8,CD,d
48,%,%,NN,%
49,compared,compare,VBN,xxxx
50,with,with,IN,xxxx
51,2016,2016,CD,dddd
52,.,.,.,.
53,Sales,sale,NNS,Xxxxx
54,in,in,IN,xx
55,our,-PRON-,PRP$,xxx
56,North,North,NNP,Xxxxx
57,America,America,NNP,Xxxxx
58,segment,segment,NN,xxxx
59,of,of,IN,xx
60,$,$,$,$
61,471,471,CD,ddd
62,million,million,CD,xxxx
63,increased,increase,VBN,xxxx
64,9,9,CD,d
65,%,%,NN,%
66,compared,compare,VBN,xxxx
67,with,with,IN,xxxx
68,the,the,DT,xxx
69,second,second,JJ,xxxx
70,quarter,quarter,NN,xxxx
71,of,of,IN,xx
72,2016,2016,CD,dddd
73,.,.,.,.
74,The,the,DT,Xxx
75,increase,increase,NN,xxxx
76,in,in,IN,xx
