,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Kevin,Kevin,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,AMETEK,AMETEK,NNP,XXXX
12,had,have,VBD,xxx
13,another,another,DT,xxxx
14,excellent,excellent,JJ,xxxx
15,quarter,quarter,NN,xxxx
16,"
","
",_SP,"
"
17,We,-PRON-,PRP,Xx
18,delivered,deliver,VBD,xxxx
19,results,result,NNS,xxxx
20,that,that,WDT,xxxx
21,exceeded,exceed,VBD,xxxx
22,our,-PRON-,PRP$,xxx
23,expectations,expectation,NNS,xxxx
24,and,and,CC,xxx
25,continue,continue,VB,xxxx
26,to,to,TO,xx
27,see,see,VB,xxx
28,very,very,RB,xxxx
29,solid,solid,JJ,xxxx
30,growth,growth,NN,xxxx
31,in,in,IN,xx
32,both,both,CC,xxxx
33,sales,sale,NNS,xxxx
34,and,and,CC,xxx
35,orders,order,NNS,xxxx
36,"
","
",_SP,"
"
37,This,this,DT,Xxxx
38,growth,growth,NN,xxxx
39,is,be,VBZ,xx
40,broad,broad,RB,xxxx
41,-,-,HYPH,-
42,based,base,VBN,xxxx
43,across,across,IN,xxxx
44,our,-PRON-,PRP$,xxx
45,businesses,business,NNS,xxxx
46,"
","
",_SP,"
"
47,Our,-PRON-,PRP$,Xxx
48,businesses,business,NNS,xxxx
49,are,be,VBP,xxx
50,executing,execute,VBG,xxxx
51,very,very,RB,xxxx
52,well,well,RB,xxxx
53,",",",",",",","
54,which,which,WDT,xxxx
55,is,be,VBZ,xx
56,evident,evident,JJ,xxxx
57,in,in,IN,xx
58,our,-PRON-,PRP$,xxx
59,strong,strong,JJ,xxxx
60,operating,operating,NN,xxxx
61,performance,performance,NN,xxxx
62,and,and,CC,xxx
63,cash,cash,NN,xxxx
64,generation,generation,NN,xxxx
65,"
","
",_SP,"
"
66,This,this,DT,Xxxx
67,strong,strong,JJ,xxxx
68,sales,sale,NNS,xxxx
69,and,and,CC,xxx
70,operating,operating,NN,xxxx
71,performance,performance,NN,xxxx
72,is,be,VBZ,xx
73,translating,translate,VBG,xxxx
74,into,into,IN,xxxx
75,excellent,excellent,JJ,xxxx
76,earnings,earning,NNS,xxxx
77,results,result,NNS,xxxx
78,",",",",",",","
79,with,with,IN,xxxx
80,diluted,diluted,JJ,xxxx
81,earnings,earning,NNS,xxxx
82,per,per,IN,xxx
83,share,share,NN,xxxx
84,in,in,IN,xx
85,the,the,DT,xxx
86,second,second,JJ,xxxx
87,quarter,quarter,NN,xxxx
88,up,up,RB,xx
89,10,10,CD,dd
90,%,%,NN,%
91,over,over,IN,xxxx
92,the,the,DT,xxx
93,prior,prior,JJ,xxxx
94,year,year,NN,xxxx
95,"
","
",_SP,"
"
96,As,as,IN,Xx
97,a,a,DT,x
98,result,result,NN,xxxx
99,",",",",",",","
100,we,-PRON-,PRP,xx
101,have,have,VBP,xxxx
102,again,again,RB,xxxx
103,raised,raise,VBN,xxxx
104,our,-PRON-,PRP$,xxx
105,full,full,JJ,xxxx
106,year,year,NN,xxxx
107,earnings,earning,NNS,xxxx
108,guidance,guidance,NN,xxxx
109,range,range,NN,xxxx
110,"
","
",_SP,"
"
111,Now,now,RB,Xxx
112,",",",",",",","
113,on,on,IN,xx
114,to,to,IN,xx
115,the,the,DT,xxx
116,financial,financial,JJ,xxxx
117,and,and,CC,xxx
118,business,business,NN,xxxx
119,highlights,highlight,NNS,xxxx
120,for,for,IN,xxx
121,the,the,DT,xxx
122,quarter,quarter,NN,xxxx
123,"
","
",_SP,"
"
124,Sales,sale,NNS,Xxxxx
125,in,in,IN,xx
126,the,the,DT,xxx
127,second,second,JJ,xxxx
128,quarter,quarter,NN,xxxx
129,were,be,VBD,xxxx
130,a,a,DT,x
131,record,record,NN,xxxx
132,$,$,$,$
133,1.06,1.06,CD,d.dd
134,billion,billion,CD,xxxx
135,",",",",",",","
