,Sentences
0,"Thanks, Andrew, and good morning, everyone"
1,"Today, we reported fourth quarter adjusted net income of $193 million"
2,Earnings per share rose by 7% to $1.56 a share
3,"These results include Virgin America from December 14 through December 31, which added approximately $15 million to net profit in the fourth quarter and full year results"
4,"Our full year adjusted net profit was, as Lavanya said, $911 million and earnings per share rose 12% to $7.32."
5,"This marks the 13th consecutive year that we've reported an annual profit and the seventh year in a row that we've been profitable in every quarter, which shows the durability of the operating and financial model that we've created"
6,We ended the year with after tax ROIC of 21.3%
7,"Our acquisition of Virgin America adds about $3.5 billion to the invested capital base, bringing the total invested capital about $7.5 billion"
8,"As a result, the trailing 12 month ROIC, which uses the average invested capital base over the rolling 12 month period, will gradually fall throughout 2017 until we annualize the acquisition day"
9,"To illustrate, if you simply took Alaska and Virgin America's full year earnings for both companies, for 2016, and calculated ROIC using the $7.5 billion invested capital base, ROIC would be about 15%"
10,We remain committed to producing returns that are well above our cost to capital
11,"Our pre-tax profit for the quarter was $308 million, a $16 million improvement over prior year"
12,"Virgin America added $24 million of pre-tax profit, offset by an $8 million reduction in pre-tax for the pre-acquisition Air Group business"
13,"I might spend a minute wrapping up the final results for the pre-acquisition Air Group, excluding the impact of two weeks of Virgin"
14,"As Andrew said, we were pleased with our fourth quarter unit revenue results"
15,"On the costs side, CASM, excluding fuel, is about flat for the quarter, which was a bit better than our last Air Group guidance in early December before we closed the deal"
16,"Our fourth quarter economic fuel costs per gallon was actually up year-over-year, the first time that's happened since the first quarter of 2013."
17,"Looking at pre-acquisition Air Group for the full year, I was really happy to see full year CASMex decline by about 1%, and I want to thank everyone for their focus on keeping costs low by being highly productive and maintaining a frugal mind-set"
18,"Our long track record of slowly chipping away costs is a major driver of our strong results over the last several years, and as a source of competitive advantage over higher cost legacy carriers that will allow us to keep growing"
19,I thought I might also share Virgin America's fourth quarter and full year results
20,"For the fourth quarter, Virgin America recorded us on a standalone basis, pre-tax profit of $61 million, a 14% improvement over the fourth quarter of prior year"
21,"For the full year, Virgin America's standalone basis pre-tax profit was $244 million, a 14.7% pre-tax margin"
22,I want to congratulate the team there on the really nice year-over-year improvement
23,Peter Hunt is here with us and would be happy to add more color to those results
24,"Many have asked about our reporting going forward, we'll give guidance on an Air Group basis, of course, with some more limited guidance for our Mainline segment which is going to include Alaska and Virgin America"
25,The year-over-year comps will be muddy for the next four quarters
