,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Andrew,Andrew,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,you,-PRON-,PRP,xxx
12,'ve,have,VB,'xx
13,now,now,RB,xxx
14,heard,hear,VBN,xxxx
15,",",",",",",","
16,Air,Air,NNP,Xxx
17,Group,Group,NNP,Xxxxx
18,posted,post,VBD,xxxx
19,a,a,DT,x
20,$,$,$,$
21,278,278,CD,ddd
22,million,million,CD,xxxx
23,third,third,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,adjusted,adjust,VBN,xxxx
26,profit,profit,NN,xxxx
27,",",",",",",","
28,a,a,DT,x
29,$,$,$,$
30,6,6,CD,d
31,million,million,CD,xxxx
32,increase,increase,NN,xxxx
33,over,over,IN,xxxx
34,last,last,JJ,xxxx
35,year,year,NN,xxxx
36,'s,'s,POS,'x
37,adjusted,adjust,VBN,xxxx
38,Q3,Q3,NNP,Xd
39,result,result,NN,xxxx
40,"
","
",_SP,"
"
41,This,this,DT,Xxxx
42,equates,equate,VBZ,xxxx
43,to,to,IN,xx
44,a,a,DT,x
45,pre,pre,JJ,xxx
46,-,-,JJ,-
47,tax,tax,JJ,xxx
48,profit,profit,NN,xxxx
49,of,of,IN,xx
50,$,$,$,$
51,446,446,CD,ddd
52,million,million,CD,xxxx
53,and,and,CC,xxx
54,a,a,DT,x
55,trailing,trail,VBG,xxxx
56,twelve,twelve,CD,xxxx
57,pre,pre,JJ,xxx
58,-,-,JJ,-
59,tax,tax,JJ,xxx
60,margin,margin,NN,xxxx
61,of,of,IN,xx
62,20,20,CD,dd
63,%,%,NN,%
64,"
","
",_SP,"
"
65,On,on,IN,Xx
66,a,a,DT,x
67,combined,combined,JJ,xxxx
68,comparative,comparative,JJ,xxxx
69,basis,basis,NN,xxxx
70,",",",",",",","
71,that,that,DT,xxxx
72,is,be,VBZ,xx
73,with,with,IN,xxxx
74,Virgin,Virgin,NNP,Xxxxx
75,America,America,NNP,Xxxxx
76,'s,'s,POS,'x
