,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Dave,Dave,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Thank,thank,VBP,Xxxxx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,the,the,DT,xxx
15,call,call,NN,xxxx
16,this,this,DT,xxxx
17,morning,morning,NN,xxxx
18,"
","
",_SP,"
"
19,If,if,IN,Xx
20,you,-PRON-,PRP,xxx
21,would,would,MD,xxxx
22,",",",",",",","
23,please,please,UH,xxxx
24,go,go,VB,xx
25,to,to,IN,xx
26,Slide,slide,NN,Xxxxx
27,5,5,CD,d
28,.,.,.,.
29,This,this,DT,Xxxx
30,slide,slide,NN,xxxx
31,depicts,depict,VBZ,xxxx
32,the,the,DT,xxx
33,components,component,NNS,xxxx
34,of,of,IN,xx
35,our,-PRON-,PRP$,xxx
36,revenue,revenue,NN,xxxx
37,growth,growth,NN,xxxx
38,for,for,IN,xxx
39,the,the,DT,xxx
40,first,first,JJ,xxxx
41,quarter,quarter,NN,xxxx
42,"
","
",_SP,"
"
43,I,-PRON-,PRP,X
44,'ll,will,MD,'xx
45,focus,focus,VB,xxxx
46,on,on,IN,xx
47,the,the,DT,xxx
48,total,total,JJ,xxxx
49,Allegion,Allegion,NNP,Xxxxx
50,results,result,NNS,xxxx
51,and,and,CC,xxx
52,cover,cover,VB,xxxx
53,the,the,DT,xxx
54,regions,region,NNS,xxxx
55,on,on,IN,xx
56,their,-PRON-,PRP$,xxxx
57,respective,respective,JJ,xxxx
58,slides,slide,NNS,xxxx
59,"
","
",_SP,"
"
60,As,as,IN,Xx
61,indicated,indicate,VBN,xxxx
62,",",",",",",","
63,we,-PRON-,PRP,xx
64,delivered,deliver,VBD,xxxx
65,8,8,CD,d
66,%,%,NN,%
67,organic,organic,JJ,xxxx
68,growth,growth,NN,xxxx
69,in,in,IN,xx
70,the,the,DT,xxx
71,first,first,JJ,xxxx
72,quarter,quarter,NN,xxxx
73,"
","
",_SP,"
"
