,Sentences
0,"Thank you, Troy, and good morning"
1,"My comments today will focus on our first quarter results, the ongoing health of our business environment and our growth plans going forward"
2,"After that, Greg will walk you through the details of our financial results and outlook"
3,Now let's move to slide 2.
4,Boeing delivered first quarter 2017 financial results that included higher core earnings per share and strong operating cash flow
5,"We also continued to execute a balanced cash deployment strategy of investing in innovation, growth and our people and returning cash to our shareholders"
6,"In the first quarter, we generated $2.1 billion of operating cash, repurchased $2.5 billion of Boeing stock, and increased our dividend per share 30% for a payout of $868 million"
7,Revenue in the first quarter was $21 billion on timing of commercial and defense deliveries and services
8,Core earnings per share of $2.01 were driven by a continued strong operating performance on production programs and services and a lower than expected tax rate
9,Now let's look at the first quarter operating performance for both of our businesses
10,"At Boeing Commercial Airplanes, we delivered 169 new jet liners and added 198 net new orders worth $15 billion"
11,BCA generated solid results in the first quarter with revenue of $14.3 billion and operating margins of 8.5%
12,Key milestones in the quarter included the FAA certifying the 737 MAX 8 for commercial service and achieving first flight on the 787-10 one month earlier than the development schedule we established three years ago
13,"And furthermore in April, we also achieved first flight on the 737 MAX 9."
14,"Boeing Defense, Space & Security reported first quarter revenue of $6.5 billion"
15,"Operating margins were a healthy 11.3%, reflecting continued strong operating performance"
16,Our defense and space business booked orders totaling $12 billion including a $3.4 billion contract from the U.S
17,Army for 268 AH-64 Apache helicopters
18,"Also during the quarter, we booked a $2.2 billion contract for 17 P-8 Poseidon aircraft, and a $2.1 billion order for 15 additional KC-46 Tanker aircraft from the U.S"
19,Air Force
20,"With approximately 1,600 flight hours completed, we continue to make steady progress towards completing Tanker development"
21,The program did see additional cost growth to incorporate changes into the initial production aircraft and solidify production configuration stability
22,"That said, we continue to close out technical risks and progress towards final certification as we remain focused on delivering the first 18 Tankers to the U.S"
23,Air Force by early 2018.
24,"In summary, thanks to a concerted team effort throughout the company, we delivered another quarter of solid operating performance, captured noteworthy additions to our large and diverse backlog, and returned significant cash to our shareholders"
25,"With that, let's turn to the business environment on slide 3."
26,Global demand for our market-leading products and services remains generally healthy across our key business segments
27,"Specifically for the commercial airplane market, we still see solid airline profitability and strong passenger traffic that continues to outpace global GDP"
28,"According to the International Air Transport Association, the 8.8% year to date passenger traffic growth adjusted for the leap year is well above the long-term average of 5.5%"
29,"And with the recovery in global trade, we are now seeing modest improvements in cargo traffic"
30,"These favorable industry trends, combined with our robust backlog of more than 5,700 aircraft, underpin our planned production rate increases over the remainder of this decade"
31,"In the narrowbody market, we are seeing strong demand as illustrated by the 167 net orders we captured in the first quarter"
32,"Our high confidence in increasing 737 production to 57 per month by 2019 is based on our existing backlog of more than 4,500 aircraft and a production skyline that is oversold through the end of the decade"
33,"Furthermore, the strength of this market segment has given us increased assurance for sustaining that production rate with market pressure to go even higher than 57 per month"
34,"It is also important to note that within our top 20 narrowbody customers, we continued to see a large capacity for additional orders when we compare existing order totals to their overall fleet size In the widebody market, as we've noted before, we're seeing varying levels of near-term demand across aircraft models"
35,"However, over the next 20 years, we forecast the need for more than 9,000 widebody aircraft, underpinned by a meaningful upturn in replacement demand early in the next decade"
36,Indicative of this overall long-term demand is the first quarter's announcement that Singapore Airlines intends to purchase 20 777-9s and an additional 19 787-10s
37,"777 production for 2017 is now sold out and for the current generation 777, our backlog at quarter end was 124 airplanes"
38,Production continues at the seven per month rate before we lower it to the production rate in August to five per month as previously announced
39,"That will result in 777 deliveries of approximately 3.5 per month in 2018 and 2019, as we transition production to the 777X"
40,"At that rate, we are about 90% sold out for both years including airplanes covered in the agreement with Iran Air, and we continue to have numerous campaigns underway"
41,"While we clearly have more work to do to fill the remaining 777 production slots, based on the current sales environment, we believe the rate plan we've put in place establishes a production floor for the program"
42,And we have a strong foundation of 340 777X orders and commitments that support our plan for ramping up production and delivery of the new 777X
43,Our 787 Dreamliner program also stands on a strong foundation for long-term production with approximately 700 firm orders and commitments in our backlog
44,"As you know, we have a concerted effort in place to secure additional 787 orders to support the 14 per month production rate plan for the end of the decade"
45,"We will remain disciplined, as our team is, in the process of assessing our 787 production rate options and timing with a focus, as always, on ensuring supply and demand are kept in balance as we continue to grow profitability of the program"
46,"Importantly, our 2017 financial guidance bounds the range of outcomes from these scenarios, and we continue to see cash flows growing annually over the remainder of the decade, largely driven by higher 737 deliveries and improving 787 profitability"
47,"Now turning to Defense, Space & Security, we continued to see solid demand for our major platforms and programs"
48,The President's FY 2018 defense budget request calls for healthy growth in military spending
49,"Additionally, we are seeing the potential for FY 2017 funding increases on numerous Boeing programs, including the Apache, the F-18 Super Hornet, P-8 Poseidon and the V-22 Osprey"
50,"International demand for our offerings remains high as well, in particular for rotorcraft, commercial derivatives, fighters, satellites, and services"
