,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Troy,Troy,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,"
","
",_SP,"
"
9,My,-PRON-,PRP$,Xx
10,comments,comment,NNS,xxxx
11,today,today,NN,xxxx
12,will,will,MD,xxxx
13,focus,focus,VB,xxxx
14,on,on,IN,xx
15,our,-PRON-,PRP$,xxx
16,first,first,JJ,xxxx
17,quarter,quarter,NN,xxxx
18,results,result,NNS,xxxx
19,",",",",",",","
20,the,the,DT,xxx
21,ongoing,ongoing,JJ,xxxx
22,health,health,NN,xxxx
23,of,of,IN,xx
24,our,-PRON-,PRP$,xxx
25,business,business,NN,xxxx
26,environment,environment,NN,xxxx
27,and,and,CC,xxx
28,our,-PRON-,PRP$,xxx
29,growth,growth,NN,xxxx
30,plans,plan,NNS,xxxx
31,going,go,VBG,xxxx
32,forward,forward,RB,xxxx
33,"
","
",_SP,"
"
34,After,after,IN,Xxxxx
35,that,that,DT,xxxx
36,",",",",",",","
37,Greg,Greg,NNP,Xxxx
38,will,will,MD,xxxx
39,walk,walk,VB,xxxx
40,you,-PRON-,PRP,xxx
41,through,through,IN,xxxx
42,the,the,DT,xxx
43,details,detail,NNS,xxxx
44,of,of,IN,xx
45,our,-PRON-,PRP$,xxx
46,financial,financial,JJ,xxxx
47,results,result,NNS,xxxx
48,and,and,CC,xxx
49,outlook,outlook,NN,xxxx
50,"
","
",_SP,"
"
51,Now,now,RB,Xxx
52,let,let,VB,xxx
53,'s,-PRON-,PRP,'x
54,move,move,VB,xxxx
55,to,to,TO,xx
56,slide,slide,VB,xxxx
57,2,2,CD,d
58,.,.,.,.
59,Boeing,Boeing,NNP,Xxxxx
60,delivered,deliver,VBD,xxxx
61,first,first,JJ,xxxx
62,quarter,quarter,NN,xxxx
63,2017,2017,CD,dddd
64,financial,financial,JJ,xxxx
65,results,result,NNS,xxxx
66,that,that,WDT,xxxx
67,included,include,VBD,xxxx
68,higher,high,JJR,xxxx
69,core,core,NN,xxxx
70,earnings,earning,NNS,xxxx
71,per,per,IN,xxx
72,share,share,NN,xxxx
73,and,and,CC,xxx
74,strong,strong,JJ,xxxx
75,operating,operating,NN,xxxx
76,cash,cash,NN,xxxx
77,flow,flow,NN,xxxx
78,"
","
",_SP,"
"
79,We,-PRON-,PRP,Xx
80,also,also,RB,xxxx
81,continued,continue,VBD,xxxx
82,to,to,TO,xx
83,execute,execute,VB,xxxx
84,a,a,DT,x
85,balanced,balanced,JJ,xxxx
86,cash,cash,NN,xxxx
87,deployment,deployment,NN,xxxx
88,strategy,strategy,NN,xxxx
89,of,of,IN,xx
90,investing,invest,VBG,xxxx
91,in,in,IN,xx
92,innovation,innovation,NN,xxxx
93,",",",",",",","
94,growth,growth,NN,xxxx
95,and,and,CC,xxx
96,our,-PRON-,PRP$,xxx
97,people,people,NNS,xxxx
98,and,and,CC,xxx
99,returning,return,VBG,xxxx
100,cash,cash,NN,xxxx
101,to,to,IN,xx
102,our,-PRON-,PRP$,xxx
103,shareholders,shareholder,NNS,xxxx
104,"
","
",_SP,"
"
105,In,in,IN,Xx
106,the,the,DT,xxx
107,first,first,JJ,xxxx
108,quarter,quarter,NN,xxxx
109,",",",",",",","
110,we,-PRON-,PRP,xx
111,generated,generate,VBD,xxxx
112,$,$,$,$
113,2.1,2.1,CD,d.d
114,billion,billion,CD,xxxx
115,of,of,IN,xx
116,operating,operate,VBG,xxxx
117,cash,cash,NN,xxxx
118,",",",",",",","
119,repurchased,repurchase,VBD,xxxx
120,$,$,$,$
121,2.5,2.5,CD,d.d
122,billion,billion,CD,xxxx
123,of,of,IN,xx
124,Boeing,Boeing,NNP,Xxxxx
125,stock,stock,NN,xxxx
126,",",",",",",","
127,and,and,CC,xxx
128,increased,increase,VBD,xxxx
129,our,-PRON-,PRP$,xxx
130,dividend,dividend,NN,xxxx
131,per,per,IN,xxx
132,share,share,NN,xxxx
133,30,30,CD,dd
