,Word,Lemma,POSTag,Shape
0,Well,well,UH,Xxxx
1,",",",",",",","
2,good,good,JJ,xxxx
3,morning,morning,NN,xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,thanks,thank,NNS,xxxx
7,",",",",",",","
8,Jim,Jim,NNP,Xxx
9,"
","
",_SP,"
"
10,If,if,IN,Xx
11,you,-PRON-,PRP,xxx
12,have,have,VBP,xxxx
13,the,the,DT,xxx
14,slide,slide,NN,xxxx
15,deck,deck,NN,xxxx
16,in,in,IN,xx
17,front,front,NN,xxxx
18,of,of,IN,xx
19,you,-PRON-,PRP,xxx
20,",",",",",",","
21,I,-PRON-,PRP,X
22,'d,would,MD,'x
23,ask,ask,VB,xxx
24,if,if,IN,xx
25,you,-PRON-,PRP,xxx
26,could,could,MD,xxxx
27,please,please,UH,xxxx
28,turn,turn,VB,xxxx
29,to,to,IN,xx
30,page,page,NN,xxxx
31,4,4,CD,d
32,",",",",",",","
33,slide,slide,NN,xxxx
34,4,4,CD,d
35,",",",",",",","
36,and,and,CC,xxx
37,we,-PRON-,PRP,xx
38,'ll,will,MD,'xx
39,start,start,VB,xxxx
40,with,with,IN,xxxx
41,our,-PRON-,PRP$,xxx
42,first,first,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,results,result,NNS,xxxx
45,"
","
",_SP,"
"
46,2017,2017,CD,dddd
47,has,have,VBZ,xxx
48,started,start,VBN,xxxx
49,off,off,RP,xxx
50,very,very,RB,xxxx
51,well,well,RB,xxxx
52,and,and,CC,xxx
53,exceeded,exceed,VBD,xxxx
54,our,-PRON-,PRP$,xxx
55,expectations,expectation,NNS,xxxx
56,for,for,IN,xxx
57,the,the,DT,xxx
58,quarter,quarter,NN,xxxx
59,"
","
",_SP,"
"
60,Sales,sale,NNS,Xxxxx
61,and,and,CC,xxx
62,revenues,revenue,NNS,xxxx
63,increased,increase,VBD,xxxx
64,about,about,RB,xxxx
65,$,$,$,$
66,400,400,CD,ddd
67,million,million,CD,xxxx
68,or,or,CC,xx
69,about,about,RB,xxxx
70,4,4,CD,d
71,%,%,NN,%
72,on,on,IN,xx
73,the,the,DT,xxx
74,first,first,JJ,xxxx
75,quarter,quarter,NN,xxxx
76,of,of,IN,xx
77,2016,2016,CD,dddd
78,to,to,TO,xx
79,$,$,$,$
80,9.8,9.8,CD,d.d
81,billion,billion,CD,xxxx
82,in,in,IN,xx
83,the,the,DT,xxx
84,first,first,JJ,xxxx
85,quarter,quarter,NN,xxxx
86,of,of,IN,xx
87,this,this,DT,xxxx
88,year,year,NN,xxxx
89,"
","
",_SP,"
"
90,This,this,DT,Xxxx
91,is,be,VBZ,xx
92,the,the,DT,xxx
93,first,first,JJ,xxxx
94,time,time,NN,xxxx
95,in,in,IN,xx
96,10,10,CD,dd
97,quarters,quarter,NNS,xxxx
98,that,that,IN,xxxx
99,sales,sale,NNS,xxxx
100,and,and,CC,xxx
101,revenues,revenue,NNS,xxxx
102,were,be,VBD,xxxx
103,higher,high,JJR,xxxx
104,than,than,IN,xxxx
105,the,the,DT,xxx
106,prior,prior,JJ,xxxx
107,year,year,NN,xxxx
108,",",",",",",","
109,although,although,IN,xxxx
110,sales,sale,NNS,xxxx
111,are,be,VBP,xxx
112,coming,come,VBG,xxxx
113,off,off,RP,xxx
114,a,a,DT,x
115,very,very,RB,xxxx
116,low,low,JJ,xxx
117,base,base,NN,xxxx
118,"
","
",_SP,"
"
119,Resource,Resource,NNP,Xxxxx
120,Industries,Industries,NNPS,Xxxxx
121,had,have,VBD,xxx
122,the,the,DT,xxx
123,largest,large,JJS,xxxx
124,increase,increase,NN,xxxx
125,",",",",",",","
126,followed,follow,VBN,xxxx
127,by,by,IN,xx
128,Energy,Energy,NNP,Xxxxx
129,&,&,CC,&
130,Transportation,Transportation,NNP,Xxxxx
131,and,and,CC,xxx
132,Construction,Construction,NNP,Xxxxx
133,Industries,Industries,NNPS,Xxxxx
134,"
","
",_SP,"
"
135,In,in,IN,Xx
136,the,the,DT,xxx
137,quarter,quarter,NN,xxxx
138,we,-PRON-,PRP,xx
139,announced,announce,VBD,xxxx
