,Sentences
0,"Well, thanks, Jim"
1,Good morning to everybody
2,"As Jim stated, it was a strong quarter with higher sales across all regions and improved margins, and we raised the profit outlook"
3,Our commitment to running the business using the operating and execution model is evident in the team's focus on profitable growth and cost discipline building on our restructuring efforts
4,"Let's turn to slide 4, and I'll quickly walk through the numbers"
5,"Sales and revenues of $11.4 billion were up 25% from the third quarter of last year, our strongest quarter-over-quarter in terms of sales and revenue growth since the fourth quarter of 2011."
6,About half of the increase in sales volume was from higher end-user demand
7,The other half was from favorable changes to dealer inventory
8,"The favorable change to dealer inventory was mostly due to the absence of dealer inventory reductions that occurred last year during a full-year run of dealers reducing inventory by over $6 billion, not from dealers building significant inventory this year"
9,"Dealers reduced inventory $700 million in the third quarter of last year as compared to a $200 million dealer inventory increase in the third quarter this year, a net change of $900 million"
10,"While changes to dealer inventory were favorable, it is important to note that dealer inventory in terms of months of sales are low based on historical levels and are lower than at the end of the second quarter"
11,Profit per share was up $1.29 from $0.48 to $1.77.
12,"Adjusted profit per share more than doubled, up $1.10 from $0.85 in the third quarter 2016 to $1.95."
13,Higher sales volume and favorable price realization were the largest drivers to the increase in profit
14,Let's turn to slide 5.
15,"Third quarter operating profit was $1.577 billion as compared with $481 million in 2016, up almost $1.1 billion"
16,Positive changes to operating profit came from several areas
17,The largest increase to profit was a result of higher sales volume
18,About half of the change was from higher end-user demand and half was from a favorable change to dealer inventories
19,All four geographic regions saw sales and revenue increases ranging from 20% to 29% versus a year ago
20,"However, keep in mind that, in some cases, this was off a very low base, especially in Latin America"
21,Dollar sales increase was highest in North America primarily due to higher end-user demand for both new equipment and aftermarket parts as well as favorable changes to dealer inventories as dealers in North America held inventory about flat in the quarter versus reducing inventories in the third quarter a year ago
22,Asia/Pacific saw the second highest increase in dollar sales primarily due to higher end-user demand for construction equipment
23,About half of the increase was in China with strength also broadening to other countries in the region
24,Price improved $343 million in the quarter
25,The favorable change was primarily due to Construction Industries
26,"Variable manufacturing costs were favorable $143 million largely due to the favorable impact of period costs absorbed, as inventories increased in many of our factories to support higher production levels"
27,"As we ramp up production, we remain focused on lean principles, and the inventory turns improved in all three primary segments"
28,"As we ramp, we are working closely with our supply base to reduce lead times and raise production levels, in some cases, off of a very low base"
29,"Our focus is getting product to customers quickly, but also efficiently"
30,"However, we are focused on improving availability to meet higher end-user demand"
31,"For the first time in several years, material cost increased in the quarter"
32,We expect higher steel costs to put pressure on material costs moving forward
33,Total period costs were higher by $349 million
34,"When you exclude the higher short-term incentive accrual, period costs were about flat despite a significant increase in sales volume"
35,This is a reflection of our continued cost discipline that has enabled us to control costs while making targeted investments in key areas to drive future profitable growth
36,Restructuring actions continue
37,These actions are important to achieving the flexible cost structure required to remain profitable through the cycles
38,"Restructuring costs were $90 million in the quarter, $234 million less than in the third quarter of 2016."
39,"Before we walk through the segments, I want to touch on the balance sheet"
40,ME&T debt-to-capital at the end of the second (sic)
41,[third] (
42,"10:28) quarter was 36.1%, an improvement from 38.6% at the end of the second quarter"
43,"Year-to-date, ME&T operating cash flow was $4.2 billion, $2.4 billion higher than the first nine months of last year"
44,Enterprise cash at the end of the quarter was $9.6 billion
45,Now let's move on
46,"and we'll go through the segments, starting on slide 6."
47,And we'll start with Construction Industries
48,Construction Industries sales were up 37% to $4.9 billion
49,Higher sales in all regions and favorable price realization contributed to the increase
50,"Order activity was strong in the quarter across all regions, and the backlog increased about $500 million"
51,About half of the sales volume increase was from favorable changes to dealer inventories
52,"Most of this favorable dealer inventory change occurred in North America and EAME, where there was significant reductions to dealer inventory in the third quarter of last year"
53,Asia/Pacific and EAME dealers increased inventory in the quarter
54,"Construction Industries dealer inventory is up about $300 million from the start of the year, but from a month of sales metric, they're low versus historical levels"
55,The other half of the sales volume increase was a result of higher end-user demand
56,"North America end-user demand increased primarily due to increasing activity in the oil and gas industry, including an uptick in pipeline construction and improving residential and nonresidential construction"
57,Asia/Pacific saw strength across the region
58,"However, China continues to be a bright spot and a surprise to the upside"
59,"Our current estimate for 2017 is for the 10-ton-and-above excavator industry in China to more than double versus last year, which would result in sales that are higher than our estimate of normal replacement demand for the region"
60,We believe that some demand has been pulled forward into 2017 so that construction projects can be completed before activity slows in the winter months
61,"While we are seeing strengthening fundamentals in parts of EAME, the favorable sales increase was primarily due to favorable dealer inventory changes, not end-user demand"
62,Price realization also contributed to the increase
63,"Latin America, especially Brazil, remains challenged, and sales are still at very low level"
64,"However, end-user demand did increase due to stabilizing economic conditions in several countries in the region"
65,"Construction Industries segment profit of $884 million was favorable $558 million, driven by higher sales volume and favorable price realization"
66,The increase in period costs was due to higher short-term incentive compensation
67,"Excluding the short-term incentive compensation, period costs were about flat"
68,"Segment profit margin in the quarter was 18.1%, an increase of about 900 basis points from the third quarter of last year and about flat with the second quarter of this year"
69,Let's move to Resource Industries on slide 7.
70,"Favorable changes to dealer inventories combined with strong demand for aftermarket parts to support overhauls and maintenance work, as well as improved price realization were the primary drivers of the $500 million increase in sales and revenues for Resource Industries, an increase of 36%"
71,Dealer deliveries of new equipment increased slightly
72,"As we have stated previously, the mining cycle has started to turn"
73,The parked fleet has come down from its peak and stabilized for several months
74,"The initial surge earlier this year in trucks coming into service bays for overhauls has started to subside, especially in Australia, where we first saw demand increase, but demand for aftermarket parts remains at a healthy level"
75,Utilization on trucks has steadily trended higher over the past eight months and recently achieved a five-year high
76,"While the number of trucks being overhauled has come down, the higher utilization and number of trucks working in the mines has also contributed to an increase in aftermarket parts demand"
77,"For the third quarter in a row and after four years of dealers reducing their inventories and our factories producing below retail demand, dealer inventories were about flat in the quarter, driving a favorable change to sales"
78,"Year-to-date, Resource Industries dealer inventory is up just slightly from the end of 2016."
79,"Although price realization was favorable in the quarter, the competitive environment in Resource Industries continues to put pressure on pricing for many of our products"
80,"Order activity across all regions remained strong in the quarter, and the backlog increased about $300 million from the second quarter"
81,"However, Resource Industries new equipment sales and production levels still remain at historically low levels"
82,"Segment profit was $226 million, up $303 million from a loss of $77 million in 2016."
83,"The improvement in profit resulted from higher sales volume, favorable price realization, lower manufacturing cost, primarily due to cost absorption as inventories increased in the quarter and were about flat a year ago"
