,Sentences
0,"Thank you, Mark"
1,I'll start with a summary of our second-quarter results and finish with a discussion of our outlook for 2017.
2,Pat will then take you through more details of both our second-quarter financial performance and our forecast for the year
3,"Revenues for the second quarter of 2017 were $5.1 billion, an increase of 12% compared to the second quarter of 2016, due to stronger demand for trucks and construction equipment in North America and China and improving orders from customers in mining and oil and gas markets"
4,EBIT was $620 million or 12.2% compared to $591 million or 13.1% a year ago
5,EBIT decreased as a percentage of sales and was below our own expectations primarily due to higher warranty costs
6,Variable compensation costs also increased both year-over-year and versus the first quarter as a result of our improved outlook for full-year earnings
7,"Warranty costs were 3.7% of sales in the second quarter, up from 2.2% a year ago"
8,Two unrelated issues caused most of the increase
9,"In our Power Systems segment, engine testing at our manufacturing plant identified a component quality issue that may impact engine performance"
10,"Although no performance issues have yet occurred in the field, we are taking actions to protect our customers and we record a $31 million charge to reflect the estimated costs of the campaign"
11,"Secondly, we experienced higher warranty claims associated with late light components in on-highway applications in North America that caused us to increase our warranty reserve by $36 million for products delivered in 2012 and 2013."
12,This additional charge primarily impacted the Components segment
13,We've made significant improvements to the quality of our products and especially in our new product launches
14,Cummins' products are performing at record levels of reliability and our market share reflects that strong performance
15,"On the other hand, the complexity of our products has increased significantly to meet tough emissions regulations"
16,Customer expectations have also increased and the environments where our products are used are more demanding than ever
17,"Thus, we are redoubling our efforts on improving product quality and developing new techniques using telematics and Big Data to complement our existing quality tools"
18,We expect to resolve the specific quality issues we experienced this quarter quickly and we expect warranty costs to decline as a percent of sales by 50 basis points in the second half of the year
19,Engine business sales increased by 15% in the second quarter compared to a year ago due to higher industry truck production and growth in our market share
20,We also experienced strong growth in demand from construction OEMs in China and North America
21,EBIT for the quarter was 12% compared to 10.3% for the same period in 2016.
22,Benefits from higher volumes and stronger joint venture earnings in China and the absence of a loss contingency charge recorded a year ago more than offset higher variable costs and warranty costs
23,"Sales for the Distribution segment increased by 12% year-over-year, resulting from 6% organic growth, net of currency, and an additional 6% increase resulting from the acquisition of a last remaining distributor joint venture in North America in the fourth quarter of last year"
24,Stronger parts and service revenues in oil and gas and mining markets in North America and higher parts sales in China drove the improvement in organic revenues
25,"Second-quarter EBIT was 5.6%, flat compared to the second quarter of 2016, as the benefit of higher sales were offset by higher variable compensation costs"
26,Second-quarter revenues for the Components segment increased by 14%
27,International revenues increased by 25% due to strong growth in truck demand in China and the sale of new products in India to meet the broad Stage IV emissions regulations introduced in April this year
28,EBIT for the second quarter was 13.1% compared to 14.9% in the same quarter a year ago
29,The benefit of the higher volumes and material cost-reduction programs were more than offset by the increase in warranty costs that I discussed earlier
30,"Power Systems sales increased by 10% in the second quarter, primarily driven by an increase in engine and parts sales to mining and oil and gas customers"
31,EBIT in the second quarter was 6% compared to 9.8% a year ago
32,The primary driver of the lower EBIT margin was the accrual for the estimated cost of the quality campaign
33,The business also experienced an increase in commodity costs and higher variable compensation costs associated with the company's improved outlook for the full year
34,"Excluding the campaign and some additional one-time costs, the business is operating at approximately 10% EBIT margin"
35,"With improving market conditions in some key markets and the benefits of our UK manufacturing restructuring still to come in 2018, we are confident that we will see a significant step-up in profitability in the coming quarters"
36,"Now, I will comment on the performance in some of our key markets for the second quarter of 2017, starting with North America"
37,and then I will comment on some of our largest international markets
38,"Our revenues in North America improved 13% in the second quarter, primarily due to higher levels of industry production and increased market share in on-highway markets"
39,"We also experienced growth in sales of engines and parts to customers in construction, oil and gas and mining markets"
40,"Industry production of North American heavy-duty trucks increased 4% in the second quarter of 2017, while sales of our heavy-duty engines increased 16% due to higher market share at 32%, up from 29% a year ago"
41,"Production of medium-duty trucks increased 15% in the second quarter, while our engine shipments increased 27% as our market share improved 600 basis points reaching nearly 80% in the quarter"
42,Total shipments to our North American pickup truck customers increased 6% compared to a year ago due to strong demand from FCA
43,"Engine sales for construction equipment in North America increased 31% in the second quarter, compared to a weak quarter a year ago with some OEMs optimistic about the prospects for increased infrastructure investment"
44,"Sales of engine shipments to high-horsepower markets in North America increased 147% compared to a very weak quarter a year ago, driven by higher sales to oil and gas customers"
45,Revenues for power generation showed little change from weak levels a year ago with shipments of mobile generators for recreational vehicles helping to offset lower military sales
46,Our international revenues increased by 11% in the second quarter of 2017 compared to a year ago
47,"Second-quarter revenues in China, including joint ventures, were $1.2 billion, an increase of 28% due to continued strength in truck and construction markets"
48,"Industry demand for medium and heavy-duty trucks in China increased by 46% compared to a year ago and our market share for the quarter was 14%, slightly below the level a year ago, reflecting a mix shift in industry sales to dump trucks in which we have a lower share of the market today"
49,Penetration of our products with our key OEM customers remains very strong
