,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Mark,Mark,NNP,Xxxx
4,"
","
",_SP,"
"
5,I,-PRON-,PRP,X
6,'ll,will,MD,'xx
7,start,start,VB,xxxx
8,with,with,IN,xxxx
9,a,a,DT,x
10,summary,summary,NN,xxxx
11,of,of,IN,xx
12,our,-PRON-,PRP$,xxx
13,second,second,JJ,xxxx
14,-,-,HYPH,-
15,quarter,quarter,NN,xxxx
16,results,result,NNS,xxxx
17,and,and,CC,xxx
18,finish,finish,VB,xxxx
19,with,with,IN,xxxx
20,a,a,DT,x
21,discussion,discussion,NN,xxxx
22,of,of,IN,xx
23,our,-PRON-,PRP$,xxx
24,outlook,outlook,NN,xxxx
25,for,for,IN,xxx
26,2017,2017,CD,dddd
27,.,.,.,.
28,Pat,Pat,NNP,Xxx
29,will,will,MD,xxxx
30,then,then,RB,xxxx
31,take,take,VB,xxxx
32,you,-PRON-,PRP,xxx
33,through,through,IN,xxxx
34,more,more,JJR,xxxx
35,details,detail,NNS,xxxx
36,of,of,IN,xx
37,both,both,CC,xxxx
38,our,-PRON-,PRP$,xxx
39,second,second,JJ,xxxx
40,-,-,HYPH,-
41,quarter,quarter,NN,xxxx
42,financial,financial,JJ,xxxx
43,performance,performance,NN,xxxx
44,and,and,CC,xxx
45,our,-PRON-,PRP$,xxx
46,forecast,forecast,NN,xxxx
47,for,for,IN,xxx
48,the,the,DT,xxx
49,year,year,NN,xxxx
50,"
","
",_SP,"
"
51,Revenues,revenue,NNS,Xxxxx
52,for,for,IN,xxx
53,the,the,DT,xxx
54,second,second,JJ,xxxx
55,quarter,quarter,NN,xxxx
56,of,of,IN,xx
57,2017,2017,CD,dddd
58,were,be,VBD,xxxx
59,$,$,$,$
60,5.1,5.1,CD,d.d
61,billion,billion,CD,xxxx
62,",",",",",",","
63,an,an,DT,xx
64,increase,increase,NN,xxxx
65,of,of,IN,xx
66,12,12,CD,dd
67,%,%,NN,%
68,compared,compare,VBN,xxxx
69,to,to,IN,xx
70,the,the,DT,xxx
71,second,second,JJ,xxxx
72,quarter,quarter,NN,xxxx
73,of,of,IN,xx
74,2016,2016,CD,dddd
75,",",",",",",","
76,due,due,IN,xxx
77,to,to,IN,xx
78,stronger,strong,JJR,xxxx
79,demand,demand,NN,xxxx
80,for,for,IN,xxx
81,trucks,truck,NNS,xxxx
82,and,and,CC,xxx
83,construction,construction,NN,xxxx
84,equipment,equipment,NN,xxxx
85,in,in,IN,xx
86,North,North,NNP,Xxxxx
87,America,America,NNP,Xxxxx
88,and,and,CC,xxx
89,China,China,NNP,Xxxxx
90,and,and,CC,xxx
91,improving,improve,VBG,xxxx
92,orders,order,NNS,xxxx
93,from,from,IN,xxxx
94,customers,customer,NNS,xxxx
95,in,in,IN,xx
96,mining,mining,NN,xxxx
97,and,and,CC,xxx
98,oil,oil,NN,xxx
99,and,and,CC,xxx
100,gas,gas,NN,xxx
101,markets,market,NNS,xxxx
102,"
","
",_SP,"
"
103,EBIT,EBIT,NNP,XXXX
104,was,be,VBD,xxx
105,$,$,$,$
106,620,620,CD,ddd
107,million,million,CD,xxxx
108,or,or,CC,xx
109,12.2,12.2,CD,dd.d
110,%,%,NN,%
111,compared,compare,VBN,xxxx
112,to,to,IN,xx
113,$,$,$,$
114,591,591,CD,ddd
115,million,million,CD,xxxx
116,or,or,CC,xx
117,13.1,13.1,CD,dd.d
118,%,%,NN,%
119,a,a,DT,x
120,year,year,NN,xxxx
121,ago,ago,RB,xxx
122,"
","
",_SP,"
"
123,EBIT,EBIT,NNP,XXXX
124,decreased,decrease,VBD,xxxx
125,as,as,IN,xx
126,a,a,DT,x
127,percentage,percentage,NN,xxxx
128,of,of,IN,xx
129,sales,sale,NNS,xxxx
130,and,and,CC,xxx
131,was,be,VBD,xxx
132,below,below,IN,xxxx
133,our,-PRON-,PRP$,xxx
134,own,own,JJ,xxx
135,expectations,expectation,NNS,xxxx
136,primarily,primarily,RB,xxxx
137,due,due,JJ,xxx
138,to,to,IN,xx
