,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Bob,Bob,NNP,Xxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,everyone,everyone,NN,xxxx
7,"
","
",_SP,"
"
8,Let,let,VB,Xxx
9,'s,-PRON-,PRP,'x
10,start,start,VB,xxxx
11,on,on,IN,xx
12,Slide,Slide,NNP,Xxxxx
13,three,three,CD,xxxx
14,of,of,IN,xx
15,our,-PRON-,PRP$,xxx
16,presentation,presentation,NN,xxxx
17,deck,deck,NN,xxxx
18,"
","
",_SP,"
"
19,Today,today,NN,Xxxxx
20,",",",",",",","
21,we,-PRON-,PRP,xx
22,reported,report,VBD,xxxx
23,first,first,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,revenue,revenue,NN,xxxx
26,of,of,IN,xx
27,$,$,$,$
28,1.8,1.8,CD,d.d
29,billion,billion,CD,xxxx
30,",",",",",",","
31,an,an,DT,xx
32,increase,increase,NN,xxxx
33,of,of,IN,xx
34,12,12,CD,dd
35,%,%,NN,%
36,"
","
",_SP,"
"
37,Growth,growth,NN,Xxxxx
38,from,from,IN,xxxx
39,acquisitions,acquisition,NNS,xxxx
40,of,of,IN,xx
41,12,12,CD,dd
42,%,%,NN,%
43,was,be,VBD,xxx
44,complemented,complement,VBN,xxxx
45,by,by,IN,xx
46,organic,organic,JJ,xxxx
47,growth,growth,NN,xxxx
48,of,of,IN,xx
49,4,4,CD,d
50,%,%,NN,%
51,"
","
",_SP,"
"
52,Partially,partially,RB,Xxxxx
53,offsetting,offset,VBG,xxxx
54,these,these,DT,xxxx
55,strong,strong,JJ,xxxx
56,results,result,NNS,xxxx
57,was,be,VBD,xxx
58,a,a,DT,x
59,4,4,CD,d
60,%,%,NN,%
61,impact,impact,NN,xxxx
62,from,from,IN,xxxx
63,dispositions,disposition,NNS,xxxx
64,and,and,CC,xxx
65,FX,FX,NNP,XX
66,"
","
",_SP,"
"
67,EPS,EPS,NNP,XXX
68,was,be,VBD,xxx
69,a,a,DT,x
70,$,$,$,$
71,1.09,1.09,CD,d.dd
72,and,and,CC,xxx
73,included,include,VBD,xxxx
74,a,a,DT,x
75,gain,gain,NN,xxxx
76,of,of,IN,xx
77,$,$,$,$
78,0.39,0.39,CD,d.dd
79,.,.,.,.
80,Adjusted,adjust,VBN,Xxxxx
81,EPS,EPS,NNP,XXX
82,of,of,IN,xx
83,$,$,$,$
84,0.70,0.70,CD,d.dd
85,exceeded,exceed,VBD,xxxx
86,the,the,DT,xxx
87,high,high,JJ,xxxx
88,end,end,NN,xxx
89,of,of,IN,xx
90,our,-PRON-,PRP$,xxx
91,expectations,expectation,NNS,xxxx
92,",",",",",",","
93,principally,principally,RB,xxxx
94,reflecting,reflect,VBG,xxxx
95,strong,strong,JJ,xxxx
96,performance,performance,NN,xxxx
97,on,on,IN,xx
98,higher,high,JJR,xxxx
99,revenue,revenue,NN,xxxx
100,and,and,CC,xxx
101,a,a,DT,x
102,lower,low,JJR,xxxx
103,tax,tax,NN,xxx
104,rate,rate,NN,xxxx
105,"
","
",_SP,"
"
106,Adjusted,adjusted,JJ,Xxxxx
107,segment,segment,NN,xxxx
108,margin,margin,NN,xxxx
109,was,be,VBD,xxx
110,11.8,11.8,CD,dd.d
111,%,%,NN,%
112,",",",",",",","
113,an,an,DT,xx
114,80,80,CD,dd
115,basis,basis,NN,xxxx
116,point,point,NN,xxxx
117,improvement,improvement,NN,xxxx
118,over,over,IN,xxxx
119,last,last,JJ,xxxx
120,year,year,NN,xxxx
121,",",",",",",","
122,largely,largely,RB,xxxx
123,driven,drive,VBN,xxxx
124,by,by,IN,xx
125,strong,strong,JJ,xxxx
126,incremental,incremental,JJ,xxxx
127,margin,margin,NN,xxxx
128,on,on,IN,xx
129,increased,increase,VBN,xxxx
130,volume,volume,NN,xxxx
131,in,in,IN,xx
132,our,-PRON-,PRP$,xxx
133,energy,energy,NN,xxxx
134,segment,segment,NN,xxxx
135,"
","
",_SP,"
"
136,Bookings,booking,NNS,Xxxxx
137,increased,increase,VBD,xxxx
138,21,21,CD,dd
139,%,%,NN,%
140,to,to,IN,xx
141,$,$,$,$
142,2,2,CD,d
143,billion,billion,CD,xxxx
144,"
","
",_SP,"
"
145,This,this,DT,Xxxx
146,positive,positive,JJ,xxxx
147,result,result,NN,xxxx
148,was,be,VBD,xxx
149,broad,broad,JJ,xxxx
150,based,base,VBN,xxxx
151,and,and,CC,xxx
152,reflects,reflect,VBZ,xxxx
153,organic,organic,JJ,xxxx
154,growth,growth,NN,xxxx
155,of,of,IN,xx
156,12,12,CD,dd
157,%,%,NN,%
158,and,and,CC,xxx
159,acquisition,acquisition,NN,xxxx
160,growth,growth,NN,xxxx
161,of,of,IN,xx
162,12,12,CD,dd
163,%,%,NN,%
164,",",",",",",","
165,offset,offset,VBN,xxxx
166,by,by,IN,xx
167,a,a,DT,x
168,3,3,CD,d
169,%,%,NN,%
170,combined,combine,VBN,xxxx
171,impact,impact,NN,xxxx
172,of,of,IN,xx
173,dispositions,disposition,NNS,xxxx
174,and,and,CC,xxx
175,FX,FX,NNP,XX
176,"
","
",_SP,"
"
177,Total,total,JJ,Xxxxx
178,company,company,NN,xxxx
179,book,book,NN,xxxx
180,to,to,IN,xx
181,bill,bill,NNP,xxxx
182,finished,finish,VBN,xxxx
183,at,at,IN,xx
184,a,a,DT,x
185,seasonally,seasonally,RB,xxxx
186,strong,strong,JJ,xxxx
187,1.12,1.12,CD,d.dd
188,.,.,.,.
189,Overall,overall,RB,Xxxxx
190,",",",",",",","
191,our,-PRON-,PRP$,xxx
192,backlog,backlog,NN,xxxx
193,increased,increase,VBD,xxxx
194,20,20,CD,dd
195,%,%,NN,%
196,to,to,IN,xx
197,$,$,$,$
198,1.3,1.3,CD,d.d
199,billion,billion,CD,xxxx
200,"
","
",_SP,"
"
201,On,on,IN,Xx
202,an,an,DT,xx
203,organic,organic,JJ,xxxx
204,basis,basis,NN,xxxx
205,",",",",",",","
206,backlog,backlog,NN,xxxx
207,increased,increase,VBD,xxxx
208,13,13,CD,dd
209,%,%,NN,%
210,"
","
",_SP,"
"
211,Free,free,JJ,Xxxx
212,cash,cash,NN,xxxx
213,flow,flow,NN,xxxx
214,was,be,VBD,xxx
215,$,$,$,$
216,36,36,CD,dd
217,million,million,CD,xxxx
218,for,for,IN,xxx
219,the,the,DT,xxx
220,first,first,JJ,xxxx
221,quarter,quarter,NN,xxxx
222,",",",",",",","
223,which,which,WDT,xxxx
224,is,be,VBZ,xx
225,always,always,RB,xxxx
226,our,-PRON-,PRP$,xxx
227,lowest,low,JJS,xxxx
228,quarter,quarter,NN,xxxx
229,of,of,IN,xx
230,the,the,DT,xxx
231,year,year,NN,xxxx
232,"
","
",_SP,"
"
233,Our,-PRON-,PRP$,Xxx
234,quarterly,quarterly,JJ,xxxx
235,result,result,NN,xxxx
236,was,be,VBD,xxx
237,impacted,impact,VBN,xxxx
238,by,by,IN,xx
239,inventory,inventory,NN,xxxx
240,increases,increase,NNS,xxxx
241,driven,drive,VBN,xxxx
242,by,by,IN,xx
243,selective,selective,JJ,xxxx
244,pre,pre,JJ,xxx
245,-,-,NNS,-
246,builds,build,NNS,xxxx
247,"
","
",_SP,"
"
248,Overall,overall,RB,Xxxxx
249,",",",",",",","
250,we,-PRON-,PRP,xx
251,remain,remain,VBP,xxxx
252,committed,committed,JJ,xxxx
253,to,to,IN,xx
254,full,full,JJ,xxxx
255,year,year,NN,xxxx
256,free,free,JJ,xxxx
257,cash,cash,NN,xxxx
258,flow,flow,NN,xxxx
259,of,of,IN,xx
260,about,about,RB,xxxx
261,11,11,CD,dd
262,%,%,NN,%
263,of,of,IN,xx
264,revenue,revenue,NN,xxxx
265,or,or,CC,xx
266,140,140,CD,ddd
267,%,%,NN,%
268,of,of,IN,xx
269,net,net,JJ,xxx
270,income,income,NN,xxxx
271,"
","
",_SP,"
"
272,Now,now,RB,Xxx
273,turning,turn,VBG,xxxx
274,to,to,TO,xx
275,Slide,slide,VB,Xxxxx
276,four,four,CD,xxxx
277,"
","
",_SP,"
"
278,Organic,organic,JJ,Xxxxx
279,growth,growth,NN,xxxx
280,in,in,IN,xx
281,the,the,DT,xxx
282,quarter,quarter,NN,xxxx
283,was,be,VBD,xxx
284,solid,solid,JJ,xxxx
285,led,lead,VBN,xxx
286,by,by,IN,xx
287,energies,energy,NNS,xxxx
288,growth,growth,NN,xxxx
289,of,of,IN,xx
290,15,15,CD,dd
291,%,%,NN,%
292,on,on,IN,xx
293,improving,improve,VBG,xxxx
294,US,US,NNP,XX
295,oil,oil,NN,xxx
296,and,and,CC,xxx
297,gas,gas,NN,xxx
298,fundamentals,fundamental,NNS,xxxx
299,"
","
",_SP,"
"
300,Refrigeration,refrigeration,NN,Xxxxx
301,and,and,CC,xxx
302,food,food,NN,xxxx
303,equipment,equipment,NN,xxxx
304,increased,increase,VBD,xxxx
305,5,5,CD,d
306,%,%,NN,%
307,",",",",",",","
308,primarily,primarily,RB,xxxx
309,on,on,IN,xx
310,strong,strong,JJ,xxxx
311,retail,retail,JJ,xxxx
312,refrigeration,refrigeration,NN,xxxx
313,markets,market,NNS,xxxx
314,"
","
",_SP,"
"
315,Engineered,Engineered,NNP,Xxxxx
316,Systems,Systems,NNPS,Xxxxx
317,was,be,VBD,xxx
318,up,up,RB,xx
319,2,2,CD,d
320,%,%,NN,%
321,",",",",",",","
322,primarily,primarily,RB,xxxx
323,reflecting,reflect,VBG,xxxx
324,continued,continue,VBN,xxxx
325,solid,solid,JJ,xxxx
326,growth,growth,NN,xxxx
327,in,in,IN,xx
328,printing,printing,NN,xxxx
329,and,and,CC,xxx
330,identification,identification,NN,xxxx
331,"
","
",_SP,"
"
332,Fluids,fluid,NNS,Xxxxx
333,organic,organic,JJ,xxxx
334,revenue,revenue,NN,xxxx
335,declined,decline,VBD,xxxx
336,2,2,CD,d
337,%,%,NN,%
338,",",",",",",","
339,principally,principally,RB,xxxx
340,reflecting,reflect,VBG,xxxx
341,weak,weak,JJ,xxxx
342,longer,long,JJR,xxxx
343,cycle,cycle,NN,xxxx
344,transport,transport,NN,xxxx
345,markets,market,NNS,xxxx
346,"
","
",_SP,"
"
347,As,as,IN,Xx
348,seen,see,VBN,xxxx
349,on,on,IN,xx
350,the,the,DT,xxx
351,chart,chart,NN,xxxx
352,",",",",",",","
353,acquisition,acquisition,NN,xxxx
354,growth,growth,NN,xxxx
355,in,in,IN,xx
356,the,the,DT,xxx
357,quarter,quarter,NN,xxxx
358,was,be,VBD,xxx
359,most,most,RBS,xxxx
360,prevalent,prevalent,JJ,xxxx
361,at,at,IN,xx
362,Fluids,Fluids,NNPS,Xxxxx
363,and,and,CC,xxx
364,Engineered,Engineered,NNP,Xxxxx
365,Systems,Systems,NNPS,Xxxxx
366,at,at,IN,xx
367,35,35,CD,dd
368,%,%,NN,%
369,and,and,CC,xxx
370,9,9,CD,d
371,%,%,NN,%
372,respectively,respectively,RB,xxxx
373,"
","
",_SP,"
"
374,Now,now,RB,Xxx
375,moving,move,VBG,xxxx
376,to,to,TO,xx
377,Slide,slide,NN,Xxxxx
378,five,five,CD,xxxx
379,"
","
",_SP,"
"
380,Energy,energy,NN,Xxxxx
381,revenue,revenue,NN,xxxx
382,of,of,IN,xx
383,$,$,$,$
384,324,324,CD,ddd
385,million,million,CD,xxxx
386,increased,increase,VBD,xxxx
387,14,14,CD,dd
388,%,%,NN,%
389,year,year,NN,xxxx
390,over,over,IN,xxxx
391,year,year,NN,xxxx
392,and,and,CC,xxx
393,11,11,CD,dd
394,%,%,NN,%
395,sequentially,sequentially,RB,xxxx
396,"
","
",_SP,"
"
397,Earnings,earning,NNS,Xxxxx
398,were,be,VBD,xxxx
399,$,$,$,$
400,42,42,CD,dd
401,million,million,CD,xxxx
402,and,and,CC,xxx
403,segment,segment,NN,xxxx
404,margin,margin,NN,xxxx
405,was,be,VBD,xxx
406,12.9,12.9,CD,dd.d
407,%,%,NN,%
408,",",",",",",","
409,both,both,DT,xxxx
410,significantly,significantly,RB,xxxx
411,improved,improve,VBD,xxxx
412,over,over,IN,xxxx
413,last,last,JJ,xxxx
414,year,year,NN,xxxx
415,"
","
",_SP,"
"
416,These,these,DT,Xxxxx
417,results,result,NNS,xxxx
418,exceeded,exceed,VBD,xxxx
419,our,-PRON-,PRP$,xxx
420,expectations,expectation,NNS,xxxx
421,",",",",",",","
422,driven,drive,VBN,xxxx
423,by,by,IN,xx
