,Sentences
0,"Thank you very much, Craig"
1,I want to welcome everybody for joining us this afternoon
2,We just finished a 24-hour board meeting starting yesterday afternoon and going through this morning and just ending
3,"Also, having our shareholders meeting"
4,And fortunately all the proposition proposals passed the way the board recommended
5,That's a good situation
6,"And for all your shareholders, I did get re-elected as a member of the board"
7,Thank you very much
8,"And for the board, for the members out there that don't like me being Chairman and CEO"
9,", fortunately the vote was a tad under 40%"
10,so I still will be the Chairman and CEO for a while here
11,I appreciate that
12,"I want to also thank the whole organization across Emerson, around the world, as you all know, we've gone through a major transformation, repositioned the company, we've shaken up the organization"
13,We've sold off the businesses
14,We've now finished the pure divestiture of Network Power and LSCT
15,We have received the cash and we're cleaning up all the final points there
16,We will finish that in the second quarter just like we did in the first quarter
17,And now we're focusing on the two core businesses
18,"And as you saw, this is the first quarter reported, by themselves, executing around the new approach, the new strategy, the new organization"
19,We are executing well within that
20,and I want to thank the organization and the new people involved in this
21,And I also want to thank all the hard work that was done in the restructuring and the repositioning
22,"And you can see in the profitability, it's flowing through and we saw that in the quarter"
23,And that's a good time we're having the wind shift a little bit to our back
24,and we're starting to see momentum change
25,Those are all the good things that are underway
26,"Clearly, from our perspective, right now, we're still waiting for the final approval from the U.S"
27,from the FTC on Pentair
28,We're hoping to get that sometime in the next couple of weeks
29,and so we'll be able to close sometime by the end of March
30,We've already got approval from the EU.
31,They're approved
32,We're in good shape there
33,And most places around the world we have approval
34,We're waiting for the U.S
35,government to finalize their review of the situation
36,"As I look at the Automation Solutions business, as I've talked openly, as I've traveled and met with shareholders"
37,and I've had conferences
38,", we could see the trend start turning with the stability of the price of oil, with the stability of our main customer base"
39,"We're starting to see a increase â€“ slowly but surely increased demand around the world in key marketplaces and in key sectors, and that's a good thing"
40,"And we're starting to see that orders really turn into an improved pace of business, which should continue to happen as we go forward here for the rest of this year going into the second half and then into early 2018."
41,"On Bob Sharp's business, the Commercial & Residential they really started seeing improvement late last year in our fiscal quarter 2016."
42,"They had a very, very good start to this year with a sales and profitability and cash"
43,"And they have pretty good order pace still, and so we expect that business will continue to have a good growth around the world"
44,"They're seeing a pretty broad growth around the world, which is good"
45,"But in particular, I see the U.S"
46,", I see Asia and then also Europe really driving that"
47,So I think a really good start for both businesses
48,"One has already turned to growth; one is slowly getting their orders on pace and the lineup is, I would say, a quarter ahead of what we thought originally"
49,And so we're liking that
50,"And we'll have a lot of discussion around this at the Investor conference, which I believe is next week"
51,Next week in New York
52,"I haven't decided which charts we're going to show,"
53,which charts we're going to exclude and which cameras will work and won't work in the auditorium
54,But those are all things that are flexible and based upon the CEO discretion
55,And so we'll see how that goes
56,and we'll make that call when I get there in New York later this next week
57,Cash flow
58,"It is a good quarter for cash flow, though it's always the lowest quarter for us"
