,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,very,very,RB,xxxx
3,much,much,RB,xxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everybody,everybody,NN,xxxx
9,"
","
",_SP,"
"
10,First,first,RB,Xxxxx
11,of,of,IN,xx
12,all,all,DT,xxx
13,",",",",",",","
14,I,-PRON-,PRP,X
15,want,want,VBP,xxxx
16,to,to,TO,xx
17,say,say,VB,xxx
18,that,that,IN,xxxx
19,we,-PRON-,PRP,xx
20,did,do,VBD,xxx
21,have,have,VB,xxxx
22,a,a,DT,x
23,good,good,JJ,xxxx
24,recovery,recovery,NN,xxxx
25,in,in,IN,xx
26,the,the,DT,xxx
27,second,second,JJ,xxxx
28,quarter,quarter,NN,xxxx
29,",",",",",",","
30,and,and,CC,xxx
31,from,from,IN,xxxx
32,the,the,DT,xxx
33,performance,performance,NN,xxxx
34,level,level,NN,xxxx
35,based,base,VBN,xxxx
36,on,on,IN,xx
37,what,what,WP,xxxx
38,we,-PRON-,PRP,xx
39,discussed,discuss,VBD,xxxx
40,on,on,IN,xx
41,the,the,DT,xxx
42,February,February,NNP,Xxxxx
43,conference,conference,NN,xxxx
44,call,call,NN,xxxx
45,we,-PRON-,PRP,xx
46,did,do,VBD,xxx
47,slightly,slightly,RB,xxxx
48,beat,beat,VB,xxxx
49,what,what,WP,xxxx
50,we,-PRON-,PRP,xx
51,'d,would,MD,'x
52,discussed,discuss,VBN,xxxx
53,in,in,IN,xx
54,that,that,DT,xxxx
55,call,call,NN,xxxx
56,"
","
",_SP,"
"
57,Orders,order,NNS,Xxxxx
58,for,for,IN,xxx
59,the,the,DT,xxx
60,three,three,CD,xxxx
61,-,-,HYPH,-
62,month,month,NN,xxxx
63,roll,roll,NN,xxxx
64,were,be,VBD,xxxx
65,4.5,4.5,CD,d.d
66,%,%,NN,%
67,positive,positive,JJ,xxxx
68,in,in,IN,xx
69,the,the,DT,xxx
70,three,three,CD,xxxx
71,-,-,HYPH,-
72,month,month,NN,xxxx
73,roll,roll,NN,xxxx
74,for,for,IN,xxx
75,the,the,DT,xxx
76,quarter,quarter,NN,xxxx
77,"
","
",_SP,"
"
78,Sales,sale,NNS,Xxxxx
79,were,be,VBD,xxxx
80,flat,flat,JJ,xxxx
81,",",",",",",","
82,slightly,slightly,RB,xxxx
83,above,above,IN,xxxx
84,where,where,WRB,xxxx
85,we,-PRON-,PRP,xx
86,thought,think,VBD,xxxx
87,they,-PRON-,PRP,xxxx
88,'d,would,MD,'x
89,be,be,VB,xx
90,"
","
",_SP,"
"
91,Our,-PRON-,PRP$,Xxx
92,GP,GP,NNP,XX
93,",",",",",",","
94,gross,gross,JJ,xxxx
95,profit,profit,NN,xxxx
96,margin,margin,NN,xxxx
97,",",",",",",","
98,our,-PRON-,PRP$,xxx
99,operating,operating,NN,xxxx
100,profit,profit,NN,xxxx
101,margin,margin,NN,xxxx
102,",",",",",",","
103,our,-PRON-,PRP$,xxx
104,EBIT,EBIT,NNP,XXXX
105,margins,margin,NNS,xxxx
106,were,be,VBD,xxxx
107,all,all,DT,xxx
108,up,up,RB,xx
109,and,and,CC,xxx
110,",",",",",",","
111,yes,yes,UH,xxx
112,",",",",",",","
113,Automation,Automation,NNP,Xxxxx
114,Solutions,Solutions,NNPS,Xxxxx
115,margins,margin,NNS,xxxx
116,were,be,VBD,xxxx
117,up,up,RB,xx
118,underlying,underlying,JJ,xxxx
119,but,but,CC,xxx
120,we,-PRON-,PRP,xx
121,made,make,VBD,xxxx
122,the,the,DT,xxx
123,decision,decision,NN,xxxx
124,to,to,TO,xx
125,clean,clean,VB,xxxx
126,up,up,RP,xx
127,potentially,potentially,RB,xxxx
128,future,future,JJ,xxxx
129,receivable,receivable,JJ,xxxx
130,issues,issue,NNS,xxxx
131,primarily,primarily,RB,xxxx
132,around,around,IN,xxxx
133,Venezuela,Venezuela,NNP,Xxxxx
134,",",",",",",","
135,and,and,CC,xxx
136,we,-PRON-,PRP,xx
