,Sentences
0,"Thanks, Lisa, and good afternoon, everyone"
1,"We closed 2016 on a positive note delivering outperformance from both core sales and earnings growth perspectives as our outstanding team of 24,000 employees around the world, leverage the power of the Fortive Business System"
2,"2016 was a remarkable year as we not only launched Fortive, but seamlessly serve our customers accelerating product innovation maintained or expanded leading market positions in all of our businesses and lift our values by holding over 700 Kaizens including the CEO Kaizen"
3,we highlighted last quarter
4,"And our first two quarters as a standalone company, Fortive delivered over 3% core revenue growth, expanded core adjusted operating margin 90 basis points and gross margin 60 basis points"
5,Delivered free cash flow conversion of 129% and grew adjusted earnings 12% all while continuing to invest in both growth and productivity initiatives and M&A that will allow Fortive to deliver long-term value to our shareholders
6,Living our values helping our customers accelerate progress and leveraging the power of the Fortive Business System positions us well for 2017 and beyond
7,"Turning to the fourth quarter of 2016 for a more detailed discussion of our results, let me first remind you that the following information reflects year-over-year increases or decreases relative to the supplemental financial data posted to our website"
8,Adjusted net earnings of $237.7 million were up 3.6% over the prior year
9,Adjusted diluted net earnings per share were $0.68.
10,"If not for the $0.04 of additional investments we guided last quarter, adjusted net earnings per share would have grown 9%"
11,Currency was an additional $0.01 headwind to adjusted EPS
12,Sales grew 3.3% to $1.6 billion or a core revenue increase of 3.5% reflecting growth in five out of our six platforms
13,"Acquisitions contributed approximately 90 basis points of growth during the fourth quarter, which was more than offset by approximately 110 basis points of unfavorable currency translation due to the strength of the U.S"
14,dollar
15,"Geographically for the second quarter in a row, North America and Western Europe drove low single-digit revenue growth in developed markets"
16,High growth markets accelerated to high single-digit growth in the quarter driven primarily by China and improved results in Latin America partially offset by challenging Middle East markets
17,"North American growth of low single-digits was driven primarily by strong performance at Gilbarco Veeder-Root, Matco, Fluke and Kollmorgen"
18,Western Europe growth of high single-digits continues to reflect outperformance to the general macro environment as market share gains were realized across both professional instrumentation and industrial technology segments
19,"As we guided last quarter, we use the outperformance in third quarter of 2016 to invest opportunistically back in our businesses in the form of both long-term growth and productivity investments"
20,"Even with those additional investments, we delivered solid margin performance in the quarter demonstrating the value of FBS and focused execution"
21,Gross margin was 49% reflecting 90 basis points of expansion over the prior year
22,Operating profit margin was 20.8% which reflects core adjusted operating margin expansion of 20 basis points
23,"During the fourth quarter, we generated approximately $278 million of free cash flow and delivered an outstanding conversion ratio of 124%"
24,"For the full year, free cash flow conversion was 115%"
25,"Turning to our segments, Professional Instrumentation posted core revenue growth of 1.2% and acceleration of almost 50 basis points over the third quarter of 2016, reflecting continued stabilization in North American industrial markets"
26,"FX was a significant headwind in the quarter of approximately 130 basis points, partially offset by growth from acquisitions of 40 basis points"
27,Professional Instrumentation operating profit margin was 23.1% reflecting a core operating margin decline of 30 basis points driven primarily by long-term growth investments undertaken in the quarter partially offset by decreased amortization
28,"Advanced Instrumentation and Solutions core revenue increased low single-digits primarily led by good performance of both Fluke and Qualitrol, which comprised our field solutions platform"
29,Field solutions core revenue was up low single-digits in the quarter with Fluke and Qualitrol posting low single-digit and high single-digit growth respectively
30,The growth at Fluke reflected solid demand for handheld industrial products in North America as well as Western Europe
31,Sell-through data continues to improve in both regions
