,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Lisa,Lisa,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,We,-PRON-,PRP,Xx
11,closed,close,VBD,xxxx
12,2016,2016,CD,dddd
13,on,on,IN,xx
14,a,a,DT,x
15,positive,positive,JJ,xxxx
16,note,note,NN,xxxx
17,delivering,deliver,VBG,xxxx
18,outperformance,outperformance,NN,xxxx
19,from,from,IN,xxxx
20,both,both,DT,xxxx
21,core,core,NN,xxxx
22,sales,sale,NNS,xxxx
23,and,and,CC,xxx
24,earnings,earning,NNS,xxxx
25,growth,growth,NN,xxxx
26,perspectives,perspective,VBZ,xxxx
27,as,as,IN,xx
28,our,-PRON-,PRP$,xxx
29,outstanding,outstanding,JJ,xxxx
30,team,team,NN,xxxx
31,of,of,IN,xx
32,"24,000","24,000",CD,"dd,ddd"
33,employees,employee,NNS,xxxx
34,around,around,IN,xxxx
35,the,the,DT,xxx
36,world,world,NN,xxxx
37,",",",",",",","
38,leverage,leverage,VB,xxxx
39,the,the,DT,xxx
40,power,power,NN,xxxx
41,of,of,IN,xx
42,the,the,DT,xxx
43,Fortive,Fortive,NNP,Xxxxx
44,Business,Business,NNP,Xxxxx
45,System,System,NNP,Xxxxx
46,"
","
",_SP,"
"
47,2016,2016,CD,dddd
48,was,be,VBD,xxx
49,a,a,DT,x
50,remarkable,remarkable,JJ,xxxx
51,year,year,NN,xxxx
52,as,as,IN,xx
53,we,-PRON-,PRP,xx
54,not,not,RB,xxx
55,only,only,RB,xxxx
56,launched,launch,VBD,xxxx
57,Fortive,Fortive,NNP,Xxxxx
58,",",",",",",","
59,but,but,CC,xxx
60,seamlessly,seamlessly,RB,xxxx
61,serve,serve,VB,xxxx
62,our,-PRON-,PRP$,xxx
63,customers,customer,NNS,xxxx
64,accelerating,accelerate,VBG,xxxx
65,product,product,NN,xxxx
66,innovation,innovation,NN,xxxx
67,maintained,maintain,VBD,xxxx
68,or,or,CC,xx
69,expanded,expand,VBN,xxxx
