,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Brian,Brian,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,thanks,thank,NNS,xxxx
7,to,to,IN,xx
8,everyone,everyone,NN,xxxx
9,for,for,IN,xxx
10,joining,join,VBG,xxxx
11,us,-PRON-,PRP,xx
12,today,today,NN,xxxx
13,"
","
",_SP,"
"
14,Our,-PRON-,PRP$,Xxx
15,teams,team,NNS,xxxx
16,grew,grow,VBD,xxxx
17,total,total,JJ,xxxx
18,company,company,NN,xxxx
19,sales,sale,NNS,xxxx
20,and,and,CC,xxx
21,increased,increase,VBN,xxxx
22,profits,profit,NNS,xxxx
23,across,across,IN,xxxx
24,all,all,DT,xxx
25,segments,segment,NNS,xxxx
26,in,in,IN,xx
27,the,the,DT,xxx
28,second,second,JJ,xxxx
29,quarter,quarter,NN,xxxx
30,"
","
",_SP,"
"
31,The,the,DT,Xxx
32,home,home,NN,xxxx
33,products,product,NNS,xxxx
34,market,market,NN,xxxx
35,continued,continue,VBD,xxxx
36,to,to,TO,xx
37,grow,grow,VB,xxxx
38,",",",",",",","
39,with,with,IN,xxxx
40,strong,strong,JJ,xxxx
41,demand,demand,NN,xxxx
42,in,in,IN,xx
43,new,new,JJ,xxx
44,construction,construction,NN,xxxx
45,and,and,CC,xxx
46,continued,continued,JJ,xxxx
47,growth,growth,NN,xxxx
48,in,in,IN,xx
49,R&R,R&R,NNP,X&X
50,"
","
",_SP,"
"
51,Importantly,importantly,RB,Xxxxx
52,",",",",",",","
53,our,-PRON-,PRP$,xxx
54,businesses,business,NNS,xxxx
55,remain,remain,VBP,xxxx
56,focused,focused,JJ,xxxx
57,on,on,IN,xx
58,driving,drive,VBG,xxxx
59,profitable,profitable,JJ,xxxx
60,growth,growth,NN,xxxx
61,",",",",",",","
62,which,which,WDT,xxxx
63,has,have,VBZ,xxx
64,resulted,result,VBN,xxxx
65,in,in,IN,xx
66,second,second,JJ,xxxx
67,quarter,quarter,NN,xxxx
68,and,and,CC,xxx
69,year,year,NN,xxxx
70,-,-,HYPH,-
71,to,to,IN,xx
72,-,-,HYPH,-
73,date,date,NN,xxxx
74,margin,margin,NN,xxxx
75,expansion,expansion,NN,xxxx
76,across,across,IN,xxxx
77,all,all,DT,xxx
78,of,of,IN,xx
79,our,-PRON-,PRP$,xxx
80,businesses,business,NNS,xxxx
81,"
","
",_SP,"
"
82,We,-PRON-,PRP,Xx
83,remain,remain,VBP,xxxx
84,on,on,IN,xx
85,track,track,NN,xxxx
86,for,for,IN,xxx
87,another,another,DT,xxxx
88,terrific,terrific,JJ,xxxx
89,year,year,NN,xxxx
90,"
","
",_SP,"
"
91,Based,base,VBN,Xxxxx
92,on,on,IN,xx
93,our,-PRON-,PRP$,xxx
94,solid,solid,JJ,xxxx
95,first,first,JJ,xxxx
96,half,half,JJ,xxxx
97,performance,performance,NN,xxxx
98,and,and,CC,xxx
99,our,-PRON-,PRP$,xxx
100,outlook,outlook,NN,xxxx
101,for,for,IN,xxx
102,the,the,DT,xxx
103,remainder,remainder,NN,xxxx
104,of,of,IN,xx
105,the,the,DT,xxx
106,year,year,NN,xxxx
107,",",",",",",","
108,we,-PRON-,PRP,xx
109,are,be,VBP,xxx
110,raising,raise,VBG,xxxx
111,the,the,DT,xxx
112,bottom,bottom,JJ,xxxx
113,end,end,NN,xxx
114,of,of,IN,xx
115,our,-PRON-,PRP$,xxx
116,full,full,JJ,xxxx
117,year,year,NN,xxxx
118,EPS,EPS,NNP,XXX
119,outlook,outlook,NN,xxxx
120,by,by,IN,xx
121,$,$,$,$
122,0.04,0.04,CD,d.dd
123,.,.,.,.
124,First,first,RB,Xxxxx
125,",",",",",",","
126,I,-PRON-,PRP,X
127,'d,would,MD,'x
128,like,like,VB,xxxx
129,to,to,TO,xx
130,spend,spend,VB,xxxx
131,some,some,DT,xxxx
132,time,time,NN,xxxx
133,in,in,IN,xx
134,our,-PRON-,PRP$,xxx
135,view,view,NN,xxxx
136,of,of,IN,xx
