,Sentences
0,"Thanks, Alison, and good morning"
1,"Alison has replaced Erin Linnihan, who is now reporting to me in a different capacity"
2,"Alison has had a distinguished 14-year career in the finance department, most recently as the Controller for Mission Systems"
3,We are pleased to have her here as our Staff VP for Investor Relations
4,"As to the quarter commentary, I will keep my remarks brief since this quarter's results are relatively straightforward, quite good, and the comparisons are generally attractive"
5,"We reported earnings per share of $2.48 on revenue somewhat in excess of $7.4 billion, operating earnings of slightly over $1 billion, and net earnings of $763 million"
6,EPS of $2.48 was $0.16 better than consensus
7,"We estimate that about $0.06 of that $0.16 was from operations in the form of higher than expected operating margins, offset modestly by somewhat lower than expected revenue"
8,"The remainder came from a lower effective tax rate, offset slightly by a somewhat higher than anticipated share count"
9,"With respect to cash, we had $533 million net cash provided by operating activities"
10,"After capital expenditure of $62 million, we had $471 million of free cash flow from operations, $56 million more than in the year-ago quarter"
11,"While our total backlog at $60.4 billion is down $1.8 billion from year-end figures, it remains quite robust"
12,It is also significant to observe that the important funded portion of that backlog grew by approximately $1.5 billion to $53.3 billion
13,An impressive 88.2% of our total backlog is funded
14,"The general comparisons quarter over quarter reflect, as you would expect, strong operating performance"
15,All of the comparisons I will give you are with reference to 2016 numbers as restated for the adoption of the new revenue recognition rules for this year
16,"So, compared to the first quarter of 2016, revenue was down $35 million, or 0.5%"
17,"However, our operating earnings were up $111 million or 12% over the prior year's quarter on the strength of a 150 basis point improvement in operating margin"
18,The operating margin in the quarter at 13.9% was particularly strong
19,"On a sequential basis, revenue was down $213 million or 2.8%"
20,"But again, operating earnings were up $267 million or 34.8% on a 390 basis point improvement in margin"
21,All of the foregoing is a reflection of very positive operating leverage
22,"Finally, EPS from continuing operations was up $0.40, up 19.2% over the year-ago quarter as a result a better operating earnings and a lower tax rate and share count"
23,"Let me provide some commentary and a little perspective around the results in each of our operating segments, first Aerospace"
24,"Revenue was up by $293 million compared to Q1 2016, about 16.5%, and up $249 million or 13.6% sequentially"
25,"Similarly, operating earnings were up $111 million or 33.4% against the year-ago quarter on a 280 basis point expansion in operating margin"
26,"Sequentially, operating earnings were up $169 million on a 640 basis point improvement in operating margin"
27,The sequential result needs to be understood in the context of the restated 2016 revenue and earnings resulting from the new revenue recognition rules
28,"In the fourth quarter, we had nine more green aircraft receive a certificate of airworthiness than we had final deliveries to customers"
29,This negatively impacted Q4 2016 as restated because the green deliveries were no longer recognized
30,"By the same token, we had four more entry-into-service deliveries in Q1 2017 than we had green aircraft receive a certificate of airworthiness"
31,That obviously helped the first quarter of 2017 and should help next quarter as well
32,Orders for the group were typical of a first quarter
33,"In the quarter, net earnings were $1.4 billion, and the dollar-based book-to-bill was 0.7."
34,This is consistent with what we have seen in the first quarter of 2012 through 2016.
35,"The Aerospace average booking for the first quarter over the last five years were $1.39 billion, a book-to-bill of about 0.7."
36,So it was a quarter with a lot of sales pipeline replenishment
37,It was part of the normal cycle after a strong fourth quarter
38,"In particular, we noted sharp increases in activity levels in Europe and improved activity in China"
39,I should also note that the activity has been good in April and has clearly shifted in favor of large-cabin
40,This is quite encouraging
41,"On the product development front, we anticipate a late-October completion of all flight test requirements for the G500."
42,This leads us to believe that FAA certification will follow within 60 days thereafter
43,"By the way, we are going to fly our third G600 test airplane today"
44,"Think about it this way: We are flying three test airplanes in the first 4.5 months since first flight, really quite remarkable"
45,"So we are off to a very good start in the Aerospace group, somewhat better than our guidance to you at the operating earnings level"
46,We expected a strong first quarter for the reasons we discussed with you at the beginning of the year
47,"However, the operating performance was better than expected"
48,Let me turn to the defense side of the business with Combat Systems
49,"Compared to the first quarter of 2016, sales were up $42 million or 3.4%, and operating earnings were up $18 million or 9.6% on a 90 basis point improvement in operating margin"
50,We had particularly strong performance on a quarter to
51,year-ago quarter basis from European Land Systems
52,"Sequentially, revenue was down $374 million, but operating earnings were down only $25 million on a 210 basis point improvement in operating margin"
53,"The sequential comparison is particularly difficult on a revenue basis because this group always has a very strong fourth quarter, largely related to contract deliveries at OTS and ELS"
54,"Also in the quarter, we largely completed the transition from engineering and prototype production on our two large international vehicle programs for Canada, the Mideast, and the U.K"
55,These programs will now enter full production and continue apace for the next several years
56,"Even given Combat's large backlog, they had nice order activity in the quarter, with a 0.7 times book-to-bill"
57,"All in all, extremely strong operating performance once again at Combat Systems"
58,"With respect to Information Systems and Technology, we experienced very good operating leverage in the quarter"
59,"While revenue was down $182 million or 7.8% against the year-ago quarter and down $125 million sequentially, operating earnings of $236 million were essentially flat with the year-ago quarter on the strength of an 80 basis point improvement in margin"
60,"On a sequential basis, operating earnings were up $5 million, once again on an 80 basis point improvement in operating margin"
61,These results are consistent with our guidance of an around 11% operating margin
