,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Alison,Alison,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,"
","
",_SP,"
"
8,Alison,Alison,NNP,Xxxxx
9,has,have,VBZ,xxx
10,replaced,replace,VBN,xxxx
11,Erin,Erin,NNP,Xxxx
12,Linnihan,Linnihan,NNP,Xxxxx
13,",",",",",",","
14,who,who,WP,xxx
15,is,be,VBZ,xx
16,now,now,RB,xxx
17,reporting,report,VBG,xxxx
18,to,to,IN,xx
19,me,-PRON-,PRP,xx
20,in,in,IN,xx
21,a,a,DT,x
22,different,different,JJ,xxxx
23,capacity,capacity,NN,xxxx
24,"
","
",_SP,"
"
25,Alison,Alison,NNP,Xxxxx
26,has,have,VBZ,xxx
27,had,have,VBN,xxx
28,a,a,DT,x
29,distinguished,distinguish,VBN,xxxx
30,14-year,14-year,CD,dd-xxxx
31,career,career,NN,xxxx
32,in,in,IN,xx
33,the,the,DT,xxx
34,finance,finance,NN,xxxx
35,department,department,NN,xxxx
36,",",",",",",","
37,most,most,RBS,xxxx
38,recently,recently,RB,xxxx
39,as,as,IN,xx
40,the,the,DT,xxx
41,Controller,Controller,NNP,Xxxxx
42,for,for,IN,xxx
43,Mission,Mission,NNP,Xxxxx
44,Systems,Systems,NNP,Xxxxx
45,"
","
",_SP,"
"
46,We,-PRON-,PRP,Xx
47,are,be,VBP,xxx
48,pleased,pleased,JJ,xxxx
49,to,to,TO,xx
50,have,have,VB,xxxx
51,her,-PRON-,PRP,xxx
52,here,here,RB,xxxx
53,as,as,IN,xx
54,our,-PRON-,PRP$,xxx
55,Staff,Staff,NNP,Xxxxx
56,VP,VP,NNP,XX
57,for,for,IN,xxx
58,Investor,Investor,NNP,Xxxxx
59,Relations,Relations,NNPS,Xxxxx
60,"
","
",_SP,"
"
61,As,as,IN,Xx
62,to,to,IN,xx
63,the,the,DT,xxx
64,quarter,quarter,NN,xxxx
65,commentary,commentary,NN,xxxx
66,",",",",",",","
67,I,-PRON-,PRP,X
68,will,will,MD,xxxx
69,keep,keep,VB,xxxx
70,my,-PRON-,PRP$,xx
