,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,everyone,everyone,NN,xxxx
3,and,and,CC,xxx
4,thank,thank,VBP,xxxx
5,you,-PRON-,PRP,xxx
6,for,for,IN,xxx
7,joining,join,VBG,xxxx
8,us,-PRON-,PRP,xx
9,"
","
",_SP,"
"
10,Even,even,RB,Xxxx
11,though,though,IN,xxxx
12,our,-PRON-,PRP$,xxx
13,underlying,underlying,JJ,xxxx
14,operations,operation,NNS,xxxx
15,performed,perform,VBN,xxxx
16,is,be,VBZ,xx
17,expected,expect,VBN,xxxx
18,",",",",",",","
19,given,give,VBN,xxxx
20,the,the,DT,xxx
21,number,number,NN,xxxx
22,and,and,CC,xxx
23,the,the,DT,xxx
24,size,size,NN,xxxx
25,of,of,IN,xx
26,several,several,JJ,xxxx
27,fourth,fourth,JJ,xxxx
28,quarter,quarter,NN,xxxx
29,adjustments,adjustment,NNS,xxxx
30,",",",",",",","
31,I,-PRON-,PRP,X
32,thought,think,VBD,xxxx
33,the,the,DT,xxx
34,need,need,NN,xxxx
35,to,to,TO,xx
36,discuss,discuss,VB,xxxx
37,them,-PRON-,PRP,xxxx
38,more,more,RBR,xxxx
39,in,in,IN,xx
40,open,open,JJ,xxxx
41,detail,detail,NN,xxxx
42,"
","
",_SP,"
"
43,As,as,IN,Xx
44,Laura,Laura,NNP,Xxxxx
45,mentioned,mention,VBD,xxxx
46,",",",",",",","
47,Ron,Ron,NNP,Xxx
48,will,will,MD,xxxx
49,cover,cover,VB,xxxx
50,several,several,JJ,xxxx
51,of,of,IN,xx
52,the,the,DT,xxx
53,accounting,accounting,NN,xxxx
54,adjustments,adjustment,NNS,xxxx
55,as,as,RB,xx
56,well,well,RB,xxxx
57,but,but,CC,xxx
58,before,before,IN,xxxx
59,we,-PRON-,PRP,xx
60,do,do,VBP,xx
61,that,that,DT,xxxx
62,",",",",",",","
63,I,-PRON-,PRP,X
64,would,would,MD,xxxx
65,like,like,VB,xxxx
66,to,to,TO,xx
67,share,share,VB,xxxx
68,my,-PRON-,PRP$,xx
69,thoughts,thought,NNS,xxxx
70,on,on,IN,xx
71,the,the,DT,xxx
72,performance,performance,NN,xxxx
73,of,of,IN,xx
74,the,the,DT,xxx
75,business,business,NN,xxxx
76,for,for,IN,xxx
77,the,the,DT,xxx
78,quarter,quarter,NN,xxxx
79,"
","
",_SP,"
"
80,The,the,DT,Xxx
81,fourth,fourth,JJ,xxxx
82,quarter,quarter,NN,xxxx
83,was,be,VBD,xxx
84,operationally,operationally,RB,xxxx
85,in,in,IN,xx
86,line,line,NN,xxxx
87,with,with,IN,xxxx
88,the,the,DT,xxx
89,expectations,expectation,NNS,xxxx
90,we,-PRON-,PRP,xx
91,shared,share,VBD,xxxx
92,in,in,IN,xx
93,November,November,NNP,Xxxxx
94,at,at,IN,xx
95,our,-PRON-,PRP$,xxx
96,Analyst,Analyst,NNP,Xxxxx
97,Day,Day,NNP,Xxx
98,",",",",",",","
99,both,both,CC,xxxx
100,from,from,IN,xxxx
101,a,a,DT,x
102,sales,sale,NNS,xxxx
103,and,and,CC,xxx
104,an,an,DT,xx
105,earnings,earning,NNS,xxxx
106,perspective,perspective,NN,xxxx
107,"
","
",_SP,"
"
108,Our,-PRON-,PRP$,Xxx
109,US,US,NNP,XX
110,business,business,NN,xxxx
111,performed,perform,VBD,xxxx
112,slightly,slightly,RB,xxxx
113,better,well,JJR,xxxx
114,than,than,IN,xxxx
115,expected,expect,VBN,xxxx
116,given,give,VBN,xxxx
117,stronger,strong,JJR,xxxx
118,sales,sale,NNS,xxxx
119,performance,performance,NN,xxxx
120,in,in,IN,xx
121,December,December,NNP,Xxxxx
122,in,in,IN,xx
123,solid,solid,JJ,xxxx
124,expense,expense,NN,xxxx
125,management,management,NN,xxxx
126,"
","
",_SP,"
"
127,Our,-PRON-,PRP$,Xxx
128,business,business,NN,xxxx
129,in,in,IN,xx
130,Canada,Canada,NNP,Xxxxx
131,was,be,VBD,xxx
132,still,still,RB,xxxx
133,underperforming,underperform,VBG,xxxx
134,is,be,VBZ,xx
135,making,make,VBG,xxxx
136,progress,progress,NN,xxxx
137,and,and,CC,xxx
138,also,also,RB,xxxx
139,met,meet,VBD,xxx
140,our,-PRON-,PRP$,xxx
141,expectations,expectation,NNS,xxxx
142,for,for,IN,xxx
143,the,the,DT,xxx
144,quarter,quarter,NN,xxxx
145,with,with,IN,xxxx
146,better,better,RBR,xxxx
147,than,than,IN,xxxx
148,expected,expect,VBN,xxxx
149,sales,sale,NNS,xxxx
150,performance,performance,NN,xxxx
151,in,in,IN,xx
152,the,the,DT,xxx
153,month,month,NN,xxxx
154,of,of,IN,xx
155,December,December,NNP,Xxxxx
156,"
","
",_SP,"
"
157,Both,both,DT,Xxxx
158,the,the,DT,xxx
159,US,US,NNP,XX
160,and,and,CC,xxx
161,Canada,Canada,NNP,Xxxxx
162,exceeded,exceed,VBD,xxxx
