,Sentences
0,"Thanks, Laura"
1,"So this quarter was about staying focused on creating value for customers, while executing our pricing initiatives in the U.S"
2,and improving the economics of the portfolio
3,"Before I go into detail on these activities, Iâ€™ll discuss overall company results"
4,Weâ€™
5,"ll start with our reported results on page â€“ on Slide 4, which were significantly impacted by restructuring"
6,"We began winding down the Columbia business in the quarter, which resulted in restructuring charges of $42 million"
7,This business has struggled with sustaining profitability and we are moving quickly to ensure we have businesses with competitive advantage and strong returns in the portfolio
8,"In the quarter, we also took steps to transform our Canadian business"
9,"We announced the closure of 59 branches and eliminated poorly performing assets, resulting in $20 million in restructuring for the quarter"
10,Iâ€™ll discuss Canada in more detail in a few minutes
11,"This morningâ€™s call will focus on adjusted results, which exclude items outlined on page two of our press release"
12,"So turning to our adjusted results, our adjusted results were in line with expectations"
13,Total company sales were up 2%
14,"Volume for the company was up a healthy 7%, as many end market strengthened and our pricing actions started to take hold"
15,Price was down 3% as expected and consistent with the first quarter
16,Gross profit declined 110 basis points in line with expectations that we had discussed in April
17,And we continue to get operating expense leverage on higher volume as operating expense as a percentage of cost
18,was 50 basis points better than last year
19,Let me start with our other businesses
20,"For our other businesses, which include our online model and our international businesses, sales were up a 11%"
21,That included a 3% headwind from currency largely due to the British pound
22,"The online businesses, which include Zoro in the U.S"
23,and MonotaRO in Japan continued to deliver strong sales growth of 23% and expanded operating margins 50 basis points in the quarter
24,"The other businesses operating margin decline was largely driven by lower than expected performance in the UK, due to economic conditions and the devaluation of the pound related to Brexit"
25,"We also completed the supply chain initiatives in Cromwell, which enable us to improve service and the cost structure of that business going forward"
26,But those changes impacted H1 results in Cromwell
27,"Mexico, Fabory and China make up the bulk of the rest of the international portfolio and all of those showed nice growth during the quarter"
28,"In Canada, we saw sales declined 3%, but sales were up 2% in local currency"
29,We see trends improving in Canada and we continue to manage expenses resulting in improved performance and a smaller loss than last year
30,"As I previously mentioned, we are closing 59 of 144 branches in Canada"
31,"To be clear, we are in the midst of a substantial transformation in the business"
32,This business has scale and should be quite profitable
33,Weâ€™re still on track to exit 2017 in a break-even run rate
34,We will discuss our longer-term aspirations for the business as we move through the balance of the year
35,", the U.S"
36,business performance in the quarter was heavily influenced by our pricing actions
37,"Sales were up 1 for 7, 1%, which is driven by â€“ which was a result of strong volume growth of 5% and price deflation of 4%"
38,"For those of you who look at the EPG documents, youâ€™ll notice that for large customers, our volume went down slightly, that was all driven by government performance, which slowed in June and affected our results"
39,The slowdown was really driven by government spending delayed in local and state budgets and in federal civilian funding
40,"Other than that, we saw continued good trends in terms of volume"
41,Operating expenses in the U.S
42,"were up 2%, again demonstrating leverage and volume growth of 5%"
43,"Operating margin declined 160 basis points, driven by the gross profit impact of our pricing actions"
44,"Other operating metrics around service, competitive position continue to be strong in the U.S"
45,"team is focused on executing the price changes and selling the value that we provide to customers through our onsite services, advantage fulfillments and focus on saving customers time and money"
46,So I want to take a little closer look at the volume response to our pricing actions in the quarter
47,I would point out a few things
48,"First, we are seeing positive signs, where we want to see positive signs, most notably reversing trends with midsize customer volume and large customer spot buy volume"
49,This is critical to moving from an unfavorable customer mix to a favorable mix over time
50,"Second, we are hearing very positive comments or more customer groups about the changes we are making"
51,"Customers recognize that we still have a premium price, with that we will be more competitive"
52,That makes sense to customers given the value that we provide
53,"Finally, these results are up, small volumes in some cases, but our margin of volumes give us a lot of confidence in the path weâ€™re on"
54,We continue to get more comfortable with the fact that these changes are working
55,Our midsized customer volume continue to excel â€
56,“ accelerate throughout the quarter
57,"Now about 50% of our midsized customer volume is on a more competitive pricing, and the midsized customer volume was positive for the quarter for the first time in more than five years"
58,"With larger customers, we see more volume coming through without discounts"
59,"These prices are lower than before the changes, but this volume is important to support the profitability of the business going forward"
60,We are continuing to renegotiate our large customer contracts and we are ready to go for August 1.
61,"The vast majority of the contracts will be renegotiated by August 1, and the remainder will fall in normal renewal cycles"
62,"As a reminder, the actions on August 1 result in all prices for all customers being more competitive"
63,"This will speed up customer retention efforts, accelerate the acquisition of new customers as we accelerate marketing spend and simplify our pricing to make it much easier for customers to understand"
64,These actions are critical to achieving our 2019 operating margin objectives
65,Turning to expenses as a key component to achieving our 2019 goals is expense management
66,"As a reminder, in the second quarter, we announced that we would take out $100 million to $125 million of costs by 2019, $80 million to $95 million of that net of marking â€“ marketing investment will come out of the U.S"
67,business and in corporate
68,Weâ€™ve already identified approximately 75% [ph] of the actions and much of that work is underway
69,We will share more information as we announce actions internally
70,"In Canada, we announced $20 million to $30 million of cost takeout largely driven by the closure of the 59 branches that I mentioned earlier"
71,Taking a closer look at the U.S
72,"from 2017 to 2019, weâ€™re assuming annual volume growth of 6% to 8%, resulting in incremental volume variable expense of approximately $60 million to $90 million"
73,Weâ€™
74,"re expecting inflationary expenses of approximately $80 million to $90 million â€“ $80 million to $85 million, which is about 2% of the base annually, and thatâ€™s going to be partially offset by cost takeout of $80 million to $95 million net of the marketing investment"
75,These actions result in significant operating expense leverage as we continue to focus on improving the customer experience and driving productivity and profitable growth
76,"Given what weâ€™ve seen so far with the pricing actions and the impact in gross profit, these expense reductions result in operating earnings aligned with the 2019 objectives we discussed last November and in April"
77,Turning to guidance
78,Weâ€™re reiterating our 2017 adjusted guidance issued in April
79,Q2 performance was as expected
80,and we anticipate continued positive response to our pricing actions in the second-half of the year
