,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Michael,Michael,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,"
","
",_SP,"
"
8,Overall,overall,RB,Xxxxx
9,",",",",",",","
10,we,-PRON-,PRP,xx
11,'re,be,VBP,'xx
12,off,off,IN,xxx
13,to,to,IN,xx
14,a,a,DT,x
15,good,good,JJ,xxxx
16,start,start,NN,xxxx
17,in,in,IN,xx
18,2017,2017,CD,dddd
19,.,.,.,.
20,Organic,organic,JJ,Xxxxx
21,growth,growth,NN,xxxx
22,improved,improve,VBD,xxxx
23,to,to,IN,xx
24,3.5,3.5,CD,d.d
25,%,%,NN,%
26,in,in,IN,xx
27,Q1,Q1,NNP,Xd
28,due,due,IN,xxx
29,to,to,IN,xx
30,a,a,DT,x
31,combination,combination,NN,xxxx
32,of,of,IN,xx
33,improving,improve,VBG,xxxx
34,end,end,NN,xxx
35,market,market,NN,xxxx
36,conditions,condition,NNS,xxxx
37,in,in,IN,xx
38,our,-PRON-,PRP$,xxx
39,Welding,Welding,NNP,Xxxxx
40,and,and,CC,xxx
41,Test,Test,NNP,Xxxx
42,&,&,CC,&
43,Measurement,Measurement,NNP,Xxxxx
44,and,and,CC,xxx
45,Electronics,Electronics,NNP,Xxxxx
46,segments,segment,NNS,xxxx
47,and,and,CC,xxx
48,continued,continue,VBN,xxxx
49,progress,progress,NN,xxxx
50,on,on,IN,xx
51,our,-PRON-,PRP$,xxx
52,pivot,pivot,NN,xxxx
53,to,to,IN,xx
54,growth,growth,NN,xxxx
55,efforts,effort,NNS,xxxx
56,across,across,IN,xxxx
57,all,all,DT,xxx
58,seven,seven,CD,xxxx
59,of,of,IN,xx
60,our,-PRON-,PRP$,xxx
61,segments,segment,NNS,xxxx
62,"
","
",_SP,"
"
63,We,-PRON-,PRP,Xx
64,were,be,VBD,xxxx
65,able,able,JJ,xxxx
66,to,to,TO,xx
67,leverage,leverage,VB,xxxx
68,this,this,DT,xxxx
69,improving,improve,VBG,xxxx
70,organic,organic,JJ,xxxx
71,growth,growth,NN,xxxx
72,performance,performance,NN,xxxx
