,Sentences
0,"Thanks, Michael, and good morning, all"
1,"In the third quarter, the ITW team continued to execute at a very high level and as a result, delivered another quarter of strong financial results"
2,"Q3 earnings were $1.85 per share, which includes a $0.14 per share benefit from a favorable legal settlement that Michael will discuss shortly"
3,"Excluding the impact of this legal settlement, earnings per share increased 14% year-on-year, and operating margins increased 130 basis points to 24.4%, with Enterprise Initiatives contributing 110 basis points of improvement"
4,"In addition, we continue to make good headway on organic growth acceleration with continued progress on our organic growth initiatives across all seven of our segments"
5,"Year-to-date, our organic growth rate of 2.7% is more than double last year's rate despite the fact that two of our fastest-growing segments, Auto OEM and Food Equipment, are experiencing a little bit of market softness"
6,"Based on our solid Q3 results and a fairly stable near-term end market demand environment; we are increasing our full year EPS guidance as we now expect to grow full year earnings by 14% at the midpoint, and that's excluding the 17% per share full year benefit from the legal settlement"
7,"Overall, we continue to be very pleased with the progress we are making in leveraging ITW's differentiated business model and high-quality diversified business portfolio to deliver consistent top tier performance"
8,We look forward to updating you on our strategy and long-term performance goals at our Annual Investor Day on December 1.
9,"With that, I'll turn the call over to Michael, who will provide you with more detail regarding our Q3 performance and 2017 forecast"
10,Hey Andy
11,"Well, I think overall, what I would say is we certainly are getting much better balanc across the portfolio"
12,"Keep in mind that there is â€“ and this is just repeating something you already know, but there has been an intense focus on a lot of the restructuring initiatives going on inside the company related to our Enterprise Initiatives"
13,"85 divisions across the company all starting to make this pivot, all of them in various â€"
14,“ in different stages in terms of making that turn
15,But I think the encouraging part in terms of what we see is that we're getting better balance across the portfolio
16,All seven of our businesses are improving in terms of their year-on-year organic growth rate
17,But it's not a matter of just simply flipping the switch
18,"It is a matter of making a progress on the things that they're focused on internally and then making the shift in terms of the relative balance of effort, energy, attention and investment around growth initiatives"
19,And those are all transitioning across again 85 different divisions across the company
20,"So, I think as we look in terms of our progress to date, I think Michael talked about it"
21,", I think our â€“ the fact that we've been able to get the organic growth rate up better than a full percentage point this year relative to last year with the two businesses that were generating the fastest organic growth for us being in -- experiencing some challenging near-term market conditions, I think, overall feels pretty good"
22,"And certainly, understanding what's going on inside these businesses and the kind of progress they're making in terms of this turn, I think we're set up well for another -- we'll talk about 2018 in December so we won't get ahead of ourselves, but we expect continued progress in 2018."
23,"Yes, I feel confident that our -- we'll be able to make another step change improvement in overall organic growth rate in 2018 relative to 2017."
24,"I think for Food Equipment, first, Nigel, I would expect a growth rate in Q4 on a year-over-year basis that is similar to what we just had here in Q3, maybe a little bit better than Q3 based on current run rates"
25,"I think for the Automotive business, the organic growth rate in Q4, on a year-over-year basis based on current run rates should be slightly better than Q3 and also factoring in the forecast from IHS that I just went through"
26,"So, if you look at in Q4, North America is down less than it was in Q4 and the Detroit 3 are down less in Q4 than they were in Q3."
27,"So, both those businesses should be in line with Q3, maybe a little bit better on a year-over-year basis in Q4."
