,Sentences
0,Please go to slide number 6.
1,I'd like to begin with a summary of main points to take away from today's call
2,"As Mike discussed, 2016 was a very strong year for Ingersoll-Rand and marked another year of continued top tier performance on free cash flow, organic revenue growth, operating margin improvement and earnings per share growth"
3,"While we recognize the fourth quarter contained more one-offs and noise than any of us would have liked and distorted our fourth quarter earnings report, fundamentally, it was still a strong quarter for the company relative to our core businesses"
4,There shouldn't be any significant read through to our go-forward results
5,"Free cash flow was more than $350 million in the quarter, bringing our 2016 free cash flow to $1.35 billion, which is up 37% versus 2015 or more than 120% of our adjusted net income"
6,"From a segment perspective, the combined Climate and Industrial segments' adjusted operating income results were solid and a bit better than our expectations for the quarter"
7,"Our bookings performance was very strong, with commercial and residential HVAC leading the way, with both at low teens growth"
8,Residential revenues increased low teens
9,Operating margins also expanded in both businesses
10,We were pleased with our Industrial business performance which showed slow but steady adjusted margin improvement after hitting a low in the first quarter
11,"We continued to take additional actions on operational excellence initiatives, increased commercial focus on aftermarket parts and service offerings, and took additional cost reduction activities to improve operating results going forward"
12,"EPS in the quarter was negatively impacted by discrete items in G&A, negative other operating income and taxes, as I'll discuss on the next slide"
13,Please go to slide 7.
14,We've provided a bridge from the fourth quarter guidance range we provided on our Q3 earnings call to our actual Q4 results
15,"As I noted earlier, our segment operating performance was in line with our expectations, actually about $0.01 better"
16,"We incurred higher than expected corporate costs, primarily due to stock based and other incentive based compensation, given our strong cash flow performance and stock performance in 2016 and from increased information technology, infrastructure and security expenditures"
17,These items combined for a negative impact of about $0.04.
18,We expect our corporate G&A expenses to come back down to a more normalized run rate of about $60 million per quarter in 2017.
19,"We also incurred higher than expected non-operating cost as a result of foreign exchange losses related to the balance sheet, given the strengthening of the US dollar, which had a non-cash impact of $0.01."
20,"Lastly, we had a higher than expected mix of earnings from high tax jurisdictions which impacted us by about $0.03."
21,"While this was a significant negative in the fourth quarter, our adjusted tax rate for the year of 21.4% was on the low side of the 21% to 22% range we updated on our second quarter call"
22,I feel good about the effective tax rate
23,"And more importantly, we expect the rate to remain in the 21% to 22% range for 2017 as well"
24,Please go to slide number 8.
25,"Top-line organic growth of 2% was solid, highlighted by our North America HVAC businesses"
26,"Operating margins and adjusted operating income plus depreciation and amortization were both down, primarily driven by Industrial segment margin declines and the higher than expected costs we previously discussed"
27,Please go to slide 9.
28,"Organic orders were very strong in the fourth quarter, up 7%, led by our Climate segment and partially offset by modest declines in our Industrial segment"
29,Climate bookings were up in every region in business globally and up 10% overall
30,"Organic commercial HVAC bookings were up low teens in equipment, with strong results from both unitary and applied products"
31,"We also continued to drive excellent growth in service, controls and contracting with low teens growth in the quarter"
32,"Residential bookings continued to be exceptional, up low teens"
33,"Organic transport orders were up mid single digits, primarily driven by growth in Europe, partially offset by declines in marine equipment and auxiliary power units"
34,We also had mid single digit increase in North America trailer orders in the fourth quarter
35,"On balance, the Industrial businesses bookings were flat to down slightly in the quarter, reflecting some stabilization in end markets"
36,Please go to slide number 10.
37,This slide provides a directional view of our segment revenue performance by region
38,"In our Climate segment, revenue was strong in North America, flat in Asia and down in Europe, Middle East and Africa and Latin America"
39,"In our Industrial segment, overall performance was down low single digits, primarily due to difficult comparisons with 2015 on large air compressor shipments in North America and Europe, Middle East and Africa"
40,Revenues improved in Latin America and Asia
41,"Overall, North America revenues were up mid single digits and international revenues were down mid single digits, netting a positive 2% organic revenue growth rate for the enterprise"
42,Please go to slide number 11.
43,"Q4 operating margin declined 50 basis points, primarily due to headwinds resulting from material inflation in steel and higher corporate costs in the quarter"
44,"On a year over year basis, lower Industrial margins also contributed to the decline"
45,Volume and mix was positive in the quarter
46,Please go to slide number 12.
47,Overall Climate performance was strong in the quarter with organic revenues up 4% and adjusted operating margins up 70 basis points to 13.6%
48,"Strong revenue growth in both commercial and residential HVAC was partially offset by transport revenues, which were down mid single digits in the quarter, primarily due to weak auxiliary power unit and marine markets partially offset by growth in aftermarket and in Asia"
49,Climate operating margins expanded 70 basis points year over year
50,"Favorable volume, mix and productivity was partially offset by material inflation headwinds and continued investments in the business"
51,Please go to slide 13.
52,"Fourth quarter industrial margins declined by 220 basis points compared with 2015, while organic revenues declined 3%"
53,Revenues were down mid single digits in compressors with growth in aftermarket
54,"Other industrial products were down by high single digits with material handling showing the largest decline, more than 50%, owing to its significant oil and gas exposure"
55,Small electric vehicles were up slightly in the quarter from growth in golf
56,"Industrial's operating margin of 10.5% was down 220 basis points versus the prior year, but in line or slightly ahead of our expectations for the quarter"
57,"Looking forward, we expect margins to improve in 2017, given ongoing margin improvement actions, although we do expect some quarterly variability due to cyclicality"
58,Please go to slide 14.
59,Excellent full year
60,2016 free cash flow of $1.3 billion improved 37% versus the prior year and was over 120% of net income
61,Strong operating income and working capital improvement were the primary drivers of the improvement
62,"For the quarter, working capital as a percentage of revenue was 3.4% versus our 2016 goal of 4% and improved 80 basis points versus 2015."
63,We have a proud history returning cash to shareholders
64,"Since 2011, our free cash flow as a percentage of net income has averaged 100%"
65,"Over the same timeframe, we've returned more than $6.5 billion in cash to shareholders through dividends of $1.5 billion and share buybacks of $5.1 billion"
66,Please go to slide 15.
67,"Our strong cash performance in 2016 will enable us to, one, invest in our business as our number one priority"
68,These include investments in innovation and in strategic growth programs as Mike outlined earlier
69,"In addition to the core strategic investments, we're also investing in long-term growth through innovative and differentiated products in areas such as wireless, controls for buildings as a resource, intelligent monitoring and self-healing systems, just to name a few"
