,Word,Lemma,POSTag,Shape
0,Please,please,UH,Xxxxx
1,go,go,VB,xx
2,to,to,TO,xx
3,slide,slide,VB,xxxx
4,number,number,NN,xxxx
5,6,6,CD,d
6,.,.,.,.
7,I,-PRON-,PRP,X
8,'d,would,MD,'x
9,like,like,VB,xxxx
10,to,to,TO,xx
11,begin,begin,VB,xxxx
12,with,with,IN,xxxx
13,a,a,DT,x
14,summary,summary,NN,xxxx
15,of,of,IN,xx
16,main,main,JJ,xxxx
17,points,point,NNS,xxxx
18,to,to,TO,xx
19,take,take,VB,xxxx
20,away,away,RB,xxxx
21,from,from,IN,xxxx
22,today,today,NN,xxxx
23,'s,'s,POS,'x
24,call,call,NN,xxxx
25,"
","
",_SP,"
"
26,As,as,IN,Xx
27,Mike,Mike,NNP,Xxxx
28,discussed,discuss,VBD,xxxx
29,",",",",",",","
30,2016,2016,CD,dddd
31,was,be,VBD,xxx
32,a,a,DT,x
33,very,very,RB,xxxx
34,strong,strong,JJ,xxxx
35,year,year,NN,xxxx
36,for,for,IN,xxx
37,Ingersoll,Ingersoll,NNP,Xxxxx
38,-,-,HYPH,-
39,Rand,Rand,NNP,Xxxx
40,and,and,CC,xxx
41,marked,mark,VBD,xxxx
42,another,another,DT,xxxx
43,year,year,NN,xxxx
44,of,of,IN,xx
45,continued,continue,VBN,xxxx
46,top,top,JJ,xxx
47,tier,tier,NN,xxxx
48,performance,performance,NN,xxxx
49,on,on,IN,xx
50,free,free,JJ,xxxx
51,cash,cash,NN,xxxx
52,flow,flow,NN,xxxx
53,",",",",",",","
54,organic,organic,JJ,xxxx
55,revenue,revenue,NN,xxxx
56,growth,growth,NN,xxxx
57,",",",",",",","
58,operating,operate,VBG,xxxx
59,margin,margin,NN,xxxx
60,improvement,improvement,NN,xxxx
61,and,and,CC,xxx
62,earnings,earning,NNS,xxxx
63,per,per,IN,xxx
64,share,share,NN,xxxx
65,growth,growth,NN,xxxx
66,"
","
",_SP,"
"
67,While,while,IN,Xxxxx
68,we,-PRON-,PRP,xx
69,recognize,recognize,VBP,xxxx
70,the,the,DT,xxx
71,fourth,fourth,JJ,xxxx
72,quarter,quarter,NN,xxxx
73,contained,contain,VBD,xxxx
74,more,more,JJR,xxxx
75,one,one,CD,xxx
76,-,-,HYPH,-
77,offs,off,NNS,xxxx
78,and,and,CC,xxx
79,noise,noise,NN,xxxx
80,than,than,IN,xxxx
81,any,any,DT,xxx
82,of,of,IN,xx
83,us,-PRON-,PRP,xx
84,would,would,MD,xxxx
85,have,have,VB,xxxx
86,liked,like,VBN,xxxx
87,and,and,CC,xxx
88,distorted,distort,VBN,xxxx
89,our,-PRON-,PRP$,xxx
90,fourth,fourth,JJ,xxxx
91,quarter,quarter,NN,xxxx
92,earnings,earning,NNS,xxxx
93,report,report,NN,xxxx
94,",",",",",",","
95,fundamentally,fundamentally,RB,xxxx
96,",",",",",",","
97,it,-PRON-,PRP,xx
98,was,be,VBD,xxx
99,still,still,RB,xxxx
100,a,a,DT,x
101,strong,strong,JJ,xxxx
102,quarter,quarter,NN,xxxx
103,for,for,IN,xxx
104,the,the,DT,xxx
105,company,company,NN,xxxx
106,relative,relative,JJ,xxxx
107,to,to,IN,xx
108,our,-PRON-,PRP$,xxx
109,core,core,NN,xxxx
110,businesses,business,NNS,xxxx
111,"
","
",_SP,"
"
112,There,there,EX,Xxxxx
113,should,should,MD,xxxx
114,n't,not,RB,x'x
115,be,be,VB,xx
116,any,any,DT,xxx
117,significant,significant,JJ,xxxx
118,read,read,NN,xxxx
119,through,through,RP,xxxx
120,to,to,IN,xx
121,our,-PRON-,PRP$,xxx
122,go,go,VB,xx
123,-,-,HYPH,-
124,forward,forward,NN,xxxx
125,results,result,NNS,xxxx
126,"
","
",_SP,"
"
127,Free,free,JJ,Xxxx
128,cash,cash,NN,xxxx
129,flow,flow,NN,xxxx
130,was,be,VBD,xxx
131,more,more,JJR,xxxx
132,than,than,IN,xxxx
133,$,$,$,$
134,350,350,CD,ddd
135,million,million,CD,xxxx
136,in,in,IN,xx
137,the,the,DT,xxx
138,quarter,quarter,NN,xxxx
139,",",",",",",","
140,bringing,bring,VBG,xxxx
141,our,-PRON-,PRP$,xxx
142,2016,2016,CD,dddd
143,free,free,JJ,xxxx
144,cash,cash,NN,xxxx
145,flow,flow,NN,xxxx
146,to,to,IN,xx
147,$,$,$,$
148,1.35,1.35,CD,d.dd
149,billion,billion,CD,xxxx
150,",",",",",",","
151,which,which,WDT,xxxx
152,is,be,VBZ,xx
153,up,up,RB,xx
154,37,37,CD,dd
155,%,%,NN,%
156,versus,versus,IN,xxxx
157,2015,2015,CD,dddd
158,or,or,CC,xx
159,more,more,JJR,xxxx
160,than,than,IN,xxxx
161,120,120,CD,ddd
162,%,%,NN,%
163,of,of,IN,xx
164,our,-PRON-,PRP$,xxx
165,adjusted,adjust,VBN,xxxx
166,net,net,JJ,xxx
167,income,income,NN,xxxx
168,"
","
",_SP,"
"
169,From,from,IN,Xxxx
170,a,a,DT,x
171,segment,segment,NN,xxxx
172,perspective,perspective,NN,xxxx
173,",",",",",",","
174,the,the,DT,xxx
175,combined,combine,VBN,xxxx
176,Climate,Climate,NNP,Xxxxx
177,and,and,CC,xxx
178,Industrial,Industrial,NNP,Xxxxx
179,segments,segment,NNS,xxxx
180,',',POS,'
181,adjusted,adjusted,JJ,xxxx
182,operating,operating,NN,xxxx
183,income,income,NN,xxxx
184,results,result,NNS,xxxx
185,were,be,VBD,xxxx
186,solid,solid,JJ,xxxx
187,and,and,CC,xxx
188,a,a,DT,x
189,bit,bit,NN,xxx
190,better,better,RBR,xxxx
191,than,than,IN,xxxx
192,our,-PRON-,PRP$,xxx
193,expectations,expectation,NNS,xxxx
194,for,for,IN,xxx
195,the,the,DT,xxx
196,quarter,quarter,NN,xxxx
197,"
","
",_SP,"
"
198,Our,-PRON-,PRP$,Xxx
199,bookings,booking,NNS,xxxx
200,performance,performance,NN,xxxx
201,was,be,VBD,xxx
202,very,very,RB,xxxx
203,strong,strong,JJ,xxxx
204,",",",",",",","
205,with,with,IN,xxxx
206,commercial,commercial,JJ,xxxx
207,and,and,CC,xxx
208,residential,residential,JJ,xxxx
209,HVAC,HVAC,NNP,XXXX
210,leading,lead,VBG,xxxx
211,the,the,DT,xxx
212,way,way,NN,xxx
213,",",",",",",","
214,with,with,IN,xxxx
215,both,both,CC,xxxx
216,at,at,IN,xx
217,low,low,JJ,xxx
218,teens,teen,NNS,xxxx
219,growth,growth,NN,xxxx
220,"
","
",_SP,"
"
221,Residential,residential,JJ,Xxxxx
222,revenues,revenue,NNS,xxxx
223,increased,increase,VBD,xxxx
224,low,low,JJ,xxx
225,teens,teen,NNS,xxxx
226,"
","
",_SP,"
"
227,Operating,operate,VBG,Xxxxx
228,margins,margin,NNS,xxxx
229,also,also,RB,xxxx
230,expanded,expand,VBD,xxxx
231,in,in,IN,xx
232,both,both,DT,xxxx
233,businesses,business,NNS,xxxx
234,"
","
",_SP,"
"
235,We,-PRON-,PRP,Xx
236,were,be,VBD,xxxx
237,pleased,pleased,JJ,xxxx
238,with,with,IN,xxxx
