,Sentences
0,Good morning
1,"So for the first time, we will be reporting Corporate as a standalone segment"
2,I think this provides a bit more transparency to the true underlying EBITA performance of our businesses
3,"This segment is really comprised of enterprise-wide costs like executive management costs, public company costs, and other functional administrative costs that really aren't directly attributable to our primary businesses"
4,"Our Corporate segment expense did decrease 12% year over year, and this was primarily due to some of the productivity initiatives and the merger synergies that we had identified as part of the planning process last year, and both were a bit better than expected in the quarter"
5,"If I turn to slide 13, there are a lot of moving pieces in this quarter relative to the special items and also the fact that Adient is for the first time reported as a discontinued operation"
6,"Given the size of some of the special items, let me just briefly comment on each of those, the first being transaction, integration, and separation costs associated with our portfolio activities"
7,"That was roughly $134 million, and the way to think about that is about half of it is transaction-related and half of it is integration-related"
8,We had a restructuring and impairment charge for $78 million
9,The majority of that would be severance-related
10,We had a lump sum pension buyout in the first quarter
11,"And as a result of that, which was done in connection with the Adient spinoff, there's a requirement to go through a remeasurement of the liability and assets in the first quarter"
12,And that resulted actually in a $117 million gain in Q1.
13,We had some non-recurring purchase accounting expenses that Antonella referred to
14,"The two primary areas there are the inventory step-up amortization, which is now fully behind us at the end of Q1."
15,"And also, we continue to amortize the backlog asset that was set up as part of purchase accounting"
16,"And then lastly, there was a discrete tax benefit related to some planning in our foreign entities that resulted in a $101 million benefit"
17,"The net of all that is a $0.14 charge, which when added to the $0.39 reported gets to the $0.53 that we've been talking about this morning"
18,"So, as I go through my comments, I will exclude these special items and also the comparison will be the pro forma combined financials that we put out on fiscal 2016 in the November 8-K that we filed"
19,"So, overall first quarter revenues were up slightly at $7.1 billion"
20,"If you exclude FX, lead, and M&A activity, organic sales were up 1%"
21,"Gross margin was constant at 31.2% and SG&A was down 3%, which was reflective of the cost reduction initiatives that we have across our business and the merger synergies"
22,"If you move to equity income of $55 million, it was 20% higher than year-ago levels, again related primarily to the strong Hitachi year-over-year performance"
23,"And then as Alex mentioned, for the first quarter we delivered double-digit segment EBIT growth, and we had EBIT margins of 10.7% which were 90 basis points better than the first quarter of 2016 and again both of those exceeded our expectations for the quarter"
24,"If we turn to page 14, net financing charges were $119 million which were slightly higher than last year, and our effective tax rate as we communicated on Analyst Day was at 15%, which compares favorably to last year's rate of 17%"
25,"Hitachi continues to perform well and that is also the reason for the increase to $40 million in the minority interest add back line item on the income statement, it's up $11 million year over year"
26,And then overall we had a really strong first quarter with diluted EPS of $0.53 versus $0.48 a year ago
27,And our business unit management team really continue to deliver strong results during this period of transformation and the level of integration activity that's going on across our company
28,"So turning to cash flow on slide 15, our first quarter adjusted cash flow was an outflow of $300 million"
29,"As mentioned at Analyst Day, there are a number of one-time expected payments that we realized in the first quarter"
30,The most notable is the $1.2 billion tax payment we made related to the Adient spin-off
31,We also had some other items related to Adient's cash outflow for the quarter of $300 million
32,"and then we had some restructuring and change control payments of $300 million and transaction, integration and separation costs of a couple of hundred million which would include Adient"
33,"So, Q1 has historically been a cash outflow quarter for us"
34,"So, the adjusted free cash flow number is consistent with our expectations and we remain focused on delivering the $2.1 billion in adjusted free cash flow for the year"
35,"If we move to the balance sheet at quarter end, we had net debt to cap of 33.6% versus 39.7% at year-end"
36,That's really related to the fact that as part of the Adient spin-out there was a $4 billion reduction in our equity and as a result that drove the increase in the ratio
37,"Also during the quarter, we completed our previously announced debt exchange offers related to both the legacy JCI and Tyco debt, and we also made $535 million of scheduled debt repayments in the quarter"
38,I would also just point out that beginning in Q2 we commenced a share repurchase program and expect to buy back about $200 million to $250 million of our shares during the rest of fiscal 2017.
39,"And again as we've mentioned, this is really focused on countering the dilutive impact of stock option exercises"
