,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Alex,Alex,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Let,let,VB,Xxx
11,me,-PRON-,PRP,xx
12,start,start,VB,xxxx
13,on,on,IN,xx
14,Slide,Slide,NNP,Xxxxx
15,7,7,CD,d
16,",",",",",",","
17,by,by,IN,xx
18,providing,provide,VBG,xxxx
19,an,an,DT,xx
20,update,update,NN,xxxx
21,on,on,IN,xx
22,the,the,DT,xxx
23,integration,integration,NN,xxxx
24,"
","
",_SP,"
"
25,The,the,DT,Xxx
26,new,new,JJ,xxx
27,organization,organization,NN,xxxx
28,structure,structure,NN,xxxx
29,in,in,IN,xx
30,Buildings,building,NNS,Xxxxx
31,is,be,VBZ,xx
32,now,now,RB,xxx
33,in,in,IN,xx
34,place,place,NN,xxxx
35,"
","
",_SP,"
"
36,And,and,CC,Xxx
37,we,-PRON-,PRP,xx
38,have,have,VBP,xxxx
39,selected,select,VBN,xxxx
40,the,the,DT,xxx
41,best,good,JJS,xxxx
42,athletes,athlete,NNS,xxxx
43,and,and,CC,xxx
44,have,have,VBP,xxxx
45,asked,ask,VBN,xxxx
46,them,-PRON-,PRP,xxxx
47,to,to,TO,xx
48,play,play,VB,xxxx
49,new,new,JJ,xxx
50,positions,position,NNS,xxxx
51,on,on,IN,xx
52,the,the,DT,xxx
53,field,field,NN,xxxx
54,"
","
",_SP,"
"
55,Region,region,NN,Xxxxx
56,by,by,IN,xx
57,region,region,NN,xxxx
58,",",",",",",","
59,business,business,NN,xxxx
60,by,by,IN,xx
61,business,business,NN,xxxx
62,",",",",",",","
63,we,-PRON-,PRP,xx
64,have,have,VBP,xxxx
65,completely,completely,RB,xxxx
66,realigned,realign,VBN,xxxx
67,the,the,DT,xxx
68,leadership,leadership,NN,xxxx
69,structure,structure,NN,xxxx
70,in,in,IN,xx
71,order,order,NN,xxxx
72,to,to,TO,xx
73,eliminate,eliminate,VB,xxxx
74,cost,cost,NN,xxxx
75,and,and,CC,xxx
