,Sentences
0,"Okay, thank you"
1,"Good morning, everyone, and welcome to Kansas City Southernâ€™s fourth quarter 2016 earnings call"
2,"Slide 4 lists the presenters for today, and I think everyone is familiar with our teams, so I wonâ€™t read their names"
3,Iâ€™ll begin my comments on Slide 5.
4,"As you saw in our press release from earlier this morning, our adjusted diluted EPS for the fourth quarter was $1.12, a decrease of 9% from last year"
5,"Revenues were $599 million, unchanged from last year"
6,"Excluding the impact of further weakening of the Mexican peso, our revenues for the quarter would have been about 3% higher than last year"
7,Volumes for the fourth quarter were also unchanged from 2015.
8,"Our operating ratio for the quarter was 64.8%, which was 120 basis points higher than last year"
9,"There are some one-time items in the operating ratio for last year that made this a particularly tough comp for us, and Mike Upchurch will walk you through some of those factors in a few minutes"
10,"Our operating ratio for the full-year was 64.9%, which was a 190 basis points lower than last year"
11,"Weâ€™ll talk in bits and pieces about the 2017 outlook, but obviously, the political and economic uncertainty is probably first and foremost on most of our minds"
12,"And the irony of us reporting earnings on the inauguration day of the 45th president is not entirely lost on us, so weâ€™ll move on"
13,But and I just want to pick up the last point here
14,We still remain very positive longer-term about the growth opportunities that weâ€™re facing
15,Brian Hancock will talk about many of those growth opportunities in a little while
16,"Moving onto Slide 6, I wanted to provide a few â€"
17,"“ some commentary on a few of the more interesting topics that youâ€™ll hear about in the presentation that follows, and that we know what is on all of your minds"
18,"And first, there is the U.S"
19,/Mexico
20,trade issue
21,"Obviously, there are still many questions about the future of NAFTA and the trade relationship between the U.S"
22,and Mexico
23,"While weâ€™ve gotten some indication of the direction of the new administration through the nomination of most of the key trade policy makers, we still donâ€™t have definitive answers to several of those questions"
24,"What we do know is that the presidentâ€™s team has indicated that there will be a process for reshaping Americaâ€™s trade policies, which could include updating NAFTA"
25,The Mexican government has expressed its willingness to begin the process of modernizing the agreement as well
26,Iâ€™m extremely pleased to have been recently chosen by the U.S
27,/Mexico CEO Dialogue to lead its Strategic Trade Working Group
28,/Mexico
29,CEO Dialogue is an organization through which business leaders on both sides of the border seek to enhance trade and economic collaboration between the U.S
30,"and Mexico, as a private sector complement to the government to government high level economic dialogue, which involves the Presidents and senior officials from both countries"
31,"Second, the Mexican peso continues to weaken against the U.S"
32,dollar and now stands at levels that are almost 20% below last year
33,"In prior quarters, weâ€™ve talked about the impact the weak peso could have on our business, particularly in our international intermodal business"
34,Iâ€™m happy to report that it looks as if we recovered some market share last earlier in the year in our business at CÃ¡rdenas
35,"Furthermore, it does not appear that the currency value is having a negative impact on our overall portfolio pricing"
36,Brian will discuss both of those topics in a few minutes
37,"Most of youâ€™ve noticed that Mexican increased fuel prices on January 1, in some zones by as much as 15% to 20%"
38,Our average diesel fuel cost in Mexico now stands about 70% higher than in the U.S
39,"The excise tax credit helps to offset the higher Mexican fuel cost, so we will need to aggressively manage our fuel procurement and locomotive management strategies to make certain we donâ€™t experience any margin erosion, as Mexico continues to work through its energy deregulation timelines"
40,"On the positive side of that equation, the level of interest weâ€™re seeing from U.S"
41,"refiners exporting fuel into Mexico continues to gain momentum, and we expect that to drive higher shipments of refined products beginning in 2017."
42,"Again, Brian will have more to say on that topic a little later"
43,"Finally, our operating performance during the quarter was admittedly not up to our expectations, and we saw a noticeable deterioration in terminal Dwell during the quarter"
44,"Drilling into this a little deeper, this is not an altogether negative story"
45,"One of the primary contributing factors to our Dwell performance was the opening of two new and very large customer facilities in our Northern region, which encompasses the Monterrey-Nuevo Laredo area"
46,Both of these facilities were not fully prepared with adequate track infrastructure inside their facilities when they opened
47,"This resulted in severe congestion in three of our terminals in that region, where we saw a 19% increase in volumes over the last year"
48,"The good news is that the needed track infrastructure is being built now, and we can see a clear path to improvement in the near-term"
49,Jose Zozaya will get into that in more detail in a few minutes
50,"Moving onto Slide 7, just one more comment or a couple more comments about trade in Mexico"
51,"This slide shows all of our cross-border traffic, including the business that we interchange with Union Pacific at Laredo by export and import"
52,"As you can see, 60% of our total cross-border carloads are southbound or export business"
53,"Most of you know that KCSâ€™s largest cross-border commodity group is grain, specifically, yellow corn from the Midwest into Mexico"
54,"Furthermore, two of our large cross-border business opportunities for the future are also export-oriented from the U.S"
55,"to Mexico, namely refined products in plastics"
56,Thereâ€™s enormous amount of data available about NAFTA
57,and I donâ€
58,™t intend to go through any of that today
59,"However, I wanted to show this chart simply to convey that this is a complex issue, and thereâ€™s a lot of risk for both the U.S"
60,and Mexican economies
61,"If any future trade negotiations are not handled very thoughtfully, which Iâ€™m sure they will be"
