,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jeff,Jeff,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Iâ€,Iâ€,NNP,Xx€
12,™,™,CD,™
13,ll,ll,TO,xx
14,start,start,VB,xxxx
15,my,-PRON-,PRP$,xx
16,comments,comment,NNS,xxxx
17,on,on,IN,xx
18,Page,page,NN,Xxxx
19,11,11,CD,dd
20,",",",",",",","
21,where,where,WRB,xxxx
22,you,-PRON-,PRP,xxx
23,can,can,MD,xxx
24,see,see,VB,xxx
25,third,third,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,year,year,NN,xxxx
28,-,-,HYPH,-
29,over,over,IN,xxxx
30,-,-,HYPH,-
31,year,year,NN,xxxx
32,revenue,revenue,NN,xxxx
33,was,be,VBD,xxx
34,up,up,RB,xx
35,9,9,CD,d
36,%,%,NN,%
37,and,and,CC,xxx
38,volumes,volume,NNS,xxxx
39,were,be,VBD,xxxx
40,up,up,RB,xx
41,3,3,CD,d
42,%,%,NN,%
43,"
","
",_SP,"
"
44,As,as,IN,Xx
45,discussed,discuss,VBN,xxxx
46,by,by,IN,xx
47,Pat,Pat,NNP,Xxx
48,",",",",",",","
49,volume,volume,NN,xxxx
50,growth,growth,NN,xxxx
51,was,be,VBD,xxx
52,negatively,negatively,RB,xxxx
53,impacted,impact,VBN,xxxx
54,by,by,IN,xx
55,several,several,JJ,xxxx
56,weather,weather,NN,xxxx
57,events,event,NNS,xxxx
58,in,in,IN,xx
59,Texas,Texas,NNP,Xxxxx
60,and,and,CC,xxx
61,Northern,Northern,NNP,Xxxxx
62,Mexico,Mexico,NNP,Xxxxx
63,"
","
",_SP,"
"
64,Prior,prior,RB,Xxxxx
65,to,to,IN,xx
66,these,these,DT,xxxx
67,events,event,NNS,xxxx
68,",",",",",",","
69,volumes,volume,NNS,xxxx
70,were,be,VBD,xxxx
71,tracking,track,VBG,xxxx
72,at,at,IN,xx
73,a,a,DT,x
74,growth,growth,NN,xxxx
75,rate,rate,NN,xxxx
76,of,of,IN,xx
77,approximately,approximately,RB,xxxx
78,6,6,CD,d
79,%,%,NN,%
80,"
","
",_SP,"
"
81,For,for,IN,Xxx
82,the,the,DT,xxx
83,quarter,quarter,NN,xxxx
84,",",",",",",","
85,same,same,JJ,xxxx
86,-,-,HYPH,-
87,store,store,NN,xxxx
88,sales,sale,NNS,xxxx
89,as,as,RB,xx
90,well,well,RB,xxxx
91,as,as,IN,xx
92,in,in,IN,xx
93,-,-,HYPH,-
94,quarter,quarter,NN,xxxx
95,renewals,renewal,NNS,xxxx
96,pricing,price,VBG,xxxx
97,both,both,DT,xxxx
98,came,come,VBD,xxxx
99,in,in,RP,xx
100,at,at,IN,xx
101,a,a,DT,x
102,solid,solid,JJ,xxxx
103,3,3,CD,d
104,%,%,NN,%
105,"
","
",_SP,"
"
106,The,the,DT,Xxx
107,Chemical,Chemical,NNP,Xxxxx
108,&,&,CC,&
109,Petroleum,Petroleum,NNP,Xxxxx
110,business,business,NN,xxxx
111,growth,growth,NN,xxxx
112,of,of,IN,xx
113,10,10,CD,dd
114,%,%,NN,%
115,was,be,VBD,xxx
116,primarily,primarily,RB,xxxx
117,driven,drive,VBN,xxxx
118,by,by,IN,xx
119,",",",",",",","
120,excuse,excuse,VB,xxxx
121,me,-PRON-,PRP,xx
122,",",",",",",","
123,by,by,IN,xx
124,solid,solid,JJ,xxxx
125,performance,performance,NN,xxxx
126,in,in,IN,xx
127,our,-PRON-,PRP$,xxx
128,longer,long,JJR,xxxx
129,length,length,NN,xxxx
130,of,of,IN,xx
131,haul,haul,NNP,xxxx
132,southbound,southbound,NNP,xxxx
133,LPG,LPG,NNP,XXX
134,business,business,NN,xxxx
135,",",",",",",","
136,as,as,RB,xx
137,well,well,RB,xxxx
138,as,as,IN,xx
139,our,-PRON-,PRP$,xxx
