,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Greg,Greg,NNP,Xxxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,And,and,CC,Xxx
10,thank,thank,VBP,xxxx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,on,on,IN,xx
16,the,the,DT,xxx
17,call,call,NN,xxxx
18,today,today,NN,xxxx
19,"
","
",_SP,"
"
20,All,all,DT,Xxx
21,of,of,IN,xx
22,here,here,RB,xxxx
23,",",",",",",","
24,hope,hope,VB,xxxx
25,your,-PRON-,PRP$,xxxx
26,New,New,NNP,Xxx
27,Year,Year,NNP,Xxxx
28,is,be,VBZ,xx
29,off,off,IN,xxx
30,to,to,IN,xx
31,a,a,DT,x
32,good,good,JJ,xxxx
33,start,start,NN,xxxx
34,"
","
",_SP,"
"
35,Let,let,VB,Xxx
36,me,-PRON-,PRP,xx
37,begin,begin,VB,xxxx
38,by,by,IN,xx
39,saying,say,VBG,xxxx
40,that,that,IN,xxxx
41,I,-PRON-,PRP,X
42,am,be,VBP,xx
43,extraordinarily,extraordinarily,RB,xxxx
44,proud,proud,JJ,xxxx
45,of,of,IN,xx
46,our,-PRON-,PRP$,xxx
47,Lockheed,Lockheed,NNP,Xxxxx
48,Martin,Martin,NNP,Xxxxx
49,team,team,NN,xxxx
50,"
","
",_SP,"
"
51,Their,-PRON-,PRP$,Xxxxx
52,dedication,dedication,NN,xxxx
53,and,and,CC,xxx
54,focus,focus,NN,xxxx
55,enabled,enable,VBD,xxxx
56,us,-PRON-,PRP,xx
57,to,to,TO,xx
58,achieve,achieve,VB,xxxx
59,outstanding,outstanding,JJ,xxxx
60,program,program,NN,xxxx
61,and,and,CC,xxx
62,financial,financial,JJ,xxxx
63,performance,performance,NN,xxxx
64,during,during,IN,xxxx
65,a,a,DT,x
66,dynamic,dynamic,JJ,xxxx
67,year,year,NN,xxxx
68,of,of,IN,xx
69,transition,transition,NN,xxxx
70,and,and,CC,xxx
71,I,-PRON-,PRP,X
72,want,want,VBP,xxxx
73,to,to,TO,xx
74,thank,thank,VB,xxxx
75,them,-PRON-,PRP,xxxx
76,for,for,IN,xxx
77,their,-PRON-,PRP$,xxxx
78,efforts,effort,NNS,xxxx
79,"
","
",_SP,"
"
80,Our,-PRON-,PRP$,Xxx
81,performance,performance,NN,xxxx
82,as,as,IN,xx
83,a,a,DT,x
84,corporation,corporation,NN,xxxx
85,allowed,allow,VBD,xxxx
86,us,-PRON-,PRP,xx
87,to,to,TO,xx
88,exceed,exceed,VB,xxxx
89,all,all,DT,xxx
90,of,of,IN,xx
91,our,-PRON-,PRP$,xxx
92,full,full,JJ,xxxx
93,year,year,NN,xxxx
94,goals,goal,NNS,xxxx
95,and,and,CC,xxx
96,has,have,VBZ,xxx
97,positioned,position,VBN,xxxx
98,us,-PRON-,PRP,xx
99,for,for,IN,xxx
100,future,future,JJ,xxxx
101,growth,growth,NN,xxxx
102,and,and,CC,xxx
103,to,to,TO,xx
104,continue,continue,VB,xxxx
105,to,to,TO,xx
106,deliver,deliver,VB,xxxx
107,value,value,NN,xxxx
108,to,to,IN,xx
109,customers,customer,NNS,xxxx
110,and,and,CC,xxx
111,stockholders,stockholder,NNS,xxxx
112,in,in,IN,xx
113,2017,2017,CD,dddd
114,.,.,.,.
115,While,while,IN,Xxxxx
116,Bruce,Bruce,NNP,Xxxxx
117,will,will,MD,xxxx
118,cover,cover,VB,xxxx
119,the,the,DT,xxx
120,financial,financial,JJ,xxxx
121,results,result,NNS,xxxx
122,in,in,IN,xx
123,detail,detail,NN,xxxx
124,a,a,DT,x
125,little,little,JJ,xxxx
126,later,later,RB,xxxx
127,",",",",",",","
128,I,-PRON-,PRP,X
129,want,want,VBP,xxxx
130,to,to,TO,xx
131,highlight,highlight,VB,xxxx
132,a,a,DT,x
133,few,few,JJ,xxx
134,noteworthy,noteworthy,JJ,xxxx
135,2016,2016,CD,dddd
136,financial,financial,JJ,xxxx
137,accomplishments,accomplishment,NNS,xxxx
138,from,from,IN,xxxx
139,my,-PRON-,PRP$,xx
140,perspective,perspective,NN,xxxx
141,"
","
",_SP,"
"
142,2016,2016,CD,dddd
143,was,be,VBD,xxx
144,an,an,DT,xx
145,exceptional,exceptional,JJ,xxxx
146,year,year,NN,xxxx
147,of,of,IN,xx
148,achievement,achievement,NN,xxxx
149,",",",",",",","
150,with,with,IN,xxxx
151,all,all,DT,xxx
152,of,of,IN,xx
153,our,-PRON-,PRP$,xxx
154,financial,financial,JJ,xxxx
155,metrics,metric,NNS,xxxx
156,exceeding,exceed,VBG,xxxx
157,our,-PRON-,PRP$,xxx
158,expectations,expectation,NNS,xxxx
159,and,and,CC,xxx
160,in,in,IN,xx
161,the,the,DT,xxx
162,case,case,NN,xxxx
163,of,of,IN,xx
164,sales,sale,NNS,xxxx
165,",",",",",",","
166,earnings,earning,NNS,xxxx
167,per,per,IN,xxx
168,share,share,NN,xxxx
169,and,and,CC,xxx
170,cash,cash,NN,xxxx
171,from,from,IN,xxxx
172,operations,operation,NNS,xxxx
173,exceeding,exceed,VBG,xxxx
174,our,-PRON-,PRP$,xxx
175,previous,previous,JJ,xxxx
176,historical,historical,JJ,xxxx
177,high,high,JJ,xxxx
178,watermarks,watermark,NNS,xxxx
179,"
","
",_SP,"
"
180,I,-PRON-,PRP,X
181,was,be,VBD,xxx
182,especially,especially,RB,xxxx
183,pleased,pleased,JJ,xxxx
184,with,with,IN,xxxx
185,our,-PRON-,PRP$,xxx
186,performance,performance,NN,xxxx
187,in,in,IN,xx
188,maintaining,maintain,VBG,xxxx
189,our,-PRON-,PRP$,xxx
190,focus,focus,NN,xxxx
191,on,on,IN,xx
192,new,new,JJ,xxx
193,business,business,NN,xxxx
194,wins,win,NNS,xxxx
195,and,and,CC,xxx
196,building,building,NN,xxxx
197,backlog,backlog,NN,xxxx
198,"
","
",_SP,"
"
199,We,-PRON-,PRP,Xx
200,received,receive,VBD,xxxx
201,almost,almost,RB,xxxx
202,$,$,$,$
203,19,19,CD,dd
204,billion,billion,CD,xxxx
205,in,in,IN,xx
206,order,order,NN,xxxx
207,bookings,booking,NNS,xxxx
208,in,in,IN,xx
209,the,the,DT,xxx
210,fourth,fourth,JJ,xxxx
211,quarter,quarter,NN,xxxx
212,",",",",",",","
213,which,which,WDT,xxxx
214,resulted,result,VBD,xxxx
215,in,in,IN,xx
216,our,-PRON-,PRP$,xxx
217,achieving,achieve,VBG,xxxx
218,a,a,DT,x
219,quarterly,quarterly,JJ,xxxx
220,book,book,NN,xxxx
221,-,-,HYPH,-
222,to,to,IN,xx
223,-,-,HYPH,-
224,bill,bill,NN,xxxx
225,ratio,ratio,NN,xxxx
226,of,of,IN,xx
227,1.4,1.4,CD,d.d
228,and,and,CC,xxx
229,a,a,DT,x
230,year,year,NN,xxxx
231,-,-,HYPH,-
232,end,end,NN,xxx
233,backlog,backlog,NN,xxxx
234,of,of,IN,xx
235,over,over,IN,xxxx
236,$,$,$,$
237,96,96,CD,dd
238,billion,billion,CD,xxxx
239,"
","
",_SP,"
"
240,This,this,DT,Xxxx
241,represents,represent,VBZ,xxxx
242,over,over,IN,xxxx
243,$,$,$,$
244,1,1,CD,d
245,billion,billion,CD,xxxx
246,increase,increase,NN,xxxx
247,from,from,IN,xxxx
248,2015,2015,CD,dddd
249,year,year,NN,xxxx
250,-,-,HYPH,-
251,end,end,NN,xxx
252,level,level,NN,xxxx
253,and,and,CC,xxx
254,reflects,reflect,VBZ,xxxx
255,the,the,DT,xxx
256,broad,broad,JJ,xxxx
257,demand,demand,NN,xxxx
258,for,for,IN,xxx
259,our,-PRON-,PRP$,xxx
260,products,product,NNS,xxxx
261,from,from,IN,xxxx
262,both,both,CC,xxxx
263,domestic,domestic,JJ,xxxx
264,and,and,CC,xxx
265,international,international,JJ,xxxx
266,customers,customer,NNS,xxxx
267,"
","
",_SP,"
"
268,Significant,significant,JJ,Xxxxx
269,awards,award,NNS,xxxx
270,included,include,VBD,xxxx
271,$,$,$,$
272,7.2,7.2,CD,d.d
273,billion,billion,CD,xxxx
274,for,for,IN,xxx
275,our,-PRON-,PRP$,xxx
276,F-35,F-35,NNP,X-dd
277,LRIP,LRIP,NNP,XXXX
278,10,10,CD,dd
279,and,and,CC,xxx
280,definitized,definitize,VBD,xxxx
281,contract,contract,NN,xxxx
282,action,action,NN,xxxx
283,agreement,agreement,NN,xxxx
284,",",",",",",","
285,a,a,DT,x
286,$,$,$,$
287,1.5,1.5,CD,d.d
288,billion,billion,CD,xxxx
289,award,award,NN,xxxx
290,for,for,IN,xxx
291,PAC-3,PAC-3,NNP,XXX-d
292,missiles,missile,NNS,xxxx
293,defense,defense,NN,xxxx
294,capabilities,capability,NNS,xxxx
295,for,for,IN,xxx
296,United,United,NNP,Xxxxx
297,States,States,NNP,Xxxxx
298,and,and,CC,xxx
299,allied,ally,VBD,xxxx
300,military,military,JJ,xxxx
301,forces,force,NNS,xxxx
302,and,and,CC,xxx
303,$,$,$,$
304,1.2,1.2,CD,d.d
305,billion,billion,CD,xxxx
306,from,from,IN,xxxx
307,the,the,DT,xxx
308,Republic,Republic,NNP,Xxxxx
309,of,of,IN,xx
310,Korea,Korea,NNP,Xxxxx
311,Air,Air,NNP,Xxx
312,Force,Force,NNP,Xxxxx
313,to,to,TO,xx
314,upgrade,upgrade,VB,xxxx
315,134,134,CD,ddd
316,of,of,IN,xx
317,their,-PRON-,PRP$,xxxx
318,F-16,F-16,NNP,X-dd
319,aircraft,aircraft,NN,xxxx
320,"
","
",_SP,"
"
321,Our,-PRON-,PRP$,Xxx
322,strong,strong,JJ,xxxx
323,and,and,CC,xxx
324,growing,grow,VBG,xxxx
325,backlog,backlog,NN,xxxx
326,has,have,VBZ,xxx
327,positioned,position,VBN,xxxx
328,us,-PRON-,PRP,xx
329,[,[,-LRB-,[
330,Technical,Technical,NNP,Xxxxx
331,Difficulty,Difficulty,NNP,Xxxxx
332,],],-RRB-,]
333,"
","
",_SP,"
"
334,Sorry,sorry,JJ,Xxxxx
335,for,for,IN,xxx
336,the,the,DT,xxx
337,interruption,interruption,NN,xxxx
338,there,there,RB,xxxx
339,[,[,-LRB-,[
340,inaudible,inaudible,JJ,xxxx
341,],],-RRB-,]
342,(,(,-LRB-,(
343,03:57,03:57,CD,dd:dd
344,),),-RRB-,)
345,"
","
",_SP,"
"
346,Our,-PRON-,PRP$,Xxx
347,strong,strong,JJ,xxxx
348,and,and,CC,xxx
349,growing,grow,VBG,xxxx
350,backlog,backlog,NN,xxxx
351,has,have,VBZ,xxx
352,positioned,position,VBN,xxxx
353,us,-PRON-,PRP,xx
354,to,to,TO,xx
355,deliver,deliver,VB,xxxx
356,expanding,expand,VBG,xxxx
357,sales,sale,NNS,xxxx
358,level,level,NN,xxxx
359,and,and,CC,xxx
360,outstanding,outstanding,JJ,xxxx
361,financial,financial,JJ,xxxx
362,results,result,NNS,xxxx
363,as,as,IN,xx
364,we,-PRON-,PRP,xx
365,move,move,VBP,xxxx
366,forward,forward,RB,xxxx
367,"
","
",_SP,"
"
368,Another,another,DT,Xxxxx
369,area,area,NN,xxxx
370,where,where,WRB,xxxx
371,we,-PRON-,PRP,xx
372,are,be,VBP,xxx
373,",",",",",",","
374,it,-PRON-,PRP,xx
375,sounds,sound,VBZ,xxxx
376,like,like,IN,xxxx
377,somebody,somebody,NN,xxxx
378,is,be,VBZ,xx
379,not,not,RB,xxx
380,on,on,IN,xx
381,mute,mute,JJ,xxxx
382,"
","
",_SP,"
"
383,Let,let,VB,Xxx
384,me,-PRON-,PRP,xx
385,just,just,RB,xxxx
386,continue,continue,VB,xxxx
387,"
","
",_SP,"
"
388,Another,another,DT,Xxxxx
389,area,area,NN,xxxx
390,where,where,WRB,xxxx
391,we,-PRON-,PRP,xx
392,were,be,VBD,xxxx
393,successful,successful,JJ,xxxx
394,with,with,IN,xxxx
395,our,-PRON-,PRP$,xxx
396,strategic,strategic,JJ,xxxx
397,focus,focus,NN,xxxx
398,on,on,IN,xx
399,cash,cash,NN,xxxx
400,and,and,CC,xxx
401,cash,cash,NN,xxxx
402,deployment,deployment,NN,xxxx
403,",",",",",",","
404,in,in,IN,xx
405,2016,2016,CD,dddd
406,we,-PRON-,PRP,xx
407,generated,generate,VBD,xxxx
408,nearly,nearly,RB,xxxx
