,Sentences
0,"Thank you, Keith and good morning, everyone"
1,"As Dave mentioned most of my comments will focus on adjusted performance, excluding the impact of rationalization and other one-time items"
2,"Turning the Slide 6, our performance resulted in solid growth in both our top and bottom line"
3,The third quarter of 2017 was our 24th consecutive quarter of year-over-year sales and operating profit growth
4,"On a reported basis sales increased 3% or 2% in local currency and when accounting for the Arrow divestiture, sales increase 4% or 3% in local currency"
5,"Foreign currency translation favorably impacted on third quarter revenues by approximately $15 million, as the euro strengthened against the US dollar"
6,"North American sales increase 2% or 3% x-Arrow due to the demand for our repair and remodeling products across all channels of distribution and across the price continuum, as we continued to experience strong consumer demand for our better and best product offerings, particularly our KraftMaid, Milgard and Delta a higher and showroom product"
7,"As Keith mentioned, our Q3 results were adversely impacted by the devastating hurricanes in Texas, Florida in Puerto Rico"
8,"We estimate the revenue impact of these storms for the full year will be approximately $20 million, approximately $15 million in the third quarter split nearly evenly between the Plumbing, Decorative Architectural and Cabinetry segments and a $5 million in the fourth quarter that we expect will largely impact the Cabinetry segment"
9,"International sales increased 4% in local currency, as each of our international Plumbing businesses continue to drive growth"
10,"Gross margins expanded approximately 70 basis points compared to the third quarter of last year to 33.6%, largely due to the improvement of our North American Windows business"
11,"Our SG&A as a percent of sales matched prior year at 18.3% as we continue to leverage our volume, while making strategic investments to drive profitable growth"
12,"We delivered solid bottom line performance, as operating income increased 8% to $296 million with the operating margins expanding 60 basis points to 15.3%"
13,"And our EPS $0.50 in the quarter, an improvement of 22% compared to the third quarter of 2016."
14,"Turning to Slide 7, our Plumbing segment continues to deliver strong results"
15,Segment sales increased 6% and excluding the impact of currency increased 4%
16,"This solid performance was driven by growth in our faucet, shower and spa businesses"
17,Foreign currency transition favorably impacted this segment sales by approximately $13 million in the quarter
18,"Our North American sales grew 4% in the third quarter, as we experienced strong consumer driven demand from industry leading brands, with wholesale, large retail and dealer customers"
19,Our international Plumbing sales increased 6% in local currency
20,"Hansgrohe continues to benefit from investments in brand, design and innovation"
21,"These investments, along with their focus on growing in key markets is yielding results and they experience strong double-digit growth in both Germany and China"
22,"Operating profit for the segment decreased 2% in the quarter, as the strong drop through on incremental volume was more than offset by approximately $10 million of increased strategic growth investments in other variable expenses"
23,"Turning to Slide 8, the Decorative Architectural product segment grew 3%"
24,This performance was driven by another quarter of strong double-digit growth of our BEHR PRO initiative
25,We believe this segment will be the quickest to recover from the hurricanes as we are experiencing strong orders for our primers and interior paint in the affected areas
26,"Liberty Hardware also contributed to topline performance, as it continues to benefit from the expansion and growth in it - of its innovative shower door program and in the eCommerce channel"
27,"As we mentioned in our second quarter call, Liberty continues to win new retail programs"
28,It was awarded an expanded cabinet hardware program
29,This program was originally planned to set in the third quarter and now will be set in the fourth quarter
30,We anticipate spending approximately $8 million in reset costs in the fourth quarter on this program
31,"In the segment operating income in the third quarter decreased $7 million, driven by an unfavorable price-to-commodity relationship as we discussed last quarter"
32,We believe that the third quarter experienced the greatest impact of increased input cost and we expect this relationship to improve as we go into the fourth quarter
33,Turning to Slide 9.
34,In the Cabinetry segment sales declined 4%
35,This is principally due to additional loss builder business in both the United States and in the UK
36,Our repair remodel business continues to perform well in the quarter
37,"KraftMaid had solid performance in the home center and dealer channels, delivering double-digit growth through increased volume"
38,"Segment profitability declined in the third quarter by $1 million, driven by reduced volume and the incremental cost of approximately $6 million"
39,"And we mentioned at our second quarter call, related to the anti-dumping duties and countervailing tariffs on imported Chinese plywood and"
40,the new KraftMaid product launches
41,", we have mitigated the impact of these duties through supply chain and other initiatives, do not anticipate them to have a material impact going forward"
42,Turning to Slide 10.
43,"Our Windows segment sales matched the third quarter of 2016, excluding the divestiture of ARROW Fasteners sales grew 9%"
44,"This strong performance was driven by growth in Milgard, our leading Western U.S"
45,Window business which grew 12% in the quarter
46,"Milgard's strong growth was due to favorable pricing, increased volume and a favorable mix shift toward our premium window and door products"
47,"Segment profitability in the quarter increased $33 million over the prior year, driven by the lapping of last yearâ€™s warranty expense, favorable pricing and cost savings initiatives"
