,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Keith,Keith,NNP,Xxxxx
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,As,as,IN,Xx
11,Dave,Dave,NNP,Xxxx
12,mentioned,mention,VBD,xxxx
13,most,most,JJS,xxxx
14,of,of,IN,xx
15,my,-PRON-,PRP$,xx
16,comments,comment,NNS,xxxx
17,will,will,MD,xxxx
18,focus,focus,VB,xxxx
19,on,on,IN,xx
20,adjusted,adjust,VBN,xxxx
21,performance,performance,NN,xxxx
22,",",",",",",","
23,excluding,exclude,VBG,xxxx
24,the,the,DT,xxx
25,impact,impact,NN,xxxx
26,of,of,IN,xx
27,rationalization,rationalization,NN,xxxx
28,and,and,CC,xxx
29,other,other,JJ,xxxx
30,one,one,CD,xxx
31,-,-,HYPH,-
32,time,time,NN,xxxx
33,items,item,NNS,xxxx
34,"
","
",_SP,"
"
35,Turning,turn,VBG,Xxxxx
36,the,the,DT,xxx
37,Slide,Slide,NNP,Xxxxx
38,6,6,CD,d
39,",",",",",",","
40,our,-PRON-,PRP$,xxx
41,performance,performance,NN,xxxx
42,resulted,result,VBD,xxxx
43,in,in,IN,xx
44,solid,solid,JJ,xxxx
45,growth,growth,NN,xxxx
46,in,in,IN,xx
47,both,both,CC,xxxx
48,our,-PRON-,PRP$,xxx
49,top,top,JJ,xxx
50,and,and,CC,xxx
51,bottom,bottom,JJ,xxxx
52,line,line,NN,xxxx
53,"
","
",_SP,"
"
54,The,the,DT,Xxx
55,third,third,JJ,xxxx
56,quarter,quarter,NN,xxxx
57,of,of,IN,xx
58,2017,2017,CD,dddd
59,was,be,VBD,xxx
60,our,-PRON-,PRP$,xxx
61,24th,24th,JJ,ddxx
62,consecutive,consecutive,JJ,xxxx
63,quarter,quarter,NN,xxxx
64,of,of,IN,xx
65,year,year,NN,xxxx
66,-,-,HYPH,-
67,over,over,IN,xxxx
68,-,-,HYPH,-
69,year,year,NN,xxxx
70,sales,sale,NNS,xxxx
71,and,and,CC,xxx
72,operating,operate,VBG,xxxx
73,profit,profit,NN,xxxx
74,growth,growth,NN,xxxx
75,"
","
",_SP,"
"
76,On,on,IN,Xx
77,a,a,DT,x
78,reported,report,VBN,xxxx
79,basis,basis,NN,xxxx
80,sales,sale,NNS,xxxx
81,increased,increase,VBD,xxxx
82,3,3,CD,d
83,%,%,NN,%
84,or,or,CC,xx
85,2,2,CD,d
86,%,%,NN,%
87,in,in,IN,xx
88,local,local,JJ,xxxx
89,currency,currency,NN,xxxx
90,and,and,CC,xxx
91,when,when,WRB,xxxx
92,accounting,account,VBG,xxxx
93,for,for,IN,xxx
94,the,the,DT,xxx
95,Arrow,Arrow,NNP,Xxxxx
96,divestiture,divestiture,NN,xxxx
97,",",",",",",","
98,sales,sale,NNS,xxxx
99,increase,increase,VBP,xxxx
100,4,4,CD,d
101,%,%,NN,%
102,or,or,CC,xx
103,3,3,CD,d
104,%,%,NN,%
105,in,in,IN,xx
106,local,local,JJ,xxxx
107,currency,currency,NN,xxxx
108,"
","
",_SP,"
"
109,Foreign,foreign,JJ,Xxxxx
110,currency,currency,NN,xxxx
111,translation,translation,NN,xxxx
112,favorably,favorably,RB,xxxx
113,impacted,impact,VBN,xxxx
114,on,on,IN,xx
115,third,third,JJ,xxxx
116,quarter,quarter,NN,xxxx
117,revenues,revenue,NNS,xxxx
118,by,by,IN,xx
119,approximately,approximately,RB,xxxx
120,$,$,$,$
121,15,15,CD,dd
122,million,million,CD,xxxx
123,",",",",",",","
124,as,as,IN,xx
125,the,the,DT,xxx
126,euro,euro,NNP,xxxx
127,strengthened,strengthen,VBD,xxxx
128,against,against,IN,xxxx
129,the,the,DT,xxx
130,US,US,NNP,XX
131,dollar,dollar,NN,xxxx
132,"
","
",_SP,"
"
133,North,north,JJ,Xxxxx
134,American,american,JJ,Xxxxx
135,sales,sale,NNS,xxxx
136,increase,increase,VBP,xxxx
