,Sentences
0,"Thank you, Mitch"
1,Once again our results reflect revenue growth and margin expansion in the challenging environment
2,"In our Buy segment revenue remains soft as a result of the challenging, fast moving consumer goods environment in the U.S"
3,"However, growth and margins continue to improve in the emerging markets"
4,In Watch weâ€™re driving revenue and EBITDA growth behind our total Audience Measurement and Marketing Effectiveness initiatives
5,Resiliency remains a key attribute of our overall portfolio
6,Let me give a few more details on our total company performance in the third quarter
7,On the left side of the page are our results on a U.S
8,GAAP basis
9,"Revenue was just over $1.64 billion, up 4.5% on a reported basis, driven by solid growth in our Watch segment and the emerging markets and Buy, partially offset by softness in our U.S"
10,Buy market
11,"In addition, foreign currency rates added 90 basis points to our revenue growth in the quarter"
12,"Net income was $146 million, up 12.3%, and net income per share was $0.41 up 13.9%"
13,"Our net income per share results were driven by revenue growth, margin expansion and lower restructuring charges"
14,"Moving to the right side of the page, on a non-GAAP basis total revenue was up 3.6% constant currency"
15,The net of acquisitions and dispositions contributed approximately 2 points to our revenue growth
16,Our core revenue which we define as total revenue
17,less non-core or non-strategic assets grew 5.7% constant currency in the quarter
18,I will provide more color on the segments in just a few moments
19,"Adjusted EBITDA was $522 million, up 4% constant currency and adjusted EBITDA margins were 31.8%, up 12 basis points on a constant currency basis"
20,Our margins were driven by favorable mix and cost savings efforts that are driving efficiency and finding growth in both Watch and Buy
21,"Free cash flow was $425 million, which was a record third quarter and was up 20.4% versus a year ago"
22,We remain on track for our full year plan of approximately $900 million to fuel growth and return cash to our shareholders
23,Next Iâ€™ll move to the segments starting with Watch
24,The Watch segment continues to deliver solid revenue and EBITDA growth
25,Revenue was $838 million up 9.7% constant currency and net of acquisitions and dispositions contributed approximately 7 points to our Watch revenue growth
26,Audience Measurement of Video and Text was up 16.5% on a constant currency basis
27,"Excluding Gracenote, it grew 4.6% constant currency, led by strength in National TV and Digital"
28,"Digital Ad Ratings campaigns grew 44% in the quarter and we now have over 400 advertisers using the product, including all of the top 25 in the U.S"
29,"Digital Content Ratings, Digital and TV ratings and out-of-home measurement were also positive contributors to our third quarter growth"
30,"Audio was down 7.3% constant currency in the quarter due to the timing of ratings deliveries, which skews quarterly growth rates from time-to-time"
31,This dynamic represented about 130 basis points drag on Watch growth in the quarter and about a 60 basis points drag on the total company
32,"Importantly, we expect audio to be roughly flat for 2017, consistent with the framework I gave for the year"
33,Marketing Effectiveness was up 15.6% constant currency as we continue to leverage Watch and Buy assets to help advertisers and content publishers measure the return on investment in media spend and execute Audience Based Buy
34,"Other Watch was down 19.2% constant currency due to the previously announced exits, a part of the telecom product offerings, content testing assets and our legacy net ratings product in the U.S"
35,Watch adjusted EBITDA was $390 million up 7.7% constant currency
36,Watch margins were 46.5% down 84 basis points in constant currency
37,"Excluding 138 basis points drag from Gracenote, Watch margins were up 54 basis points constant currency"
38,Our Watch business continues to perform well and is delivering solid revenue and EBITDA growth
39,"Turning to Buy, the key takeaway is that year-to-date Buy revenue trends are in line with the framework we gave in 2Q, with continued strength in the emerging markets offset by a soft U.S"
40,"Third quarter total Buy revenue was $803 million, down 2.1% constant currency"
41,Core Buy revenue was roughly flat on a constant currency basis
42,Previously announced dispositions were a 2 point drag to our Buy revenue growth
43,"Our revenue in the developed markets was $491 million, down 5.4% constant currency behind continued softness in the U.S"
44,and a tough comparison in Europe
45,The Developed Buy results year-to-date are in line with the full year framework we gave in the second quarter
46,Let me provide some additional color on the U.S
47,Sequentially the revenue declines are improving although the environment remains tough
48,"As we have discussed, some of our clients are cycling through their own significant cost cuts and lowering overall spend"
49,"We expect this trend to continue for the next few quarters, however we also know that our measurement and analytics are critical and that over time clients must invest in the day-to-day need to drive growth and run their businesses"
50,"In addition, we are investing in coverage initiatives that will present growth opportunities for us in 2018 and beyond"
51,We look forward to sharing more details at our Investor Day in a couple of weeks
52,Our business in the emerging markets is exceptionally strong
53,"Revenue was $297 million, up 10.8% constant currency"
54,We are adding coverage and scale to drive broad based growth and margin expansion in all of our key markets
55,"Our corporate Buy revenue was down 54.5% constant currency, reflecting pruning of noncore Buy assets that we have previously flagged"
56,"Buy EBITDA was $145 million, down 5.2% constant currency in the third quarter"
57,We are investing in growth and efficiency initiatives across our businesses that will help us expand coverage and drive significant margin upside in Buy by 2020.
58,"Moving to foreign currency impact, I want to remind you that we report revenue and EBITDA on a constant currency basis to reflect our operating performance"
59,"We generally donâ€™t take on transactional risk, so this slide focuses strictly on the translation impact for reporting purposes"
60,"In the quarter, foreign currency resulted in a 90 basis points increase in revenue and an 80 basis point gain on EBITDA"
61,"If yesterdayâ€™s spot rates held constant through 2017, then we expect a 40 basis point benefit on revenue and an 80 basis points benefit on EBITDA for the full year"
