,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Mitch,Mitch,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Once,once,RB,Xxxx
6,again,again,RB,xxxx
7,our,-PRON-,PRP$,xxx
8,results,result,NNS,xxxx
9,reflect,reflect,VBP,xxxx
10,revenue,revenue,NN,xxxx
11,growth,growth,NN,xxxx
12,and,and,CC,xxx
13,margin,margin,NN,xxxx
14,expansion,expansion,NN,xxxx
15,in,in,IN,xx
16,the,the,DT,xxx
17,challenging,challenge,VBG,xxxx
18,environment,environment,NN,xxxx
19,"
","
",_SP,"
"
20,In,in,IN,Xx
21,our,-PRON-,PRP$,xxx
22,Buy,Buy,NNP,Xxx
23,segment,segment,NN,xxxx
24,revenue,revenue,NN,xxxx
25,remains,remain,VBZ,xxxx
26,soft,soft,JJ,xxxx
27,as,as,IN,xx
28,a,a,DT,x
29,result,result,NN,xxxx
30,of,of,IN,xx
31,the,the,DT,xxx
32,challenging,challenging,NN,xxxx
33,",",",",",",","
34,fast,fast,RB,xxxx
35,moving,move,VBG,xxxx
36,consumer,consumer,NN,xxxx
37,goods,good,NNS,xxxx
38,environment,environment,NN,xxxx
39,in,in,IN,xx
40,the,the,DT,xxx
41,U.S,U.S,NNP,X.X
42,"
","
",_SP,"
"
43,However,however,RB,Xxxxx
44,",",",",",",","
45,growth,growth,NN,xxxx
46,and,and,CC,xxx
47,margins,margin,NNS,xxxx
48,continue,continue,VBP,xxxx
49,to,to,TO,xx
50,improve,improve,VB,xxxx
51,in,in,IN,xx
52,the,the,DT,xxx
53,emerging,emerge,VBG,xxxx
54,markets,market,NNS,xxxx
55,"
","
",_SP,"
"
56,In,in,IN,Xx
57,Watch,Watch,NNP,Xxxxx
58,weâ€,weâ€,NN,xxx€
59,™,™,CD,™
60,re,re,NN,xx
61,driving,drive,VBG,xxxx
62,revenue,revenue,NN,xxxx
63,and,and,CC,xxx
64,EBITDA,ebitda,NN,XXXX
65,growth,growth,NN,xxxx
66,behind,behind,IN,xxxx
67,our,-PRON-,PRP$,xxx
68,total,total,JJ,xxxx
69,Audience,Audience,NNP,Xxxxx
70,Measurement,Measurement,NNP,Xxxxx
71,and,and,CC,xxx
72,Marketing,Marketing,NNP,Xxxxx
73,Effectiveness,Effectiveness,NNP,Xxxxx
74,initiatives,initiative,NNS,xxxx
75,"
","
",_SP,"
"
76,Resiliency,resiliency,NN,Xxxxx
77,remains,remain,VBZ,xxxx
78,a,a,DT,x
79,key,key,JJ,xxx
80,attribute,attribute,NN,xxxx
81,of,of,IN,xx
82,our,-PRON-,PRP$,xxx
83,overall,overall,JJ,xxxx
84,portfolio,portfolio,NN,xxxx
85,"
","
",_SP,"
"
86,Let,let,VB,Xxx
87,me,-PRON-,PRP,xx
88,give,give,VB,xxxx
89,a,a,DT,x
90,few,few,JJ,xxx
91,more,more,JJR,xxxx
92,details,detail,NNS,xxxx
93,on,on,IN,xx
94,our,-PRON-,PRP$,xxx
95,total,total,JJ,xxxx
96,company,company,NN,xxxx
97,performance,performance,NN,xxxx
98,in,in,IN,xx
99,the,the,DT,xxx
100,third,third,JJ,xxxx
101,quarter,quarter,NN,xxxx
102,"
","
",_SP,"
"
103,On,on,IN,Xx
104,the,the,DT,xxx
105,left,left,JJ,xxxx
106,side,side,NN,xxxx
107,of,of,IN,xx
108,the,the,DT,xxx
109,page,page,NN,xxxx
110,are,be,VBP,xxx
111,our,-PRON-,PRP$,xxx
112,results,result,NNS,xxxx
113,on,on,IN,xx
114,a,a,DT,x
115,U.S,U.S,NNP,X.X
116,"
","
",_SP,"
"
117,GAAP,GAAP,NNP,XXXX
118,basis,basis,NN,xxxx
119,"
","
",_SP,"
"
120,Revenue,revenue,NN,Xxxxx
121,was,be,VBD,xxx
122,just,just,RB,xxxx
123,over,over,IN,xxxx
124,$,$,$,$
125,1.64,1.64,CD,d.dd
126,billion,billion,CD,xxxx
127,",",",",",",","
128,up,up,RB,xx
129,4.5,4.5,CD,d.d
130,%,%,NN,%
131,on,on,IN,xx
