,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jim,Jim,NNP,Xxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Thank,thank,VBP,Xxxxx
12,you,-PRON-,PRP,xxx
13,for,for,IN,xxx
14,joining,join,VBG,xxxx
15,us,-PRON-,PRP,xx
16,today,today,NN,xxxx
17,"
","
",_SP,"
"
18,Norfolk,Norfolk,NNP,Xxxxx
19,Southern,Southern,NNP,Xxxxx
20,delivered,deliver,VBD,xxxx
21,first,first,JJ,xxxx
22,quarter,quarter,NN,xxxx
23,revenue,revenue,NN,xxxx
24,of,of,IN,xx
25,$,$,$,$
26,2.6,2.6,CD,d.d
27,billion,billion,CD,xxxx
28,",",",",",",","
29,a,a,DT,x
30,strong,strong,JJ,xxxx
31,6,6,CD,d
32,%,%,NN,%
33,year,year,NN,xxxx
34,-,-,HYPH,-
35,over,over,IN,xxxx
36,-,-,HYPH,-
37,year,year,NN,xxxx
38,increase,increase,NN,xxxx
39,",",",",",",","
40,which,which,WDT,xxxx
41,was,be,VBD,xxx
42,driven,drive,VBN,xxxx
43,by,by,IN,xx
44,volume,volume,NN,xxxx
45,growth,growth,NN,xxxx
46,of,of,IN,xx
47,5,5,CD,d
48,%,%,NN,%
49,and,and,CC,xxx
50,a,a,DT,x
51,revenue,revenue,NN,xxxx
52,per,per,IN,xxx
53,unit,unit,NN,xxxx
54,improvement,improvement,NN,xxxx
55,of,of,IN,xx
56,1,1,CD,d
57,%,%,NN,%
58,"
","
",_SP,"
"
59,We,-PRON-,PRP,Xx
60,attained,attain,VBD,xxxx
61,volume,volume,NN,xxxx
62,and,and,CC,xxx
63,revenue,revenue,NN,xxxx
64,gains,gain,NNS,xxxx
65,in,in,IN,xx
66,all,all,DT,xxx
67,three,three,CD,xxxx
68,of,of,IN,xx
69,our,-PRON-,PRP$,xxx
70,major,major,JJ,xxxx
71,market,market,NN,xxxx
72,groups,group,NNS,xxxx
73,with,with,IN,xxxx
74,a,a,DT,x
75,particularly,particularly,RB,xxxx
76,robust,robust,JJ,xxxx
77,performance,performance,NN,xxxx
78,in,in,IN,xx
79,coal,coal,NN,xxxx
80,",",",",",",","
81,intermodal,intermodal,NN,xxxx
82,and,and,CC,xxx
83,steel,steel,NN,xxxx
84,versus,versus,IN,xxxx
85,the,the,DT,xxx
86,first,first,JJ,xxxx
87,quarter,quarter,NN,xxxx
88,of,of,IN,xx
89,2016,2016,CD,dddd
90,.,.,.,.
91,Additionally,additionally,RB,Xxxxx
92,",",",",",",","
93,fuel,fuel,NN,xxxx
94,surcharge,surcharge,NN,xxxx
95,revenues,revenue,NNS,xxxx
96,increased,increase,VBD,xxxx
97,due,due,IN,xxx
98,to,to,IN,xx
99,higher,high,JJR,xxxx
100,on,on,IN,xx
101,-,-,HYPH,-
102,highway,highway,NN,xxxx
103,diesel,diesel,NN,xxxx
104,prices,price,NNS,xxxx
105,"
","
",_SP,"
"
106,We,-PRON-,PRP,Xx
107,maintain,maintain,VBP,xxxx
108,our,-PRON-,PRP$,xxx
109,focus,focus,NN,xxxx
110,on,on,IN,xx
111,pricing,price,VBG,xxxx
112,"
","
",_SP,"
"
113,Revenue,revenue,NN,Xxxxx
114,per,per,IN,xxx
115,unit,unit,NN,xxxx
116,excluding,exclude,VBG,xxxx
117,fuel,fuel,NN,xxxx
118,was,be,VBD,xxx
119,flat,flat,JJ,xxxx
120,as,as,IN,xx
121,pricing,pricing,NN,xxxx
122,gains,gain,NNS,xxxx
123,were,be,VBD,xxxx
124,offset,offset,VBN,xxxx
125,by,by,IN,xx
126,negative,negative,JJ,xxxx
127,mix,mix,NN,xxx
128,associated,associate,VBN,xxxx
129,with,with,IN,xxxx
130,increased,increase,VBN,xxxx
131,intermodal,intermodal,JJ,xxxx
132,volume,volume,NN,xxxx
133,and,and,CC,xxx
134,short,short,JJ,xxxx
135,-,-,HYPH,-
