,Sentences
0,PACCAR achieved excellent revenues and earnings for the third quarter of 2017.
1,"PACCAR's third quarter sales and Financial Services revenues were $5.1 billion, and third quarter net income was $403 million, a strong 8% after-tax return on revenues"
2,"PACCAR achieved excellent Truck, Parts and Other gross margins of 14.5%, driven by growing Kenworth and Peterbilt market share in North America, a robust European truck market and record aftermarket parts results"
3,Kenworth and Peterbilt's year-to-date Class 8 market share in the U.S
4,"and Canada was 30.1%, more than 2 percentage points higher than in the same period last year"
5,DAF is currently producing trucks at record build rates in its Eindhoven factory
6,"I'm very proud of our 25,000 employees who have delivered the world's highest quality trucks, parts and financial services to our customers worldwide"
7,"PACCAR delivered 40,200 trucks during the third quarter, 2% higher than the second quarter"
8,"Increased build rates in North America, Australia and Brazil were partially offset by fewer build days in Europe due to the regular summer shutdown"
9,"Next quarter, we're expecting 7% to 9% higher deliveries compared to the third quarter due to increased production in Europe"
10,Deliveries will be slightly lower in North America due to regularly scheduled holidays
11,"Truck, Parts and Other gross margins in the fourth quarter are forecast to be down slightly from the third quarter due to a higher mix of truck sales compared to parts"
12,economy is expanding 2% to 2.5% this year
13,We expect U.S
14,"housing starts will grow to 1.2 million units, and the automotive industry will deliver nearly 17 million vehicles"
15,We've raised our estimate of retail sales for this year's U.S
16,"and Canadian Class 8 truck market to a range of 210,000 to 220,000 units"
17,"For 2018, economists are forecasting continued GDP growth of 2% to 3%, an increase in housing starts of 7% and another strong year of auto sales"
18,Industrial production is also expected to expand 2% to 3% next year
19,We head toward 2018 with positive momentum in the U.S
20,economy and the truck industry
21,We estimate U.S
22,"and Canadian Class 8 truck industry retail sales will increase to a range of 220,000 to 250,000 units in 2018."
23,"We've raised our 2017 forecast for Europe's greater than 16-tonne market to a range of 300,000 to 310,000 units, reflecting continued strong demand and a growing economy"
24,"The eurozone's GDP growth expectation for this year is 2.1%, with 2018 projected at a similar level"
25,"Freight transport activity on German highways is at record levels, up 4% this year"
26,"We expect that 2018 European heavy truck market to have another excellent year in a range of 280,000 to 310,000 units"
27,PACCAR's Parts business generated record quarterly revenues of $840 million
28,"Parts quarterly pretax income was a record $153 million, with an excellent pretax return on revenue of 18.2%"
29,The growing number of PACCAR trucks and engines in operation and increased sales of TRP All Makes parts drove these results
30,We're pleased to have opened the 100th TRP store during the quarter
31,TRP stores expand PACCAR's aftermarket opportunity by selling more parts to the second and third owners of All Makes of trucks
32,PACCAR Financial Services third quarter pretax income increased 13% to $71 million compared to $63 million in the second quarter this year
33,"The portfolio, which was a record $13.1 billion this quarter, continued to perform very well"
34,Class 8 industry used truck sales volumes increased during the quarter
35,Kenworth and Peterbilt truck resale values continue to command a 10% to 20% premium over competitors' vehicles
36,"PACCAR is increasing its investments in delivering new products and technologies as reflected in the recent introduction of the new PACCAR automated transmission, the new DAF XF and CF vocational trucks and new DAF LF vehicles"
37,We estimate capital spending of $400 million to $450 million and R&D expenses of $260 million to $270 million this year
38,"In 2018, we're planning for increased capital investments of $425 million to $475 million and increased R&D expenses of $270 million to $300 million"
39,"These investments will enhance PACCAR's integrated powertrain, deliver advanced driver assistance and truck connectivity technologies and add additional capacity and efficiency to the company's manufacturing and parts distribution facilities"
40,"To expand our technology and industry leadership, PACCAR is investing in technologies that may take several years to commercialize"
41,A current example of our advanced driver assistance systems investments is a truck platooning trial that begins early next year in the U.K
42,PACCAR is also a leader in alternative powertrains
43,"Kenworth and Peterbilt are market leaders in the North American natural gas truck segment, and we're currently testing electric powertrains in PACCAR trucks as well"
44,"While we think it will be some time before electric trucks become a sizable segment of annual industry sales, there could be an opportunity in certain applications in the medium term"
45,PACCAR knows from experience that customers adopt technology when it provides a financial return for their businesses or is mandated by government regulations
46,Our focus is to always offer transportation solutions with industry-leading technologies that maximize our customers' operating efficiency
47,I'd be pleased to answer your questions
48,Question-and-Answer Session
49,"The transition of production to the new CF, XF and soon the LF vehicles"
50,", that's all gone very well"
51,So production ramp-up has gone without any challenges
52,And so we're moving into the next phase with the vocational trucks and getting ready to transition with the new LFs
53,So all that has gone very well
54,"Yes, Harrie has some thoughts here"
55,"I think one of the great things that is just coming online is not necessarily tied to the launch of the new products, is the Westerlo cab paint shop, which does have the latest state-of-the-art paint robotic applications in the industry"
56,So it's a fantastic plant
57,"If you ever get a chance to go to Europe and visit DAF's facilities, that would be certainly be a stop because it does have state-of-the-art robotics and the quality and the finish of the products is great"
58,"Yes, Jerry"
59,"As I mentioned, I think that the commercialization of that is several years away, probably outside a reasonable planning window for any significant adoption"
60,"Battery packs are still very large, they're heavy, they're expensive"
61,"And so there's really -- while we need to be ready for that technology, the commercial viability of that has some ways to go"
62,"So I don't think that's going to be something that we're going to be factoring into thoughts about margins, et cetera, in the near term"
63,I think it's a midterm technology that we'll see
