,Word,Lemma,POSTag,Shape
0,PACCAR,PACCAR,NNP,XXXX
1,achieved,achieve,VBD,xxxx
2,excellent,excellent,JJ,xxxx
3,revenues,revenue,NNS,xxxx
4,and,and,CC,xxx
5,earnings,earning,NNS,xxxx
6,for,for,IN,xxx
7,the,the,DT,xxx
8,third,third,JJ,xxxx
9,quarter,quarter,NN,xxxx
10,of,of,IN,xx
11,2017,2017,CD,dddd
12,.,.,.,.
13,PACCAR,PACCAR,NNP,XXXX
14,'s,'s,POS,'x
15,third,third,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,sales,sale,NNS,xxxx
18,and,and,CC,xxx
19,Financial,Financial,NNP,Xxxxx
20,Services,Services,NNPS,Xxxxx
21,revenues,revenue,NNS,xxxx
22,were,be,VBD,xxxx
23,$,$,$,$
24,5.1,5.1,CD,d.d
25,billion,billion,CD,xxxx
26,",",",",",",","
27,and,and,CC,xxx
28,third,third,JJ,xxxx
29,quarter,quarter,NN,xxxx
30,net,net,JJ,xxx
31,income,income,NN,xxxx
32,was,be,VBD,xxx
33,$,$,$,$
34,403,403,CD,ddd
35,million,million,CD,xxxx
36,",",",",",",","
37,a,a,DT,x
38,strong,strong,JJ,xxxx
39,8,8,CD,d
40,%,%,NN,%
41,after,after,IN,xxxx
42,-,-,HYPH,-
43,tax,tax,NN,xxx
44,return,return,NN,xxxx
45,on,on,IN,xx
46,revenues,revenue,NNS,xxxx
47,"
","
",_SP,"
"
48,PACCAR,PACCAR,NNP,XXXX
49,achieved,achieve,VBD,xxxx
50,excellent,excellent,JJ,xxxx
51,Truck,Truck,NNP,Xxxxx
52,",",",",",",","
53,Parts,Parts,NNPS,Xxxxx
54,and,and,CC,xxx
55,Other,other,JJ,Xxxxx
56,gross,gross,JJ,xxxx
57,margins,margin,NNS,xxxx
58,of,of,IN,xx
59,14.5,14.5,CD,dd.d
60,%,%,NN,%
61,",",",",",",","
62,driven,drive,VBN,xxxx
63,by,by,IN,xx
64,growing,grow,VBG,xxxx
65,Kenworth,Kenworth,NNP,Xxxxx
66,and,and,CC,xxx
67,Peterbilt,Peterbilt,NNP,Xxxxx
68,market,market,NN,xxxx
