,Sentences
0,"Thanks Cathy, and good morning to everybody and thanks for joining the call, we appreciate your interest in Parker"
1,So let me just make a few comments about general business conditions
2,and we will talk about the quarter
3,"So first on safety, that continues to be a top priority for the company"
4,"[Analysis] is the right thing to do obviously, but the focus on safety is driving an increased engagement from our people, which is in turn driving safety improvements across the company which is also impacting our operational improvements across the company as well, so"
5,I'm very encouraged by all of that
6,"You saw the announcement on orders, broad based increase across markets and regions"
7,The organic growth was greater than industrial production growth for the last three quarters in a row
8,so we're excited about that
9,The Win Strategy initiatives continue to generate improvements in both growth and operating margins
10,"If I would characterize business confidence in general, feedback from our customers [indiscernible] a very positive, so there is a nice general business confidence out there from an environmental standpoint"
11,"So it's actually been about two years, since we announced and introduced the new Win Strategy, so thought I will reflect back"
12,"I know it's kind of hard to imagine since it's been two years, but a lot has happened in two years"
13,"I think back the two years ago, we're in debt or pretty tough industrial climate, actually our second biggest down turn in sales in the history of the company"
14,and we performed better than we ever hard in any previous downturn
15,"But if you're looking for evidence on whether the new Win Strategy is working, I think if you look at the results of the last two years, I think it is clear and objective evidence that the strategy is working, you can see the numbers"
16,"The good news for all of our people who are listening, the people within Parker and our shareholders, this is still early days of implementation"
17,There is lots of upside with the new Win Strategy and we're excited about that
18,"So I wanted to say first of all thank you to all the Parker team members around the world for the great progress after two years from the launch and for being a partner in creating the new Win Strategy because when we went around and introduced it, they were a big part of creating the strategies that we're now rolling out"
19,"So let's move on to the quarter, great start, it's always nice to come out of blocks well"
20,"Starting with safety as we normally do, 24% reduction in recordable injuries which was great performance"
21,"And you look at the key performance metrics for the quarter, fully solid performance across all those, the sales was a first quarter record for us up 23%, organic growth slightly above 7%, order rates increased at double-digits and this is the highest level of order growth that we've had for a quarter, since Q4 of fiscal 2011."
22,The segment operating margins continue to make nice improvements and EPS for the quarter that was a first quarter record as well
23,"When you look at the change in the EPS, EPS increased 36% as reported and 48% on an adjusted basis, so"
24,really nice increases there
25,and we are on track to deliver strong operating cash flow going forward
26,"So just a quick comment or two on capital deployment priorities; so dividends continues to be our number one focus, increasing the dividends and maintaining our long standing track record of dividend increases"
27,"We're going to continue to invest in organic growth with our CapEx, it's the most efficient way to grow the company and we're going to maintain the 10b5-1 plan that we have in place for a consistent share buyback program"
28,and we're continuing to focus on bringing down the debt
29,So I want to talk about the outlook; so outlook was increased from an adjusted EPS standpoint by $0.60 at the midpoint from $8.80 to $9.40.
30,This reflects the first quarter [beat] that we had and increased organic growth estimates that we baked into the guidance
31,So for that we've increased total Parker organic growth from our previous guide at 3.7% to another new guide as 5.5% organic growth total company
32,"So now going forward, obviously we're going to continue driving the new Win Strategy"
33,"and I'm going to just make a quick comment or two about each one of the four goals, starting first with engage people"
