,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,Cathy,Cathy,NNP,Xxxxx
2,",",",",",",","
3,and,and,CC,xxx
4,good,good,JJ,xxxx
5,morning,morning,NN,xxxx
6,to,to,IN,xx
7,everybody,everybody,NN,xxxx
8,and,and,CC,xxx
9,thanks,thank,NNS,xxxx
10,for,for,IN,xxx
11,joining,join,VBG,xxxx
12,the,the,DT,xxx
13,call,call,NN,xxxx
14,",",",",",",","
15,we,-PRON-,PRP,xx
16,appreciate,appreciate,VBP,xxxx
17,your,-PRON-,PRP$,xxxx
18,interest,interest,NN,xxxx
19,in,in,IN,xx
20,Parker,Parker,NNP,Xxxxx
21,"
","
",_SP,"
"
22,So,so,CC,Xx
23,let,let,VB,xxx
24,me,-PRON-,PRP,xx
25,just,just,RB,xxxx
26,make,make,VB,xxxx
27,a,a,DT,x
28,few,few,JJ,xxx
29,comments,comment,NNS,xxxx
30,about,about,IN,xxxx
31,general,general,JJ,xxxx
32,business,business,NN,xxxx
33,conditions,condition,NNS,xxxx
34,and,and,CC,xxx
35,we,-PRON-,PRP,xx
36,will,will,MD,xxxx
37,talk,talk,VB,xxxx
38,about,about,IN,xxxx
39,the,the,DT,xxx
40,quarter,quarter,NN,xxxx
41,"
","
",_SP,"
"
42,So,so,RB,Xx
43,first,first,RB,xxxx
44,on,on,IN,xx
45,safety,safety,NN,xxxx
46,",",",",",",","
47,that,that,WDT,xxxx
48,continues,continue,VBZ,xxxx
49,to,to,TO,xx
50,be,be,VB,xx
51,a,a,DT,x
52,top,top,JJ,xxx
53,priority,priority,NN,xxxx
54,for,for,IN,xxx
55,the,the,DT,xxx
56,company,company,NN,xxxx
57,"
","
",_SP,"
"
58,[,[,-LRB-,[
59,Analysis,analysis,NN,Xxxxx
60,],],-RRB-,]
61,is,be,VBZ,xx
62,the,the,DT,xxx
63,right,right,JJ,xxxx
64,thing,thing,NN,xxxx
65,to,to,TO,xx
66,do,do,VB,xx
67,obviously,obviously,RB,xxxx
68,",",",",",",","
69,but,but,CC,xxx
70,the,the,DT,xxx
71,focus,focus,NN,xxxx
72,on,on,IN,xx
73,safety,safety,NN,xxxx
74,is,be,VBZ,xx
75,driving,drive,VBG,xxxx
76,an,an,DT,xx
77,increased,increase,VBN,xxxx
78,engagement,engagement,NN,xxxx
79,from,from,IN,xxxx
80,our,-PRON-,PRP$,xxx
81,people,people,NNS,xxxx
82,",",",",",",","
83,which,which,WDT,xxxx
84,is,be,VBZ,xx
85,in,in,IN,xx
86,turn,turn,NN,xxxx
87,driving,drive,VBG,xxxx
88,safety,safety,NN,xxxx
89,improvements,improvement,NNS,xxxx
90,across,across,IN,xxxx
91,the,the,DT,xxx
92,company,company,NN,xxxx
93,which,which,WDT,xxxx
94,is,be,VBZ,xx
95,also,also,RB,xxxx
96,impacting,impact,VBG,xxxx
97,our,-PRON-,PRP$,xxx
98,operational,operational,JJ,xxxx
99,improvements,improvement,NNS,xxxx
100,across,across,IN,xxxx
101,the,the,DT,xxx
102,company,company,NN,xxxx
103,as,as,RB,xx
104,well,well,RB,xxxx
105,",",",",",",","
106,so,so,CC,xx
107,I,-PRON-,PRP,X
108,'m,be,VBP,'x
109,very,very,RB,xxxx
110,encouraged,encouraged,JJ,xxxx
111,by,by,IN,xx
112,all,all,DT,xxx
113,of,of,IN,xx
114,that,that,DT,xxxx
115,"
","
",_SP,"
"
116,You,-PRON-,PRP,Xxx
117,saw,see,VBD,xxx
118,the,the,DT,xxx
119,announcement,announcement,NN,xxxx
120,on,on,IN,xx
121,orders,order,NNS,xxxx
122,",",",",",",","
123,broad,broad,JJ,xxxx
124,based,base,VBN,xxxx
125,increase,increase,NN,xxxx
126,across,across,IN,xxxx
127,markets,market,NNS,xxxx
128,and,and,CC,xxx
129,regions,region,NNS,xxxx
130,"
","
",_SP,"
"
131,The,the,DT,Xxx
132,organic,organic,JJ,xxxx
133,growth,growth,NN,xxxx
134,was,be,VBD,xxx
135,greater,great,JJR,xxxx
136,than,than,IN,xxxx
137,industrial,industrial,JJ,xxxx
138,production,production,NN,xxxx
139,growth,growth,NN,xxxx
140,for,for,IN,xxx
141,the,the,DT,xxx
142,last,last,JJ,xxxx
143,three,three,CD,xxxx
144,quarters,quarter,NNS,xxxx
145,in,in,IN,xx
146,a,a,DT,x
147,row,row,NN,xxx
148,so,so,RB,xx
149,we,-PRON-,PRP,xx
150,'re,be,VBP,'xx
