,Sentences
0,Thanks Jim
1,Weâ€™re pleased that our second quarter performance came in slightly out of our expectations
2,"Sales were in line with guidance, while segment income and adjusted EPS slightly exceeded the high end of our range"
3,We completed the sale of our Valves & Controls business during the second quarter and with the proceeds had significantly improved our balance sheet
4,Later in the call John will discuss the balance sheet in more detail and the impact of the Valves & Controls sales closing somewhat later than our initial timeline
5,"Weâ€™ve tightened our full year adjusted EPS guidance to approximately $3.50 per share, which is the midpoint of our prior guidance"
6,We experienced higher than planned interest expense in the first half due to the delay in the Valves & Controls close
7,And weâ€™ve also seen our share count increase modestly
8,Offsetting these two headwinds was our better first half operating performance
9,Performance that we believe is carrying momentum into the second half of the year
10,"Also factored into our tightened guidance is the fact that we will incur some incremental redundant corporate costs in the second half, as we prepared to spin-off our Electrical business next year"
11,"With an improving top line, continued margin expansion and a stronger balance sheet, we believe the prospects are bright for both our Water and Electrical businesses exiting 2017."
12,Now letâ€™s turn to Slide 5 for a discussion of our second quarter 2017 results
13,"As mentioned, the second quarter performance was in line with our top line expectations and a little better from an income and adjusted EPS standpoint"
14,"Adjusted core sales declined 1% in the quarter, but weâ€™re up 1% for the first half"
15,"This is important to mention, because the pool season heated up in March this year as opposed to April a year ago, resulting in a tough comparison in the second quarter"
16,Segment income grew 6% and operating margins expanded an impressive 170 basis points with both segments delivering margin expansion greater than 100 basis points and corporate expense coming in a little more favorable than weâ€™d anticipated
17,"Weâ€™re pleased with our strong margin expansion, which we were able to deliver despite worse material inflation and price recovery than planned"
18,"Adjusted EPS grew 14% to $1, which exceeded the high end of our guidance by $0.01 despite incurring a slightly higher interest expense and share count during the quarter"
19,Free cash flow of $289 million during the quarter was in line with normal seasonality following the cash usage reported in the first quarter
20,Now letâ€™s turn to Slide 6 for a look at Water performance in Q2.
21,Our Water segment delivered an adjusted core sales decline of 1%
22,Segment income grew 5% and return on sales expanded a very healthy 120 basis points
23,"Our Filtration & Process business saw a core sales decline 3%, and strength in our residential and food service businesses were offset by ongoing softness in global diesel and muted spending in the beer industry"
24,Food service was the bright spot in the quarter growing high single digits on strength in the convenience and grocery store channels
25,Floor technology saw a core sales declined 4% as we continue to proven lower margin product lines and focus on driving margin and cash flow improvement
