,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Jim,Jim,NNP,Xxx
2,"
","
",_SP,"
"
3,Weâ€,Weâ€,NNP,Xxx€
4,™,™,CD,™
5,re,re,NN,xx
6,pleased,please,VBD,xxxx
7,that,that,IN,xxxx
8,our,-PRON-,PRP$,xxx
9,second,second,JJ,xxxx
10,quarter,quarter,NN,xxxx
11,performance,performance,NN,xxxx
12,came,come,VBD,xxxx
13,in,in,RP,xx
14,slightly,slightly,RB,xxxx
15,out,out,IN,xxx
16,of,of,IN,xx
17,our,-PRON-,PRP$,xxx
18,expectations,expectation,NNS,xxxx
19,"
","
",_SP,"
"
20,Sales,sale,NNS,Xxxxx
21,were,be,VBD,xxxx
22,in,in,IN,xx
23,line,line,NN,xxxx
24,with,with,IN,xxxx
25,guidance,guidance,NN,xxxx
26,",",",",",",","
27,while,while,IN,xxxx
28,segment,segment,NN,xxxx
29,income,income,NN,xxxx
30,and,and,CC,xxx
31,adjusted,adjust,VBN,xxxx
32,EPS,EPS,NNP,XXX
33,slightly,slightly,RB,xxxx
34,exceeded,exceed,VBD,xxxx
35,the,the,DT,xxx
36,high,high,JJ,xxxx
37,end,end,NN,xxx
38,of,of,IN,xx
39,our,-PRON-,PRP$,xxx
40,range,range,NN,xxxx
41,"
","
",_SP,"
"
42,We,-PRON-,PRP,Xx
43,completed,complete,VBD,xxxx
44,the,the,DT,xxx
45,sale,sale,NN,xxxx
46,of,of,IN,xx
47,our,-PRON-,PRP$,xxx
48,Valves,Valves,NNPS,Xxxxx
49,&,&,CC,&
50,Controls,Controls,NNP,Xxxxx
51,business,business,NN,xxxx
52,during,during,IN,xxxx
53,the,the,DT,xxx
54,second,second,JJ,xxxx
55,quarter,quarter,NN,xxxx
56,and,and,CC,xxx
57,with,with,IN,xxxx
58,the,the,DT,xxx
59,proceeds,proceed,NNS,xxxx
60,had,have,VBD,xxx
61,significantly,significantly,RB,xxxx
62,improved,improve,VBN,xxxx
63,our,-PRON-,PRP$,xxx
64,balance,balance,NN,xxxx
65,sheet,sheet,NN,xxxx
66,"
","
",_SP,"
"
67,Later,later,RB,Xxxxx
68,in,in,IN,xx
69,the,the,DT,xxx
70,call,call,NN,xxxx
71,John,John,NNP,Xxxx
72,will,will,MD,xxxx
73,discuss,discuss,VB,xxxx
74,the,the,DT,xxx
75,balance,balance,NN,xxxx
76,sheet,sheet,NN,xxxx
77,in,in,IN,xx
78,more,more,JJR,xxxx
79,detail,detail,NN,xxxx
80,and,and,CC,xxx
81,the,the,DT,xxx
82,impact,impact,NN,xxxx
83,of,of,IN,xx
84,the,the,DT,xxx
85,Valves,Valves,NNPS,Xxxxx
86,&,&,CC,&
87,Controls,Controls,NNP,Xxxxx
88,sales,sale,NNS,xxxx
89,closing,close,VBG,xxxx
90,somewhat,somewhat,RB,xxxx
91,later,later,RB,xxxx
92,than,than,IN,xxxx
93,our,-PRON-,PRP$,xxx
94,initial,initial,JJ,xxxx
95,timeline,timeline,NN,xxxx
96,"
","
",_SP,"
"
97,Weâ€,weâ€,NN,Xxx€
98,™,™,CD,™
99,ve,ve,NNP,xx
100,tightened,tighten,VBD,xxxx
101,our,-PRON-,PRP$,xxx
102,full,full,JJ,xxxx
103,year,year,NN,xxxx
104,adjusted,adjust,VBN,xxxx
105,EPS,EPS,NNP,XXX
106,guidance,guidance,NN,xxxx
107,to,to,IN,xx
108,approximately,approximately,RB,xxxx
109,$,$,$,$
