,Sentences
0,"Thanks, Kip"
1,"Good morning, everyone, and welcome to the Quanta Services fourth quarter and yearend 2016 earnings conference call"
2,"On the call, I will provide operational and strategic commentary before turning it over to Derrick Jensen, Quanta's Chief Financial Officer, who'll provide a detailed review of our fourth quarter results"
3,"Following Derrick's comments, we welcome your questions"
4,"We finished 2016 on solid footing, with significant revenue and profitability momentum in the second half of the year"
5,"While I'm pleased with this substantial improvement, we're not satisfied and remain committed to returning our operating margins to historical levels"
6,Our third and fourth quarter results demonstrate progress towards that goal and our commitment to realizing the long-term earnings potential of the company
7,We ended the quarter with record 12-month backlog
8,"I would note that our backlog does not yet include various projects we have been awarded that have ongoing permitting requirements, and which have an aggregate contract value well in excess of $1 billion"
9,We are confident that these projects will move forward and expect to include them in backlog when we have better visibility into final contract terms and probable construction starts
10,The American election and the potential positive impact the new administration's policies could have on our business has created a lot of press and speculation
11,We are hopeful that the regulatory reform will progress and owners permitting and approval processes will ease
12,"It is important to note however, that our end markets and related project opportunities do not rely on government funding to move forward and any additional government infrastructure support is incremental to our positive multi-year outlook"
13,We remain committed to providing dynamic and self-performed infrastructure solutions to improve America's infrastructure
14,"Electric Power segment revenues for the quarter were comparable to the fourth quarter of 2015, however, operating income and margins for the segment showed solid improvement"
15,"We continue to have a positive long-term outlook for our Electric Power segment, and believe we are entering an upward multiyear cycle"
16,The end market drivers we have spoken about for some time continue to spur demand for our Electric Power Infrastructure Services
17,"These drivers, including the need to maintain and replace aging infrastructure, generation mix shifting to more renewables and natural gas and regulation aimed at improving the reliability of the grid, are what we believe will continue to provide opportunities to grow our base business"
18,"Based exclusively on these projects, we are working on and have in backlog, our larger transmission project revenues should increase in 2017 as compared to 2016."
19,"Additionally, we believe larger transmission project awards will likely increase over the next 18 months, and should this occur, could provide improved visibility for the next several years"
20,"I believe we are uniquely well-positioned to provide solutions for these potential projects, some of which are the size and scope the industry has rarely experienced"
21,The macro environment in Canada has been challenging for the past couple of years for both our Electric Power and Oil and Gas operations
22,"However, we are seeing signs of recovery that could have a positive effect going forward, such as the Alberta Utilities Commission approval of the Fort McMurray West 500 kV Transmission Project in Canada, which we expect to start full-scale construction in the second half of this year"
23,"We have adjusted the cost structure of our Canadian operations as we move through these challenges, and we'll continue to do so as necessary"
24,"We are positioned to increase profitability, compete on our track record for safely executing projects on time and on budget, and we remain disciplined on pricing and project risk"
25,It is important to note that we do not operate our business to just accept only what the market brings us
26,We continually strive to innovate our solution offering and remain well ahead of industry trends
27,Our success in doing so over the years has played a critical role in establishing the leadership position we have today
28,I believe our scope and scale and competitive distinction in the markets puts us in a position to provide solutions that our end markets did not have in the past
29,"We've valued the collaborative relationships we have with our customers, and we'll continue to partner with them as they execute their capital deployment plans"
30,Turning to our Oil and Gas segment
31,"Revenues were strong, and operating income and margins increased substantially in the fourth quarter versus the same quarter as last year"
32,"Though we experienced some project timing issues on larger pipe projects during 2016, the year largely played out as we anticipated with the second half of the year being meaningfully stronger than the first, driven by a significant increase in larger pipeline project activity"
33,We have been in active discussions and negotiations on a number of large pipeline projects that depending on construction start timing could give us incremental growth for the second half of 2017.
34,"While we expect to generate more larger pipeline project revenue in 2017 than in 2016, we believe 2018 could be even better and that the next several years could be a very good larger pipeline markets"
35,The vast majority of pipeline opportunities we see are driven by the need to move natural gas from the Marcellus and Utica shale regions to various demand centers
36,"However, we believe out-year larger pipeline projects opportunities could include larger oil and natural gas pipeline projects in Canada"
37,These projects will provide desperately needed takeaway capacity for resources to access various markets in North America and meet the need for natural gas to fuel LNG export projects on the West Coast of Canada
38,"Additionally, development of liquid-rich natural gas formations in the Montney and Duvernay shales is beginning to increase demand for midstream infrastructure that could provide opportunity for us later this year"
39,"If production volumes increase over time, larger pipelines would also be needed to reach various end markets"
40,Quanta's pipeline operating units are some of the most established and respected companies in the industry and are well-positioned to capitalize on these opportunities as market activities increase
41,"In addition to larger pipe projects, we see opportunity for our base business to continue to grow over the coming years"
