,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Kip,Kip,NNP,Xxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,",",",",",",","
9,and,and,CC,xxx
10,welcome,welcome,VB,xxxx
11,to,to,IN,xx
12,the,the,DT,xxx
13,Quanta,Quanta,NNP,Xxxxx
14,Services,Services,NNPS,Xxxxx
15,fourth,fourth,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,and,and,CC,xxx
18,yearend,yearend,VB,xxxx
19,2016,2016,CD,dddd
20,earnings,earning,NNS,xxxx
21,conference,conference,NN,xxxx
22,call,call,NN,xxxx
23,"
","
",_SP,"
"
24,On,on,IN,Xx
25,the,the,DT,xxx
26,call,call,NN,xxxx
27,",",",",",",","
28,I,-PRON-,PRP,X
29,will,will,MD,xxxx
30,provide,provide,VB,xxxx
31,operational,operational,JJ,xxxx
32,and,and,CC,xxx
33,strategic,strategic,JJ,xxxx
34,commentary,commentary,NN,xxxx
35,before,before,IN,xxxx
36,turning,turn,VBG,xxxx
37,it,-PRON-,PRP,xx
38,over,over,RP,xxxx
39,to,to,IN,xx
40,Derrick,Derrick,NNP,Xxxxx
41,Jensen,Jensen,NNP,Xxxxx
42,",",",",",",","
43,Quanta,Quanta,NNP,Xxxxx
44,'s,'s,POS,'x
45,Chief,Chief,NNP,Xxxxx
46,Financial,Financial,NNP,Xxxxx
47,Officer,Officer,NNP,Xxxxx
48,",",",",",",","
49,who,who,WP,xxx
50,'ll,will,MD,'xx
51,provide,provide,VB,xxxx
52,a,a,DT,x
53,detailed,detailed,JJ,xxxx
54,review,review,NN,xxxx
55,of,of,IN,xx
56,our,-PRON-,PRP$,xxx
57,fourth,fourth,JJ,xxxx
58,quarter,quarter,NN,xxxx
59,results,result,NNS,xxxx
60,"
","
",_SP,"
"
61,Following,follow,VBG,Xxxxx
62,Derrick,Derrick,NNP,Xxxxx
63,'s,'s,POS,'x
64,comments,comment,NNS,xxxx
65,",",",",",",","
66,we,-PRON-,PRP,xx
67,welcome,welcome,VBP,xxxx
68,your,-PRON-,PRP$,xxxx
