,Word,Lemma,POSTag,Shape
0,I,-PRON-,PRP,X
1,have,have,VBP,xxxx
2,a,a,DT,x
3,few,few,JJ,xxx
4,opening,opening,NN,xxxx
5,remarks,remark,NNS,xxxx
6,",",",",",",","
7,starting,start,VBG,xxxx
8,with,with,IN,xxxx
9,the,the,DT,xxx
10,first,first,JJ,xxxx
11,quarter,quarter,NN,xxxx
12,highlights,highlight,NNS,xxxx
13,"
","
",_SP,"
"
14,And,and,CC,Xxx
15,then,then,RB,xxxx
16,we,-PRON-,PRP,xx
17,'ll,will,MD,'xx
18,move,move,VB,xxxx
19,on,on,RP,xx
20,to,to,IN,xx
21,questions,question,NNS,xxxx
22,"
","
",_SP,"
"
23,During,during,IN,Xxxxx
24,my,-PRON-,PRP$,xx
25,remarks,remark,NNS,xxxx
26,",",",",",",","
27,I,-PRON-,PRP,X
28,'ll,will,MD,'xx
29,be,be,VB,xx
30,referring,refer,VBG,xxxx
31,to,to,IN,xx
32,the,the,DT,xxx
33,web,web,NN,xxx
34,slides,slide,NNS,xxxx
35,that,that,IN,xxxx
36,we,-PRON-,PRP,xx
37,issued,issue,VBD,xxxx
38,earlier,earlier,RBR,xxxx
39,this,this,DT,xxxx
40,morning,morning,NN,xxxx
41,"
","
",_SP,"
"
42,If,if,IN,Xx
43,everyone,everyone,NN,xxxx
44,would,would,MD,xxxx
45,turn,turn,VB,xxxx
46,to,to,IN,xx
47,page,page,NN,xxxx
48,3,3,CD,d
49,.,.,.,.
50,We,-PRON-,PRP,Xx
51,are,be,VBP,xxx
52,pleased,pleased,JJ,xxxx
53,with,with,IN,xxxx
54,the,the,DT,xxx
55,solid,solid,JJ,xxxx
56,performance,performance,NN,xxxx
57,the,the,DT,xxx
58,team,team,NN,xxxx
59,delivered,deliver,VBD,xxxx
60,in,in,IN,xx
61,the,the,DT,xxx
62,first,first,JJ,xxxx
63,quarter,quarter,NN,xxxx
64,with,with,IN,xxxx
65,bookings,booking,NNS,xxxx
66,",",",",",",","
67,sales,sale,NNS,xxxx
68,and,and,CC,xxx
69,EPS,EPS,NNP,XXX
70,better,better,RBR,xxxx
71,than,than,IN,xxxx
72,our,-PRON-,PRP$,xxx
73,expectations,expectation,NNS,xxxx
74,"
","
",_SP,"
"
75,After,after,IN,Xxxxx
76,this,this,DT,xxxx
77,good,good,JJ,xxxx
78,start,start,NN,xxxx
79,",",",",",",","
80,we,-PRON-,PRP,xx
81,'re,be,VBP,'xx
82,raising,raise,VBG,xxxx
83,our,-PRON-,PRP$,xxx
84,full,full,JJ,xxxx
85,year,year,NN,xxxx
86,outlook,outlook,NN,xxxx
87,for,for,IN,xxx
88,all,all,DT,xxx
89,three,three,CD,xxxx
90,of,of,IN,xx
91,these,these,DT,xxxx
92,measures,measure,NNS,xxxx
93,",",",",",",","
94,which,which,WDT,xxxx
95,I,-PRON-,PRP,X
96,'ll,will,MD,'xx
97,discuss,discuss,VB,xxxx
98,further,further,RBR,xxxx
99,in,in,IN,xx
100,just,just,RB,xxxx
101,a,a,DT,x
102,few,few,JJ,xxx
103,minutes,minute,NNS,xxxx
104,"
","
",_SP,"
"
105,We,-PRON-,PRP,Xx
106,had,have,VBD,xxx
107,solid,solid,JJ,xxxx
108,bookings,booking,NNS,xxxx
109,in,in,IN,xx
110,the,the,DT,xxx
111,first,first,JJ,xxxx
112,quarter,quarter,NN,xxxx
113,of,of,IN,xx
114,$,$,$,$
115,5.7,5.7,CD,d.d
116,billion,billion,CD,xxxx
117,and,and,CC,xxx
118,sales,sale,NNS,xxxx
119,in,in,IN,xx
120,the,the,DT,xxx
121,quarter,quarter,NN,xxxx
122,were,be,VBD,xxxx
123,$,$,$,$
124,6,6,CD,d
125,billion,billion,CD,xxxx
126,",",",",",",","
127,up,up,RB,xx
128,3.4,3.4,CD,d.d
129,%,%,NN,%
130,",",",",",",","
131,led,lead,VBN,xxx
132,by,by,IN,xx
133,our,-PRON-,PRP$,xxx
134,IDS,IDS,NNP,XXX
135,and,and,CC,xxx
136,SAS,SAS,NNP,XXX
137,businesses,business,NNS,xxxx
138,"
","
",_SP,"
"
139,Our,-PRON-,PRP$,Xxx
140,EPS,eps,NN,XXX
141,from,from,IN,xxxx
142,continuing,continue,VBG,xxxx
143,operations,operation,NNS,xxxx
144,was,be,VBD,xxx
145,$,$,$,$
146,1.73,1.73,CD,d.dd
147,which,which,WDT,xxxx
148,I,-PRON-,PRP,X
149,'ll,will,MD,'xx
150,give,give,VB,xxxx
151,a,a,DT,x
152,little,little,RB,xxxx
153,more,more,JJR,xxxx
154,color,color,NN,xxxx
155,on,on,IN,xx
156,in,in,IN,xx
157,just,just,RB,xxxx
158,a,a,DT,x
159,moment,moment,NN,xxxx
160,"
","
",_SP,"
"
161,During,during,IN,Xxxxx
162,the,the,DT,xxx
163,quarter,quarter,NN,xxxx
164,",",",",",",","
165,the,the,DT,xxx
166,company,company,NN,xxxx
167,repurchased,repurchase,VBD,xxxx
168,2.7,2.7,CD,d.d
169,million,million,CD,xxxx
170,shares,share,NNS,xxxx
171,of,of,IN,xx
172,common,common,JJ,xxxx
173,stock,stock,NN,xxxx
174,for,for,IN,xxx
175,$,$,$,$
176,400,400,CD,ddd
177,million,million,CD,xxxx
178,"
","
",_SP,"
"
179,And,and,CC,Xxx
180,as,as,IN,xx
181,a,a,DT,x
182,reminder,reminder,NN,xxxx
183,",",",",",",","
184,effective,effective,JJ,xxxx
185,January,January,NNP,Xxxxx
186,1,1,CD,d
187,",",",",",",","
188,2017,2017,CD,dddd
189,",",",",",",","
190,we,-PRON-,PRP,xx
191,adopted,adopt,VBD,xxxx
192,the,the,DT,xxx
193,new,new,JJ,xxx
194,revenue,revenue,NN,xxxx
195,recognition,recognition,NN,xxxx
196,standard,standard,NN,xxxx
197,"
","
",_SP,"
"
198,The,the,DT,Xxx
199,2016,2016,CD,dddd
200,results,result,NNS,xxxx
201,have,have,VBP,xxxx
202,been,be,VBN,xxxx
203,recast,recast,VBN,xxxx
204,to,to,TO,xx
205,reflect,reflect,VB,xxxx
206,this,this,DT,xxxx
207,change,change,NN,xxxx
208,"
","
",_SP,"
"
209,Turning,turn,VBG,Xxxxx
210,now,now,RB,xxx
211,to,to,TO,xx
212,page,page,VB,xxxx
213,4,4,CD,d
214,.,.,.,.
215,Let,let,VB,Xxx
216,me,-PRON-,PRP,xx
217,start,start,VB,xxxx
218,by,by,IN,xx
219,providing,provide,VBG,xxxx
220,some,some,DT,xxxx
221,detail,detail,NN,xxxx
222,on,on,IN,xx
223,our,-PRON-,PRP$,xxx
224,first,first,JJ,xxxx
225,quarter,quarter,NN,xxxx
226,results,result,NNS,xxxx
227,"
","
",_SP,"
"
228,Company,company,NN,Xxxxx
229,bookings,booking,NNS,xxxx
230,for,for,IN,xxx
231,the,the,DT,xxx
232,first,first,JJ,xxxx
233,quarter,quarter,NN,xxxx
234,were,be,VBD,xxxx
235,$,$,$,$
236,5.7,5.7,CD,d.d
237,billion,billion,CD,xxxx
238,",",",",",",","
239,which,which,WDT,xxxx
240,were,be,VBD,xxxx
241,ahead,ahead,RB,xxxx
242,of,of,IN,xx
243,our,-PRON-,PRP$,xxx
244,expectations,expectation,NNS,xxxx
245,and,and,CC,xxx
246,down,down,RB,xxxx
247,slightly,slightly,RB,xxxx
248,from,from,IN,xxxx
249,the,the,DT,xxx
250,same,same,JJ,xxxx
251,period,period,NN,xxxx
252,last,last,JJ,xxxx
253,year,year,NN,xxxx
254,"
","
",_SP,"
"
255,And,and,CC,Xxx
256,on,on,IN,xx
257,a,a,DT,x
258,trailing,trail,VBG,xxxx
259,four,four,CD,xxxx
260,quarter,quarter,NN,xxxx
261,basis,basis,NN,xxxx
262,",",",",",",","
263,our,-PRON-,PRP$,xxx
264,total,total,JJ,xxxx
265,book,book,NN,xxxx
266,-,-,HYPH,-
267,to,to,IN,xx
268,-,-,HYPH,-
269,bill,bill,NN,xxxx
270,ratio,ratio,NN,xxxx
271,is,be,VBZ,xx
272,1.12,1.12,CD,d.dd
273,.,.,.,.
274,International,international,JJ,Xxxxx
275,awards,award,NNS,xxxx
276,represented,represent,VBD,xxxx
277,33,33,CD,dd
278,%,%,NN,%
279,of,of,IN,xx
280,the,the,DT,xxx
281,total,total,JJ,xxxx
282,bookings,booking,NNS,xxxx
283,",",",",",",","
284,an,an,DT,xx
285,increase,increase,NN,xxxx
286,of,of,IN,xx
287,approximately,approximately,RB,xxxx
288,14,14,CD,dd
289,%,%,NN,%
290,over,over,IN,xxxx
291,last,last,JJ,xxxx
292,year,year,NN,xxxx
293,'s,'s,POS,'x
294,first,first,JJ,xxxx
295,quarter,quarter,NN,xxxx
296,"
","
",_SP,"
"
297,A,a,DT,X
298,couple,couple,NN,xxxx
299,of,of,IN,xx
300,key,key,JJ,xxx
301,bookings,booking,NNS,xxxx
302,in,in,IN,xx
303,the,the,DT,xxx
304,first,first,JJ,xxxx
305,quarter,quarter,NN,xxxx
306,included,include,VBD,xxxx
307,the,the,DT,xxx
308,$,$,$,$
309,1,1,CD,d
310,billion,billion,CD,xxxx
311,award,award,NN,xxxx
312,for,for,IN,xxx
313,the,the,DT,xxx
314,upgraded,upgraded,JJ,xxxx
315,early,early,JJ,xxxx
316,warning,warning,NN,xxxx
317,radar,radar,NN,xxxx
318,for,for,IN,xxx
319,Qatar,Qatar,NNP,Xxxxx
320,at,at,IN,xx
321,IDS,IDS,NNP,XXX
322,",",",",",",","
323,$,$,$,$
324,256,256,CD,ddd
325,million,million,CD,xxxx
326,for,for,IN,xxx
327,active,active,JJ,xxxx
328,electronically,electronically,RB,xxxx
329,scanned,scan,VBN,xxxx
330,array,array,NN,xxxx
331,radars,radar,NNS,xxxx
332,at,at,IN,xx
333,SAS,SAS,NNP,XXX
334,",",",",",",","
335,and,and,CC,xxx
336,at,at,IN,xx
337,missiles,missile,NNS,xxxx
338,over,over,IN,xxxx
339,$,$,$,$
340,200,200,CD,ddd
341,million,million,CD,xxxx
342,on,on,IN,xx
343,AIM-9X,AIM-9X,NNP,XXX-dX
344,Sidewinder,sidewinder,VB,Xxxxx
345,short,short,JJ,xxxx
346,-,-,HYPH,-
347,range,range,NN,xxxx
348,air,air,NN,xxx
349,-,-,HYPH,-
350,to,to,IN,xx
351,-,-,HYPH,-
352,air,air,NN,xxx
353,missiles,missile,NNS,xxxx
354,"
","
",_SP,"
"
355,Backlog,backlog,NN,Xxxxx
356,at,at,IN,xx
357,the,the,DT,xxx
358,end,end,NN,xxx
359,of,of,IN,xx
360,the,the,DT,xxx
361,first,first,JJ,xxxx
362,quarter,quarter,NN,xxxx
363,was,be,VBD,xxx
364,$,$,$,$
365,36.1,36.1,CD,dd.d
366,billion,billion,CD,xxxx
367,",",",",",",","
368,an,an,DT,xx
369,increase,increase,NN,xxxx
370,of,of,IN,xx
371,approximately,approximately,RB,xxxx
372,$,$,$,$
373,1.9,1.9,CD,d.d
374,billion,billion,CD,xxxx
375,or,or,CC,xx
376,5.5,5.5,CD,d.d
377,%,%,NN,%
378,compared,compare,VBN,xxxx
379,to,to,IN,xx
380,the,the,DT,xxx
381,first,first,JJ,xxxx
382,quarter,quarter,NN,xxxx
383,2016,2016,CD,dddd
384,.,.,.,.
385,It,-PRON-,PRP,Xx
386,'s,be,VBZ,'x
387,worth,worth,JJ,xxxx
388,noting,note,VBG,xxxx
389,that,that,IN,xxxx
390,approximately,approximately,RB,xxxx
391,41,41,CD,dd
392,%,%,NN,%
393,of,of,IN,xx
394,our,-PRON-,PRP$,xxx
395,backlog,backlog,NN,xxxx
396,is,be,VBZ,xx
397,comprised,comprise,VBN,xxxx
398,of,of,IN,xx
399,international,international,JJ,xxxx
400,programs,program,NNS,xxxx
401,"
","
",_SP,"
"
402,We,-PRON-,PRP,Xx
403,now,now,RB,xxx
404,move,move,VBP,xxxx
405,to,to,TO,xx
406,page,page,VB,xxxx
407,5,5,CD,d
408,.,.,.,.
409,As,as,IN,Xx
410,I,-PRON-,PRP,X
411,just,just,RB,xxxx
412,mentioned,mention,VBD,xxxx
413,",",",",",",","
414,for,for,IN,xxx
415,the,the,DT,xxx
416,first,first,JJ,xxxx
417,quarter,quarter,NN,xxxx
418,2017,2017,CD,dddd
419,",",",",",",","
420,sales,sale,NNS,xxxx
421,were,be,VBD,xxxx
422,higher,high,JJR,xxxx
423,than,than,IN,xxxx
424,the,the,DT,xxx
425,guidance,guidance,NN,xxxx
426,we,-PRON-,PRP,xx
427,set,set,VBD,xxx
428,in,in,IN,xx
429,January,January,NNP,Xxxxx
