,Sentences
0,"Thanks, Tom"
1,"I have a few opening remarks, starting with the third quarter highlights"
2,And then we'll move on to questions
3,"During my remarks, I'll be referring to the web slides that we issued earlier this morning"
4,If everyone would please turn to page 3.
5,"We are pleased with the strong performance the team delivered in the third quarter, with bookings, sales, EPS and operating cash flow all at or better than our expectations"
6,"We had strong bookings in the third quarter of $7 billion, resulting in a book-to-bill ratio of 1.11."
7,"Sales were $6.3 billion in the quarter, up 4.5% with growth across all of our businesses"
8,"Our EPS from continuing operations was $1.97, which I'll give a little more color on in a few minutes"
9,We generated solid operating cash flow of $382 million in the third quarter
10,"Operating cash flow was lower than last year's third quarter, as expected, primarily due to higher required pension contributions in the third quarter 2017."
11,This was partially offset by the timing of collections
12,"During the quarter, the company repurchased 1.1 million shares of common stock for $200 million, bringing the year-to-date share repurchase to 4.4 million shares for $700 million"
13,"I also want to point out, based on our strong performance to date, that we're raising our full-year 2017 outlook for bookings and EPS that we provided in July"
14,"We are also updating the expected sales growth range from 4% to 6% to 5% to 6%, as well as making other updates"
15,I'll discuss guidance further in just a few minutes
16,"Turning now to page 4, let me start by providing some detail on our third quarter results"
17,Company bookings continue to be strong
18,"For the third quarter, bookings were $7 billion, and on a year-to-date basis, were $19.2 billion"
19,"It's worth noting that on a trailing four-quarter basis, our book-to-bill ratio was 1.08."
20,"Total backlog at the end of the third quarter was $36.7 billion, an increase of approximately $950 million compared to the end of the third quarter 2016."
21,"If you'd now move to page 5, third quarter 2017 sales were in line with the guidance we set in July"
22,Our international sales were approximately 32% of total sales
23,Looking now at sales by business
24,"IDS had third quarter 2017 net sales of $1.4 billion, up 4% compared with the same quarter last year"
25,The increase in net sales for the quarter was driven primarily by higher net sales on an International Early Warning Radar Program
26,Missile Systems had third quarter 2017 net sales of $1.9 billion
27,The 10% increase from the third quarter 2016 was primarily due to the Paveway and Excalibur programs
28,"And at IIS, SAS and Forcepoint, sales were up slightly compared with the same period last year"
29,Moving ahead to page 6.
30,"Overall, the company continues to perform well"
31,Our operating margin was 13.7% for the total company and 13% on a business segment basis
32,So looking now at the business margins
33,"IDS third quarter 2017 operating margin was strong at 16.6%, an increase of 80 basis points year-over-year"
34,The increase was driven by improved program performance
35,"The decrease in operating margin at IIS in the third quarter compared with the same period last year, as expected, was primarily driven by a change in program mix and other performance"
36,"Missiles margin was up 110 basis points in the quarter compared with the same period last year, primarily driven by higher net program efficiencies"
37,"This increase was driven by favorable adjustments on a couple of international contracts due to a change in requirements, partially offset by an unfavorable contract modification"
38,SAS operating margin was in line with last year's third quarter
39,"And at Forcepoint, the third quarter 2017 operating margin, as expected, was lower than last year's comparable quarter primarily due to investments to expand the sales force capacity, increase the new business pipeline and improve brand awareness"
40,"Additionally, I want to point out that our third quarter operating income was unfavorably impacted by $26 million for the annual actuarial update to our pension plans"
41,I'll touch on this more in a minute
42,Turning now to page 7.
43,Third quarter 2017
44,"EPS was $1.97, better than expected, primarily driven by strong margin performance as we accelerated some program efficiencies that were previously expected later in the year"
45,"On page 8, as I mentioned earlier, we are updating the company's financial outlook for 2017 to reflect our improved operating performance to date and our expectations for the fourth quarter"
46,"We have increased the low end of our full year 2017 net sales by $200 million and we now expect net sales to be between $25.3 billion and $25.6 billion, up 5% to 6% from 2016."
47,The increase over 2016 is driven by growth in both our domestic and international business
48,"As I just mentioned, and as we have done in prior years, during the third quarter, we updated our actuarial estimates related to our pension plans"
49,"As a result of this update, the FAS/CAS adjustment for the year decreased by $39 million from $428 million to $389 million or an unfavorable impact of approximately $0.09 per share"
50,"Again, $26 million or $0.06 per share was recorded in the third quarter 2017 and $13 million or $0.03 per share is expected to be recorded in the fourth quarter 2017."
51,Turning to share count
52,"We continue to see our average diluted shares outstanding at approximately 292 million shares for 2017, a 2% year-over-year reduction, consistent with what we said in July"
