,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Don,Don,NNP,Xxx
3,"
","
",_SP,"
"
4,Second,second,JJ,Xxxxx
5,quarter,quarter,NN,xxxx
6,revenue,revenue,NN,xxxx
7,was,be,VBD,xxx
8,approximately,approximately,RB,xxxx
9,$,$,$,$
10,2.5,2.5,CD,d.d
11,billion,billion,CD,xxxx
12,",",",",",",","
13,an,an,DT,xx
14,increase,increase,NN,xxxx
15,of,of,IN,xx
16,$,$,$,$
17,176,176,CD,ddd
18,million,million,CD,xxxx
19,or,or,CC,xx
20,7.5,7.5,CD,d.d
21,%,%,NN,%
22,over,over,IN,xxxx
23,the,the,DT,xxx
24,prior,prior,JJ,xxxx
25,year,year,NN,xxxx
26,This,this,DT,Xxxx
27,7.5,7.5,CD,d.d
28,%,%,NN,%
29,increase,increase,NN,xxxx
30,in,in,IN,xx
31,revenue,revenue,NN,xxxx
32,includes,include,VBZ,xxxx
33,internal,internal,JJ,xxxx
34,growth,growth,NN,xxxx
35,of,of,IN,xx
36,7.2,7.2,CD,d.d
37,%,%,NN,%
38,and,and,CC,xxx
39,acquisitions,acquisition,NNS,xxxx
40,of,of,IN,xx
41,30,30,CD,dd
42,basis,basis,NN,xxxx
43,points,point,NNS,xxxx
44,"
","
",_SP,"
"
45,The,the,DT,Xxx
46,components,component,NNS,xxxx
47,of,of,IN,xx
48,internal,internal,JJ,xxxx
49,growth,growth,NN,xxxx
50,are,be,VBP,xxx
51,as,as,IN,xx
52,follows,follow,VBZ,xxxx
53,:,:,:,:
54,First,first,JJ,Xxxxx
55,",",",",",",","
56,average,average,JJ,xxxx
57,yield,yield,NN,xxxx
58,increased,increase,VBD,xxxx
59,2.5,2.5,CD,d.d
60,%,%,NN,%
61,"
","
",_SP,"
"
62,Average,average,JJ,Xxxxx
63,yield,yield,NN,xxxx
64,in,in,IN,xx
65,the,the,DT,xxx
66,collection,collection,NN,xxxx
67,business,business,NN,xxxx
68,was,be,VBD,xxx
69,3.1,3.1,CD,d.d
70,%,%,NN,%
71,",",",",",",","
72,which,which,WDT,xxxx
73,included,include,VBD,xxxx
74,4.2,4.2,CD,d.d
75,%,%,NN,%
76,yield,yield,NN,xxxx
77,in,in,IN,xx
78,the,the,DT,xxx
79,small,small,JJ,xxxx
80,container,container,NN,xxxx
81,business,business,NN,xxxx
82,",",",",",",","
83,3,3,CD,d
84,%,%,NN,%
85,yield,yield,NN,xxxx
86,in,in,IN,xx
87,the,the,DT,xxx
88,large,large,JJ,xxxx
89,container,container,NN,xxxx
90,business,business,NN,xxxx
91,and,and,CC,xxx
92,1.9,1.9,CD,d.d
93,%,%,NN,%
94,yield,yield,NN,xxxx
95,in,in,IN,xx
96,the,the,DT,xxx
97,residential,residential,JJ,xxxx
98,business,business,NN,xxxx
99,"
","
",_SP,"
"
100,Average,average,JJ,Xxxxx
101,yield,yield,NN,xxxx
102,in,in,IN,xx
103,the,the,DT,xxx
104,post,post,JJ,xxxx
105,-,-,JJ,-
106,collection,collection,JJ,xxxx
107,business,business,NN,xxxx
108,was,be,VBD,xxx
109,80,80,CD,dd
110,basis,basis,NN,xxxx
111,points,point,NNS,xxxx
112,",",",",",",","
113,which,which,WDT,xxxx
114,included,include,VBD,xxxx
115,landfill,landfill,NN,xxxx
116,MSW,MSW,NNP,XXX
117,of,of,IN,xx
118,1.8,1.8,CD,d.d
119,%,%,NN,%
120,"
","
",_SP,"
"
121,A,a,DT,X
122,majority,majority,NN,xxxx
123,of,of,IN,xx
124,our,-PRON-,PRP$,xxx
125,third,third,JJ,xxxx
126,-,-,HYPH,-
127,party,party,NN,xxxx
128,landfill,landfill,NN,xxxx
129,MSW,MSW,NNP,XXX
130,business,business,NN,xxxx
131,is,be,VBZ,xx
132,with,with,IN,xxxx
133,municipal,municipal,JJ,xxxx
134,customers,customer,NNS,xxxx
135,that,that,WDT,xxxx
136,have,have,VBP,xxxx
137,contracts,contract,NNS,xxxx
138,containing,contain,VBG,xxxx
139,pricing,pricing,NN,xxxx
140,restrictions,restriction,NNS,xxxx
141,"
","
",_SP,"
"
142,Total,total,JJ,Xxxxx
143,core,core,NN,xxxx
144,price,price,NN,xxxx
145,",",",",",",","
146,which,which,WDT,xxxx
147,measures,measure,VBZ,xxxx
148,price,price,NN,xxxx
149,increases,increase,VBZ,xxxx
150,less,less,JJR,xxxx
151,rollbacks,rollback,NNS,xxxx
152,",",",",",",","
153,was,be,VBD,xxx
154,4.1,4.1,CD,d.d
155,%,%,NN,%
156,"
","
",_SP,"
"
157,Core,core,NN,Xxxx
158,price,price,NN,xxxx
159,consisted,consist,VBD,xxxx
160,of,of,IN,xx
161,5.3,5.3,CD,d.d
162,%,%,NN,%
163,in,in,IN,xx
164,the,the,DT,xxx
165,open,open,JJ,xxxx
166,market,market,NN,xxxx
167,and,and,CC,xxx
168,2.2,2.2,CD,d.d
169,%,%,NN,%
170,in,in,IN,xx
171,the,the,DT,xxx
172,restricted,restricted,JJ,xxxx
173,portion,portion,NN,xxxx
174,of,of,IN,xx
175,our,-PRON-,PRP$,xxx
176,business,business,NN,xxxx
177,"
","
",_SP,"
"
178,Pricing,price,VBG,Xxxxx
179,in,in,IN,xx
180,the,the,DT,xxx
181,restricted,restricted,JJ,xxxx
182,portion,portion,NN,xxxx
183,of,of,IN,xx
184,our,-PRON-,PRP$,xxx
185,business,business,NN,xxxx
186,benefited,benefit,VBN,xxxx
187,from,from,IN,xxxx
188,an,an,DT,xx
189,improved,improved,JJ,xxxx
190,inflationary,inflationary,JJ,xxxx
191,environment,environment,NN,xxxx
192,and,and,CC,xxx
193,our,-PRON-,PRP$,xxx
194,focus,focus,NN,xxxx
195,on,on,IN,xx
196,earning,earn,VBG,xxxx
197,an,an,DT,xx
198,appropriate,appropriate,JJ,xxxx
199,return,return,NN,xxxx
200,on,on,IN,xx
201,our,-PRON-,PRP$,xxx
202,contracts,contract,NNS,xxxx
203,as,as,IN,xx
204,they,-PRON-,PRP,xxxx
205,renew,renew,VBP,xxxx
206,"
","
",_SP,"
"
207,The,the,DT,Xxx
208,second,second,JJ,xxxx
209,component,component,NN,xxxx
210,of,of,IN,xx
211,internal,internal,JJ,xxxx
212,growth,growth,NN,xxxx
213,is,be,VBZ,xx
214,total,total,JJ,xxxx
215,volume,volume,NN,xxxx
216,",",",",",",","
217,which,which,WDT,xxxx
218,increased,increase,VBD,xxxx
219,1.9,1.9,CD,d.d
220,%,%,NN,%
221,over,over,IN,xxxx
222,the,the,DT,xxx
223,prior,prior,JJ,xxxx
224,year,year,NN,xxxx
225,"
","
",_SP,"
"
226,Volumes,volume,NNS,Xxxxx
227,in,in,IN,xx
228,the,the,DT,xxx
229,collection,collection,NN,xxxx
230,business,business,NN,xxxx
231,increased,increase,VBD,xxxx
232,40,40,CD,dd
233,basis,basis,NN,xxxx
234,points,point,NNS,xxxx
235,"
","
",_SP,"
"
236,This,this,DT,Xxxx
237,included,include,VBD,xxxx
238,a,a,DT,x
239,1.9,1.9,CD,d.d
240,%,%,NN,%
241,increase,increase,NN,xxxx
242,in,in,IN,xx
243,our,-PRON-,PRP$,xxx
244,large,large,JJ,xxxx
245,container,container,NN,xxxx
246,business,business,NN,xxxx
247,and,and,CC,xxx
248,a,a,DT,x
249,50,50,CD,dd
250,basis,basis,NN,xxxx
251,point,point,NN,xxxx
252,increase,increase,NN,xxxx
253,in,in,IN,xx
254,our,-PRON-,PRP$,xxx
255,residential,residential,JJ,xxxx
256,business,business,NN,xxxx
257,",",",",",",","
258,partially,partially,RB,xxxx
259,offset,offset,VBN,xxxx
260,by,by,IN,xx
261,a,a,DT,x
262,90,90,CD,dd
263,basis,basis,NN,xxxx
264,point,point,NN,xxxx
265,decrease,decrease,NN,xxxx
266,in,in,IN,xx
267,our,-PRON-,PRP$,xxx
268,small,small,JJ,xxxx
269,container,container,NN,xxxx
270,business,business,NN,xxxx
271,"
","
",_SP,"
"
272,Small,small,JJ,Xxxxx
273,container,container,NN,xxxx
274,volumes,volume,NNS,xxxx
275,included,include,VBD,xxxx
276,a,a,DT,x
277,140,140,CD,ddd
278,basis,basis,NN,xxxx
279,point,point,NN,xxxx
280,impact,impact,NN,xxxx
281,from,from,IN,xxxx
282,intentionally,intentionally,RB,xxxx
283,shedding,shed,VBG,xxxx
284,certain,certain,JJ,xxxx
285,work,work,NN,xxxx
286,performed,perform,VBN,xxxx
287,on,on,IN,xx
288,behalf,behalf,NN,xxxx
289,of,of,IN,xx
290,brokers,broker,NNS,xxxx
291,",",",",",",","
292,which,which,WDT,xxxx
293,we,-PRON-,PRP,xx
294,view,view,VBP,xxxx
295,as,as,IN,xx
296,non,non,JJ,xxx
297,-,-,JJ,-
298,regrettable,regrettable,JJ,xxxx
299,"
","
",_SP,"
"
300,Excluding,exclude,VBG,Xxxxx
301,these,these,DT,xxxx
302,losses,loss,NNS,xxxx
303,",",",",",",","
304,small,small,JJ,xxxx
305,container,container,NN,xxxx
306,volumes,volume,NNS,xxxx
307,would,would,MD,xxxx
308,have,have,VB,xxxx
309,increased,increase,VBN,xxxx
310,50,50,CD,dd
311,basis,basis,NN,xxxx
312,points,point,NNS,xxxx
313,"
","
",_SP,"
"
314,Within,within,IN,Xxxxx
315,our,-PRON-,PRP$,xxx
316,large,large,JJ,xxxx
317,container,container,NN,xxxx
318,business,business,NN,xxxx
319,",",",",",",","
320,temporary,temporary,JJ,xxxx
321,C&D,C&D,NNP,X&X
322,hauls,haul,NNS,xxxx
323,were,be,VBD,xxxx
324,up,up,RB,xx
325,1.7,1.7,CD,d.d
326,%,%,NN,%
327,and,and,CC,xxx
328,recurring,recur,VBG,xxxx
329,hauls,haul,NNS,xxxx
330,were,be,VBD,xxxx
331,up,up,RB,xx
332,1.9,1.9,CD,d.d
333,%,%,NN,%
334,"
","
",_SP,"
"
335,The,the,DT,Xxx
336,post,post,JJ,xxxx
337,-,-,JJ,-
338,collection,collection,JJ,xxxx
339,business,business,NN,xxxx
340,",",",",",",","
341,made,make,VBN,xxxx
342,up,up,RP,xx
343,of,of,IN,xx
344,third,third,JJ,xxxx
345,-,-,HYPH,-
346,party,party,NN,xxxx
347,landfill,landfill,NN,xxxx
348,and,and,CC,xxx
349,transfer,transfer,NN,xxxx
350,station,station,NN,xxxx
351,volumes,volume,NNS,xxxx
352,",",",",",",","
353,increased,increase,VBD,xxxx
354,8.7,8.7,CD,d.d
355,%,%,NN,%
356,"
","
",_SP,"
"
357,Landfill,landfill,NN,Xxxxx
358,volumes,volume,NNS,xxxx
359,increased,increase,VBD,xxxx
360,8.4,8.4,CD,d.d
361,%,%,NN,%
362,which,which,WDT,xxxx
363,included,include,VBD,xxxx
364,C&D,C&D,NNP,X&X
365,of,of,IN,xx
366,17.5,17.5,CD,dd.d
367,%,%,NN,%
368,",",",",",",","
369,special,special,JJ,xxxx
370,waste,waste,NN,xxxx
371,of,of,IN,xx
372,15,15,CD,dd
373,%,%,NN,%
374,and,and,CC,xxx
375,MSW,MSW,NNP,XXX
376,of,of,IN,xx
377,1.1,1.1,CD,d.d
378,%,%,NN,%
379,"
","
",_SP,"
"
380,The,the,DT,Xxx
381,third,third,JJ,xxxx
382,component,component,NN,xxxx
383,of,of,IN,xx
384,internal,internal,JJ,xxxx
385,growth,growth,NN,xxxx
386,is,be,VBZ,xx
387,fuel,fuel,NN,xxxx
388,recovery,recovery,NN,xxxx
389,fees,fee,NNS,xxxx
390,",",",",",",","
391,which,which,WDT,xxxx
392,increased,increase,VBD,xxxx
393,60,60,CD,dd
394,basis,basis,NN,xxxx
395,points,point,NNS,xxxx
396,"
","
",_SP,"
"
397,The,the,DT,Xxx
398,increase,increase,NN,xxxx
399,relates,relate,VBZ,xxxx
400,to,to,IN,xx
401,a,a,DT,x
402,rise,rise,NN,xxxx
403,in,in,IN,xx
404,the,the,DT,xxx
405,cost,cost,NN,xxxx
406,of,of,IN,xx
407,fuel,fuel,NN,xxxx
408,"
","
",_SP,"
"
409,The,the,DT,Xxx
410,average,average,JJ,xxxx
411,price,price,NN,xxxx
412,per,per,IN,xxx
413,gallon,gallon,NN,xxxx
414,of,of,IN,xx
415,diesel,diesel,NN,xxxx
416,increased,increase,VBD,xxxx
417,to,to,IN,xx
418,$,$,$,$
419,2.55,2.55,CD,d.dd
420,in,in,IN,xx
421,the,the,DT,xxx
422,second,second,JJ,xxxx
423,quarter,quarter,NN,xxxx
424,from,from,IN,xxxx
425,$,$,$,$
426,2.30,2.30,CD,d.dd
427,in,in,IN,xx
