,Sentences
0,"Thank you, Blake and good morning everyone"
1,Iâ€™ll start my comments on page four which is the first quarter key financial information
2,"Sales in the quarter were $1,490 million, an increase of 4.5% compared to Q1 last year"
3,Sales increased 3.8% on an organic basis
4,Acquisitions contributed 1.8% to growth and currency translations reduced sales in the quarter by 1.1%
5,"Segment operating margin was 21.2%, 50 basis points higher than Q1 last year and primarily due to higher sales and lower spending and despite the restoration of incentive compensation that we talked about in the November guidance"
6,Spending was a bit light in the first quarter and you should expect spending to increase as we proceed into the balance of the year
7,The margin result also reflected a good productivity result in Q1 including savings from our restructuring actions in Q4 last year
8,General corporate net expense was $15 million compared to $18 million a year ago
9,"Adjusted earnings per share were $1.75, an increase of $0.26 or 17% compared to the first quarter of last year"
10,"The increase is due to the combination of higher sales, improved margins and a lower tax rate"
11,The adjusted effective tax rate in the quarter was 18.1% compared to 22.8% in Q1 last year
12,"As expected, the adjusted effective rate in Q1 included a significant benefit from discreet tax items"
13,We talked about this benefit when we provided guidance in November
14,A relatively small part of the discrete tax benefit was due to our adoption of the new accounting standard regarding equity based compensation
15,"Free cash flow for Q1 was $271 million, free cash flow conversion on adjusted income was 119%"
16,Our trailing four quarter return on invested capital was 34.6%
17,"And a couple of other items, average diluted shares outstanding in the quarter were $129.7 million, down about 2% compared to last year and during the first quarter, we repurchased almost 650,000 shares at a cost of about $81 million"
18,"At the end of the quarter, we had $864 million remaining under our share repurchase authorization"
19,The next two slides present the sales and operating margin performance of each segment
20,Page five is the Architecture & Software segment
21,"Beginning on the left side of this page, Architecture & Software segment sales were $696 million in Q1, up 8.3% compared to Q1 last year"
22,"The organic sales increase was 7.6%, currency translation reduced sales by 1% and acquisitions contributed 1.7% to sales growth"
23,"Moving to the right side of the chart, A&S margins were 30%, up 2.6 points compared to prior year and primarily due to the operating leverage associated with higher sales coupled with lower spending"
24,"Moving to page six, the Control Products & Solutions segment"
25,"In the first quarter, Control Products & Solutions sales were $794 million, up 1.3% year-over-year"
26,"Organic sales increased 0.7%, currency translation reduced sales by 1.3% and acquisitions contributed 1.9% to growth"
27,"In the CP&S product businesses, the organic sales increase was about 3%, solutions and services sales were down about 1% organically"
28,The book-to-bill in Q1 for solutions and services was 1.11.
